,Date,UAL,PDR,VAR,AVG,VAR70,VAR85,VAR99
134,7/15/2020,36.369999,0.136166516,0.006943425,-0.006740092,30.052196540905747,28.80588102019629,25.898202032681077
135,7/16/2020,34.490002,-0.053074747,0.006907777,-0.007083312,34.46121142987945,33.017506146514506,29.662881258058146
136,7/17/2020,33.919998,-0.016664733,0.006857655,-0.007153763,32.66797986638138,31.30629838473831,28.140911867935706
137,7/20/2020,32.330002,-0.048009098,0.006819694,-0.007451978,32.138747583617814,30.804257486202232,27.676666000941598
138,7/21/2020,33.07,0.022630873,0.006776786,-0.007233986,30.62600501619431,29.362885044412735,26.378625657374954
139,7/22/2020,31.67,-0.043256666,0.0067373,-0.007493142,31.338253216448763,30.047854422599492,27.025544321744043
140,7/23/2020,33.23,0.048083222,0.006711082,-0.007096168,30.015904340145003,28.779743035001104,25.87919934954891
141,7/24/2020,32.880001,-0.010588482,0.006663571,-0.007120936,31.499452166850602,30.197708639475778,27.176416690869203
142,7/27/2020,32.419998,-0.014089146,0.006616984,-0.007170008,31.17475691343337,29.89974446272494,26.910189107269254
143,7/28/2020,33.459999,0.031575211,0.006581136,-0.006899062,30.745670733598644,29.48911030143431,26.559149363793775
144,7/29/2020,32.57,-0.026959046,0.006538209,-0.007038368,31.74064199570095,30.44901154732338,27.41934261771074
145,7/30/2020,31.74,-0.025813904,0.006495532,-0.007167854,30.89198082943396,29.6458001538633,26.700047512877877
146,7/31/2020,31.379999,-0.011407,0.006451164,-0.00719689,30.114949385052764,28.898058662669445,26.040075034410677
147,8/3/2020,31.870001,0.015494444,0.006410758,-0.007042527,29.777109376233337,28.574511127906508,25.765840580928064
148,8/4/2020,32.290001,0.013092456,0.006370163,-0.00690648,30.246565907869645,29.030523593902473,26.193738323539435
149,8/5/2020,33.73,0.043630033,0.006344435,-0.006567308,30.65118572022084,29.43048787871703,26.555706791071483
150,8/6/2020,34.400002,0.019668973,0.006306698,-0.0063924,32.04177779554898,30.757491058842547,27.76408573743411
151,8/7/2020,34.330002,-0.002036957,0.006265056,-0.006363556,32.681121817542866,31.378678868430192,28.328469088905397
152,8/10/2020,37.540001,0.089387392,0.006283759,-0.005733615,32.61962436212733,31.323146509340873,28.285954551369947
153,8/11/2020,36.830002,-0.019094273,0.006243848,-0.00582094,35.691457908618446,34.274811327008656,30.947202632766558
154,8/12/2020,36.400002,-0.011743955,0.00620353,-0.005859401,35.02053838412916,33.62845982580037,30.38496600398456
155,8/13/2020,35.810001,-0.016341618,0.006164211,-0.005927028,34.61720243172536,33.25310343508877,30.025638024570547
156,8/14/2020,36.18,0.010279268,0.00612637,-0.005823142,34.05544180365735,32.71241358870969,29.578744203166114
157,8/17/2020,34.400002,-0.050449857,0.006099953,-0.006107388,34.40743615365806,33.06036182777073,29.874544513059785
158,8/18/2020,33.98,-0.012284506,0.006061585,-0.006146484,32.72055464064071,31.43750790697164,28.41760126259266
159,8/19/2020,34.439999,0.013446534,0.006025861,-0.006023257,32.325995881952736,31.065046199538802,28.077422309084394
160,8/20/2020,34.049999,-0.011388647,0.005988379,-0.006056791,32.76823014936996,31.491962486767047,28.510266669247255
161,8/21/2020,33.040001,-0.030111024,0.005954755,-0.006206196,32.39704551330478,31.13481596526674,28.1935630406291
162,8/24/2020,36.32,0.094649575,0.005980399,-0.00558363,31.43670954085295,30.219373018067568,27.35212636442664
163,8/25/2020,35.220001,-0.030754422,0.005947573,-0.005738052,34.57823312899547,33.23434964981821,30.06659668971445
164,8/26/2020,34.25,-0.027927567,0.005914291,-0.005873354,33.53026388932301,32.23051090696748,29.188893780403326
165,8/27/2020,36.220001,0.055924915,0.005901452,-0.005498819,32.60686975751904,31.34292122692149,28.389010291554154
166,8/28/2020,37.34,0.030453658,0.005873641,-0.005282238,34.496190475792204,33.165839140442074,30.029445413512224
167,8/31/2020,36.0,-0.0365462,0.005844287,-0.005469447,35.57586765440914,34.20687621745004,30.987460204167014
168,9/1/2020,36.009998,0.000277684,0.005809695,-0.005435238,34.28738770154189,32.97194949694829,29.886962636056612
169,9/2/2020,36.889999,0.024143862,0.005780465,-0.005260214,34.3092679786781,32.993789483516466,29.910757013381538
170,9/3/2020,37.400002,0.013730273,0.005748571,-0.005148505,35.156325408864895,33.81746834673715,30.659019520589148
171,9/4/2020,38.209999,0.021426477,0.00571906,-0.004993096,35.65347042794932,34.300024015793284,31.1125644383089
172,9/8/2020,37.279999,-0.024640272,0.00568804,-0.005107323,36.44087586264211,35.05460581607455,31.795480799754635
173,9/9/2020,36.029999,-0.034105066,0.005659994,-0.00527494,35.545918503733695,34.19501815817087,31.02245190635491
174,9/10/2020,36.450001,0.011589589,0.00562909,-0.005178018,34.359589703168666,33.06160416288732,30.009693515404525
175,9/11/2020,36.07,-0.010479991,0.005597084,-0.005208315,34.76432476619196,33.45689755227374,30.37190579351712
176,9/14/2020,36.740002,0.018404639,0.005568432,-0.00507415,34.40565179040498,33.112829530320425,30.05659096781962
177,9/15/2020,36.799999,0.001631684,0.005537225,-0.005036264,35.056764342906064,33.745367427701744,30.641572333376672
178,9/16/2020,38.299999,0.039952052,0.005517424,-0.004783521,35.11600826552252,33.80378053383376,30.698202110653263
179,9/17/2020,38.349998,0.001304606,0.005486806,-0.004749509,36.56194943455756,35.19489628524656,31.984884203527997
180,9/18/2020,36.970001,-0.036647676,0.005461945,-0.004926721,36.61490860561505,35.257015760339314,32.050045610328205
181,9/21/2020,33.790001,-0.08994187,0.005471479,-0.005396418,35.287941856495074,33.97860296882708,30.890772596715415
182,9/22/2020,34.07,0.008252301,0.005442434,-0.005321425,32.241944270220216,31.039631452270406,28.20596769847177
183,9/23/2020,33.080002,-0.029488301,0.005415868,-0.005453484,32.514033368311814,31.307609697242157,28.456434440271842
184,9/24/2020,32.740002,-0.010331298,0.005386563,-0.005479994,31.56486416551212,30.39923629601922,27.64812218932196
185,9/25/2020,34.200001,0.04362804,0.005370411,-0.005214545,31.244821329530446,30.095703877000314,27.37422697366801
186,9/28/2020,35.939999,0.04962518,0.00535762,-0.004919708,32.6515219536758,31.44944583651496,28.59699523927128
187,9/29/2020,34.509998,-0.040601774,0.005335742,-0.005110521,34.32132399154861,33.061741790503405,30.086829804239706
188,9/30/2020,34.75,0.006930493,0.005308127,-0.005046473,32.95883629157275,31.752367349672035,28.891038363267473
189,10/1/2020,35.18,0.012298167,0.005281625,-0.004954703,33.19289336689882,31.97992326084856,29.09741604212594
190,10/2/2020,36.009998,0.023318883,0.005258012,-0.004805895,33.611313613421714,32.37800695038504,29.46852552646555
191,10/5/2020,36.200001,0.005262524,0.005231011,-0.00475318,34.404844494419166,33.150111370728645,30.190803325956043
192,10/6/2020,34.880001,-0.037145519,0.005209203,-0.00492189,34.59252483325897,33.332424983438784,30.35115884438151
193,10/7/2020,36.380001,0.042105573,0.005193612,-0.004678225,33.33102551403304,32.121243803901116,29.274293379978854
194,10/8/2020,37.0,0.016898712,0.005169228,-0.004567003,34.77118541356286,33.516260258990165,30.541016116044645
195,10/9/2020,37.119999,0.003237968,0.00514303,-0.004526978,35.37786832244935,34.09641597783134,31.0879564975718
196,10/12/2020,36.380001,-0.02013668,0.005118027,-0.004606619,35.49512147127125,34.21755592630526,31.199729020903696
197,10/13/2020,35.259998,-0.03127008,0.005095638,-0.004741967,34.79143837240391,33.540499694624714,30.570373065523942
198,10/14/2020,35.610001,0.009877405,0.005070976,-0.004668132,33.71529436140773,32.50609129242243,29.65385005720343
199,10/15/2020,34.25,-0.038939961,0.005051366,-0.004840352,34.05372162077118,32.836976801652156,29.9542065039959
200,10/16/2020,34.16,-0.002631196,0.005026134,-0.004829306,32.75351934607912,31.58401271301371,28.803743555064425
201,10/19/2020,35.5,0.038477328,0.005010413,-0.00461385,32.66960144533104,31.50534125849894,28.753702860051895
202,10/20/2020,36.060001,0.015651549,0.004987632,-0.004513526,33.95901646577027,32.75007141426898,29.895367292522344
203,10/21/2020,35.540001,-0.014525395,0.004963553,-0.004562846,34.5067711662623,33.28164475231731,30.386733986571205
204,10/22/2020,37.240002,0.046724655,0.004952053,-0.004311437,34.007852516008164,32.80371550809926,29.95470484460396
205,10/23/2020,38.009998,0.020465724,0.004930877,-0.004190572,35.64499401585039,34.38478622663808,31.396893598298433
206,10/26/2020,35.34,-0.072833763,0.004929703,-0.004523792,36.38475442014229,35.102787036906385,32.05908470099971
207,10/27/2020,34.169998,-0.033667459,0.004909971,-0.004664583,33.82355094294628,32.62666971392118,29.79853426816201
208,10/28/2020,32.599998,-0.047035781,0.004894955,-0.00486829,32.705887541086554,31.552163936784495,28.823545824251806
209,10/29/2020,33.57,0.029320584,0.0048771,-0.004704707,31.200222073044927,30.10238329314392,27.499399119239545
210,10/30/2020,33.860001,0.008601595,0.004854715,-0.004641344,32.13449359639237,31.005339167845253,28.33524092272907
211,11/2/2020,33.779999,-0.002365524,0.004831732,-0.004630558,32.415730125107125,31.275148613506,28.598143258150508
212,11/3/2020,34.02,0.007079705,0.004809584,-0.004575321,32.338968829838116,31.20446816049016,28.53615159738068
213,11/4/2020,33.34,-0.02019071,0.004788143,-0.004648632,32.578685906493156,31.437194278844803,28.7438208028656
214,11/5/2020,35.349998,0.058540458,0.00478434,-0.004353356,31.92551602190552,30.817171137825518,28.17323148560122
215,11/6/2020,34.68,-0.019135184,0.004763099,-0.004422109,33.86012461924612,32.6748297927472,29.889120949104555
216,11/9/2020,41.32,0.175183492,0.004889699,-0.003590602,33.22253414720036,32.06983954633767,29.35090500380828
217,11/10/2020,40.049999,-0.031217996,0.004870667,-0.003717917,39.586575109669525,38.19630332824027,34.904199621511275
218,11/11/2020,38.509998,-0.039210753,0.004854077,-0.003880728,38.3709956802815,37.02318002375989,33.8320684295013
219,11/12/2020,36.849998,-0.044062332,0.004839251,-0.004064206,36.890036751654684,35.597883002464954,32.52869413847085
220,11/13/2020,38.990002,0.05644969,0.004833824,-0.003789142,35.2979060189625,34.06528212473121,31.1493767788918
221,11/16/2020,41.0,0.050266812,0.004825113,-0.003544545,37.362454069544505,36.05707722940543,32.96563408608788
222,11/17/2020,40.599998,-0.009804049,0.004803554,-0.003572741,39.30022338305943,37.92796608186365,34.685936711806114
223,11/18/2020,41.049999,0.011022794,0.004782965,-0.00350729,38.91676473224571,37.562542891263455,34.34772488681648
224,11/19/2020,40.939999,-0.002683256,0.004761615,-0.003503612,39.35630706451154,37.98656394056831,34.73765664759019
225,11/20/2020,39.900002,-0.025731182,0.004742639,-0.003602401,39.254474142866385,37.8900997376239,34.659384917177995
226,11/23/2020,40.93,0.025486916,0.004725381,-0.003473687,38.251207459195676,36.927966241282604,33.77616414810696
227,11/24/2020,44.959999,0.093909893,0.004746158,-0.003044685,39.25823126413677,37.89939632917536,34.67247850508764
228,11/25/2020,45.639999,0.01501132,0.004726765,-0.002965492,43.134894756118754,41.641659271492365,38.0922232666989
229,11/27/2020,45.299999,-0.007477493,0.004706213,-0.002985195,43.78861027266228,42.27382114148537,38.6974899310144
230,11/30/2020,45.049999,-0.005534049,0.004685779,-0.002996277,43.47073556523216,41.97186238198043,38.409287346501955
231,12/1/2020,45.32,0.005975474,0.004665842,-0.002957438,43.224093646328356,41.735602760099525,38.206598577483575
232,12/2/2020,46.73,0.030637921,0.004650574,-0.00281263,43.49567101703118,42.000644727437766,38.46686354053398
233,12/3/2020,49.91,0.065835027,0.004650753,-0.002518005,44.8567662436507,43.3182678460685,39.65829364010768
234,12/4/2020,49.240002,-0.013515042,0.004631393,-0.002565001,47.92831910336944,46.28302364615591,42.40029264060494
235,12/7/2020,49.200001,-0.000812698,0.004611698,-0.002557544,47.28820111191028,45.66860039403827,41.83984506849346
236,12/8/2020,49.040001,-0.003257332,0.004592159,-0.00256051,47.247090184446975,45.63453090351953,41.797490827462696
237,12/9/2020,48.02,-0.021018721,0.004574214,-0.002638392,47.09487800386317,45.48862171158782,41.67590934407544
238,12/10/2020,49.639999,0.033179349,0.004560362,-0.002487898,46.11795956487432,44.55389215676372,40.8140730303782
239,12/11/2020,48.360001,-0.026123894,0.004543609,-0.002586793,47.686596953211684,46.06849788152772,42.22061310958772
240,12/14/2020,46.720001,-0.034500687,0.004528903,-0.002719768,46.45746910352882,44.87958017805128,41.14662224590013
241,12/15/2020,47.459999,0.01571487,0.004511515,-0.002643275,44.88366494809138,43.356340159693524,39.73983552440688
242,12/16/2020,46.0,-0.031245833,0.004496239,-0.002761468,45.59408396247372,44.05393245035589,40.39240361229073
243,12/17/2020,45.880001,-0.002612082,0.004477736,-0.002760853,44.1922289264004,42.70523230083718,39.147699893823315
244,12/18/2020,44.740002,-0.025161313,0.004461433,-0.002852658,44.07509380575352,42.591011431728845,39.07348819202946
245,12/21/2020,44.060001,-0.015315637,0.004443855,-0.002903527,42.97850793011747,41.53149220928654,38.11197460039323
246,12/22/2020,42.970001,-0.025050143,0.004427776,-0.002993554,42.33070391236191,40.91342961503974,37.540512958072796
247,12/23/2020,44.110001,0.026184316,0.004413282,-0.002875425,41.2803783114109,39.899229010051315,36.61852236878631
248,12/24/2020,43.259998,-0.019458162,0.004396591,-0.002942291,42.38855163077732,40.97023314779027,37.58547154050849
249,12/28/2020,43.919998,0.015141377,0.004380242,-0.002869666,41.56679236390448,40.17876094544467,36.881038108062015
250,12/29/2020,43.740002,-0.004106691,0.004362727,-0.002874614,42.20710918836348,40.80053238649237,37.470136649409824
251,12/30/2020,44.650002,0.020591291,0.004347531,-0.002781124,42.03407231182299,40.63605503674097,37.31452293053927
252,12/31/2020,43.25,-0.031857119,0.004333621,-0.002896505,42.92429891689443,41.49534479701892,38.11617936862745
253,1/4/2021,41.630001,-0.038176148,0.004321392,-0.003035951,41.57186515906724,40.20017284848558,36.93201596893943
254,1/5/2021,43.400002,0.041638402,0.004312205,-0.002860067,40.01153050208623,38.687690700258564,35.55631674253678
255,1/6/2021,43.540001,0.003220592,0.004295439,-0.002836222,41.72384767873697,40.344323217490164,37.060305615500816
256,1/7/2021,43.619999,0.001835659,0.004278745,-0.002817972,41.858422007650745,40.475145391730656,37.197632595722574
257,1/8/2021,43.290001,-0.007594053,0.004262184,-0.002836556,41.94240166908341,40.55440901212219,37.27909354683261
258,1/11/2021,42.700001,-0.013722741,0.004246122,-0.002878751,41.631050145411734,40.2613720251798,37.00067965571763
259,1/12/2021,44.080002,0.031807267,0.004234355,-0.002744828,41.054549171944,39.71200211390697,36.51958308702063
260,1/13/2021,44.43,0.007908707,0.004218504,-0.002703853,42.39511676362325,41.00721619175756,37.7055217155747
261,1/14/2021,46.290001,0.04101106,0.004209634,-0.002536362,42.74164318672191,41.340921853020454,38.02558618177694
262,1/15/2021,43.889999,-0.053239496,0.004203342,-0.002729886,44.53845998264654,43.08801884713079,39.612955912270834
263,1/19/2021,44.75,0.019404964,0.004189216,-0.002645723,42.21755637756365,40.8361925814725,37.56423544938725
264,1/20/2021,45.18,0.009563066,0.00417391,-0.002599478,43.05256888757597,41.64931451952894,38.30473084673801
