,Date,PSX,PDR,VAR,AVG,VAR70,VAR85,VAR99
172,9/8/2020,57.959999,-0.017445303,0.002103402,-0.00384029,57.29632126040208,55.96381149149067,52.74382874769763
173,9/9/2020,57.869999,-0.001554002,0.002091274,-0.003827074,56.307077094929944,55.00268620221403,51.83844478205009
174,9/10/2020,55.360001,-0.044341769,0.002088635,-0.004059917,56.228719423508885,54.924028871625374,51.770392996183844
175,9/11/2020,57.07,0.030421255,0.002083455,-0.003862882,53.772348395806254,52.528428328432454,49.531192543206934
176,9/14/2020,58.369999,0.022523458,0.00207555,-0.00371296,55.446949006857906,54.16571945901035,51.07499944349341
177,9/15/2020,58.049999,-0.005497351,0.002063842,-0.003723041,56.722417162016704,55.41465636087773,52.25229691942665
178,9/16/2020,60.509998,0.041503917,0.002063674,-0.003468957,56.40901697281941,55.117895729198715,51.98705920744556
179,9/17/2020,60.349998,-0.002647693,0.002052149,-0.003464369,58.81913858788616,57.463675673469396,54.20571800079725
180,9/18/2020,59.82,-0.008820861,0.002040907,-0.003494127,58.67311588055375,57.32671881144834,54.06408015998848
181,9/21/2020,55.919998,-0.067417991,0.002052082,-0.003847298,58.1570448239648,56.82861086390975,53.614499363610705
182,9/22/2020,55.360001,-0.010064733,0.002041018,-0.00388146,54.34001062194545,53.09507176951448,50.08621640620179
183,9/23/2020,52.630001,-0.050571011,0.002041712,-0.004136594,53.79419532831472,52.565316142509865,49.591570549944386
184,9/24/2020,52.849998,0.004171356,0.002030989,-0.004091442,51.133922276418865,49.96279290034543,47.13874231783053
185,9/25/2020,52.880001,0.00056754,0.002020127,-0.004066258,51.35282376603586,50.17750054261816,47.33754262946631
186,9/28/2020,53.98,0.020588393,0.002012517,-0.003933706,51.38092886615802,50.212637833216135,47.381056116089496
187,9/29/2020,52.189999,-0.033722721,0.002006475,-0.004093006,52.45895372985494,51.27522178127384,48.376592401383476
188,9/30/2020,51.84,-0.006728834,0.001995839,-0.004107026,50.7195061018129,49.5685661909522,46.7766900125369
189,10/1/2020,50.279999,-0.030554688,0.00198896,-0.004246961,50.376602629888154,49.237711012532046,46.48009459660691
190,10/2/2020,51.060001,0.015394068,0.001980512,-0.004143587,48.85844241968252,47.753184984085834,45.100436202728105
191,10/5/2020,52.549999,0.028763647,0.001975782,-0.003971298,49.62423357201077,48.50372087984887,45.80940229030175
192,10/6/2020,51.060001,-0.028763647,0.001968677,-0.004100425,51.08430350240469,49.935326268968545,47.12832458308908
193,10/7/2020,51.93,0.016895226,0.001960748,-0.003991639,49.63334862251227,48.515248299915946,45.82552217098557
194,10/8/2020,53.639999,0.032398382,0.001957432,-0.003804061,50.484294963781196,49.353556436105414,46.614817802480175
195,10/9/2020,53.040001,-0.011248675,0.001947677,-0.003842239,52.15812874474794,50.989347544810364,48.164874512900866
196,10/12/2020,53.459999,0.007887327,0.001938438,-0.003782394,51.57798560238947,50.4283556434846,47.643280019845946
