,Date,HD,PDR,VAR,AVG,VAR70,VAR85,VAR99
134,7/15/2020,257.799988,3.87e-05,0.001335141,0.001194799,253.02548667052977,248.31392318857002,236.8554424731342
135,7/16/2020,258.079987,0.00108552,0.001325251,0.00119399,253.082154630347,248.38255648613463,236.89575023630337
136,7/17/2020,260.380005,0.008872558,0.001315937,0.00125045,253.35462874546894,248.6714506159826,237.27063340147373
137,7/20/2020,260.170013,-0.000806808,0.001306362,0.001235434,255.62607061951266,250.92448841334058,239.42361051050136
138,7/21/2020,262.420013,0.00861101,0.001297287,0.00128888,255.43047706368367,250.7372605448317,239.35046078518567
139,7/22/2020,265.170013,0.010424856,0.00128855,0.001354606,257.67440558276644,252.97175578274314,241.45864699798497
140,7/23/2020,263.809998,-0.005142039,0.001279645,0.001308202,260.38706448832477,255.6354576683456,244.04592310075373
141,7/24/2020,265.309998,0.005669807,0.001270704,0.001339135,259.08904660269695,254.39303421101684,242.8966965898621
142,7/27/2020,267.420013,0.007921559,0.001262058,0.00138549,260.55837998451966,255.85244318715436,244.37865527905296
143,7/28/2020,265.279999,-0.008034637,0.001253849,0.001319615,262.6997142185581,257.9609931214775,246.37129346747366
144,7/29/2020,264.660004,-0.00233987,0.001245234,0.001294202,260.56430643326075,255.89151866032174,244.49101665135186
145,7/30/2020,266.309998,0.006215038,0.001236812,0.001328139,259.99104409682496,255.34458798226026,243.9581889146777
146,7/31/2020,265.48999,-0.003083899,0.001228473,0.001297919,261.6439780299352,256.9699901678513,245.54643793419373
147,8/3/2020,266.179993,0.002595608,0.001220127,0.001306747,260.8443299109485,256.21075950597935,244.8553028361144
148,8/4/2020,267.869995,0.006329024,0.001212053,0.001340681,261.5348574724456,256.914613896053,245.61229889780483
149,8/5/2020,267.480011,-0.001456931,0.00120397,0.001321906,263.2193500762839,258.5722870909881,247.2132426139606
150,8/6/2020,269.369995,0.007041042,0.00119616,0.001360033,262.8331754497984,258.2236532915516,246.86819216366607
151,8/7/2020,271.640015,0.008391835,0.001188564,0.001406601,264.72229018061444,260.08092657690355,248.74675401223465
152,8/10/2020,274.730011,0.011311122,0.001181386,0.001471763,266.9934572782176,262.3360934796631,250.91541639718125
153,8/11/2020,274.920013,0.000691356,0.001173668,0.001466662,270.0664151718978,265.3667472852934,253.8306542696252
154,8/12/2020,281.579987,0.023936359,0.001169304,0.001612569,270.2707147479743,265.59148976738913,254.15656924486623
155,8/13/2020,281.660004,0.000284131,0.001161772,0.001603999,276.8465666449101,272.0429929038073,260.2829262295119
156,8/14/2020,280.549988,-0.003948765,0.001154521,0.001568404,276.952587345796,272.1616390047877,260.47412909755366
157,8/17/2020,288.23999,0.027041512,0.001151274,0.001730653,275.85813694124323,271.11488157091685,259.48349852180667
158,8/18/2020,285.0,-0.011304251,0.001145056,0.001648154,283.4964058256403,278.6105530829551,266.6859854219878
159,8/19/2020,282.859985,-0.007537158,0.001138381,0.001590384,280.2921455674554,275.44458641634645,263.71644417900563
160,8/20/2020,280.679993,-0.007736817,0.001131807,0.001532089,278.184079034828,273.4148326055119,261.80338313935073
161,8/21/2020,283.230011,0.009044122,0.001125125,0.001578748,276.02305300072794,271.31763206569815,259.7749225027439
162,8/24/2020,286.75,0.012351429,0.001118892,0.001645246,278.58354456617934,273.84745968632427,262.20740324310486
163,8/25/2020,286.130005,-0.002164486,0.001112116,0.001621873,282.07781057831227,277.2751558282863,265.5778693268729
164,8/26/2020,291.929993,0.020067753,0.001107397,0.001734348,281.4657679941537,276.73425206307337,265.0187901160079
165,8/27/2020,288.630005,-0.011368415,0.00110172,0.001654938,287.2248254928848,282.3686776597327,270.5089052631906
166,8/28/2020,286.290009,-0.008140294,0.001095657,0.00159593,283.94705695595,279.15850536796563,267.4229318394115
167,8/31/2020,285.040009,-0.004375762,0.001089309,0.001560171,281.66736556106235,276.94020452336895,265.375791775993
168,9/1/2020,285.940002,0.003152453,0.00108284,0.001569649,280.4430370848189,275.73091200453376,264.2484261190214
169,9/2/2020,287.200012,0.004396873,0.001076479,0.001586378,281.35105289354567,276.63944951838005,265.1288511005249
170,9/3/2020,274.630005,-0.044754124,0.001082705,0.001313787,282.59609082503397,277.87978304329675,266.3658667498341
171,9/4/2020,269.660004,-0.018262834,0.001078601,0.001199304,270.138751145315,265.6212804602862,254.5599386271165
172,9/8/2020,269.26001,-0.001484428,0.001072372,0.001183701,265.2289508674269,260.7955978801678,250.03053564626532
173,9/9/2020,277.040009,0.02848444,0.001070457,0.001341509,264.8489545104628,260.44609553021604,249.69979183191379
174,9/10/2020,272.700012,-0.015789599,0.001065982,0.001243054,272.54221750014796,268.02197747735283,256.9952566011319
175,9/11/2020,276.329987,0.013223423,0.001060706,0.001311513,268.2515725285583,263.8049238733889,252.91179332462764
176,9/14/2020,280.649994,0.015512563,0.001055818,0.001392201,271.8442387598388,267.3530848145846,256.40744645064126
177,9/15/2020,285.579987,0.017413834,0.001051295,0.001482719,276.15509692307813,271.5889911008419,260.478024424557
178,9/16/2020,281.630005,-0.013927984,0.001046716,0.001396142,281.0411075212445,276.40552896662405,265.0967359754251
179,9/17/2020,279.959991,-0.005947467,0.001041168,0.001355116,277.14226195792435,272.57718998409575,261.42240214790456
180,9/18/2020,275.190002,-0.017184928,0.001037283,0.001252116,275.5100508823967,270.99465214616856,259.9413395634197
181,9/21/2020,272.350006,-0.01037375,0.001032295,0.001187885,270.7698418974659,266.3337428080401,255.483024429045
182,9/22/2020,273.309998,0.003518649,0.001026652,0.001200691,267.9820410976168,263.60292569420807,252.85964444656668
183,9/23/2020,266.549988,-0.025044877,0.001024786,0.001057273,268.9468128036039,264.5536201409518,253.85343138172206
184,9/24/2020,265.700012,-0.0031939,0.001019314,0.001034168,262.2715684452067,257.99962836776905,247.60982720287973
185,9/25/2020,268.549988,0.010669174,0.001014303,0.001086249,261.4181348242512,257.18159294378233,246.81363718000932
186,9/28/2020,272.329987,0.013977447,0.001009739,0.001155557,264.23669933910986,259.9744707824735,249.53215578414063
187,9/29/2020,272.109985,-0.000808177,0.001004359,0.001145056,267.9986771707353,263.66932333929594,253.1195225620883
