,Date,INTC,PDR,VAR,AVG,VAR70,VAR85,VAR99
222,11/17/2020,45.529999,-0.014391875,0.001251046,-0.001305748,45.25278822002297,44.44211884633944,42.44879081871683
223,11/18/2020,45.060001,-0.01037647,0.001245804,-0.001346424,44.60797398432199,43.811444515603,41.862185642113424
224,11/19/2020,45.619999,0.012351238,0.001241076,-0.001285274,44.145410372834206,43.35605061489352,41.429856309840574
225,11/20/2020,45.389999,-0.0050544,0.001235623,-0.001302025,44.69912070077605,43.89896174809482,41.9517195364965
226,11/23/2020,46.060001,0.014653122,0.001231277,-0.001231427,44.47488516937585,43.679618957694316,41.74072236619921
227,11/24/2020,47.009998,0.020415386,0.001227908,-0.001136067,45.139450308516324,44.33369423057065,42.37270465753072
228,11/25/2020,47.049999,0.000850542,0.00122254,-0.001127354,46.07271554447247,45.25571052877749,43.262145501532
229,11/27/2020,47.450001,0.008465701,0.001217601,-0.001085463,46.11782697273255,45.29785273430048,43.30122676831023
230,11/30/2020,48.349998,0.018789634,0.001214017,-0.000999049,46.51228524787489,45.68890687119056,43.673555729822844
231,12/1/2020,49.560001,0.024717896,0.001211612,-0.00088772,47.39784034817387,46.562233445326584,44.51716851551454
232,12/2/2020,49.900002,0.006836966,0.001206646,-0.000854424,48.59180895552323,47.73508825848558,45.62593216119079
233,12/3/2020,50.990002,0.021608531,0.001203624,-0.000758017,48.924667773326426,48.062000496372214,45.963351265537526
234,12/4/2020,51.990002,0.019421857,0.001200213,-0.000671778,50.002697105552386,49.12164900877225,46.96218045039387
235,12/7/2020,50.200001,-0.035036384,0.001200109,-0.00081801,50.99130931818447,50.09523769300322,47.90355431773806
236,12/8/2020,50.689999,0.009713586,0.001195492,-0.000773385,49.22641885023583,48.3606546051922,46.252477361731735
237,12/9/2020,50.07,-0.012306606,0.001191007,-0.000822048,49.712624219305354,48.837372005446475,46.71086618252162
238,12/10/2020,50.259998,0.003787466,0.001186091,-0.000802681,49.1056292609308,48.23812691729931,46.14281028894752
239,12/11/2020,49.73,-0.01060112,0.001181529,-0.000843678,49.28771212226831,48.427909144640424,46.323466529992594
240,12/14/2020,50.470001,0.014770747,0.001177617,-0.000778618,48.7724641404658,47.921439646699774,45.84944441468977
241,12/15/2020,50.669998,0.00395486,0.001172823,-0.000758977,49.504549178796,48.6395654974592,46.53504350661072
242,12/16/2020,51.119999,0.00884181,0.001168356,-0.000719304,49.70039280536699,48.835416746632035,46.740232986953274
243,12/17/2020,50.650002,-0.00923652,0.001163846,-0.000754355,50.14548007372244,49.27384134240273,47.160811737558255
244,12/18/2020,47.459999,-0.06505204,0.00117595,-0.00101787,49.68586423986965,48.82437197628695,46.71727515201512
245,12/21/2020,46.360001,-0.02345019,0.001173196,-0.00110943,46.54043058314211,45.7325803930549,43.756730135199334
246,12/22/2020,46.169998,-0.004106847,0.001168463,-0.001121615,45.45988461656119,44.67207969209914,42.73865903544574
247,12/23/2020,46.57,0.008626364,0.001164115,-0.001082149,45.26888377793224,44.48467106569137,42.56901524110912
