,Date,CVX,PDR,VAR,AVG,VAR70,VAR85,VAR99
214,11/5/2020,72.139999,0.005142142,0.001600622,-0.002433315,70.04658672954888,68.6173369684069,65.158779665077
215,11/6/2020,71.150002,-0.013818309,0.001593777,-0.002486268,70.41006213701027,68.9867828172153,65.51259197919555
216,11/9/2020,79.400002,0.109708041,0.001644404,-0.00196685,69.44211904654003,68.03840165995292,64.63741610068845
217,11/10/2020,83.07,0.045185232,0.001647025,-0.001749559,77.50945975673224,75.9163651084452,72.05470100076751
218,11/11/2020,82.459999,-0.007370311,0.001639614,-0.001775342,81.10834407733617,79.43736280469741,75.40740043955508
219,11/12/2020,80.669998,-0.021946581,0.001633977,-0.001867449,80.51545149854375,78.85737294352165,74.86165029634562
220,11/13/2020,83.029999,0.028835242,0.001630815,-0.001727891,78.77372126580858,77.15780957152234,73.23091046819165
221,11/16/2020,88.959999,0.068984843,0.001645959,-0.001407924,81.08566217241447,79.42167647628624,75.37571519128355
222,11/17/2020,87.040001,-0.021819025,0.001640413,-0.001499866,86.89652248480768,85.11025593305399,80.76405759561095
223,11/18/2020,84.279999,-0.032223218,0.001637271,-0.001637639,85.0182644012009,83.27063433838342,79.04005108573618
224,11/19/2020,85.730003,0.017058281,0.001631515,-0.001554175,82.29689197605887,80.61207772351595,76.52862233929257
225,11/20/2020,85.790001,0.000699604,0.001624286,-0.001544158,83.7374086235836,82.02760996228419,77.86982876400856
226,11/23/2020,91.029999,0.05928665,0.0016334,-0.001274995,83.80348158627281,82.0947232529161,77.94029593925109
227,11/24/2020,95.620003,0.049192923,0.001637375,-0.001052669,88.92765405523117,87.10308103106411,82.6813877889991
228,11/25/2020,92.139999,-0.037072886,0.001635859,-0.001210653,93.43853196911606,91.52270453024498,86.8636417464788
229,11/27/2020,91.309998,-0.00904886,0.001628983,-0.001244881,90.012861761847,88.17233246315314,83.69433665528055
230,11/30/2020,87.18,-0.046285342,0.001630682,-0.001440709,89.22382949976222,87.40116227680221,82.96185463426325
