,Date,BA,PDR,VAR,AVG,VAR70,VAR85,VAR99
124,6/30/2020,183.300003,-0.059256602,0.005222461,-0.00482241,185.9437296815162,179.17486983920412,163.22095388955353
125,7/1/2020,180.320007,-0.016391082,0.005181743,-0.004914959,175.19718818229978,168.8035926158819,153.8320590843333
126,7/2/2020,180.809998,0.002713656,0.005141077,-0.004854415,172.3048875973445,166.0777076832998,151.39260350866195
127,7/6/2020,187.910004,0.038516401,0.00511529,-0.004512912,172.85123434674824,166.645828442292,151.8512853988978
128,7/7/2020,178.880005,-0.049247928,0.00509084,-0.004862405,179.73053542950296,173.23851658700937,157.92893428244577
129,7/8/2020,180.080002,0.00668599,0.005052401,-0.004772882,171.06132319253808,164.92076928065194,150.42274026889967
130,7/9/2020,173.279999,-0.03849243,0.005022216,-0.005032263,172.2263741777723,166.0514342239361,151.49940343362337
131,7/10/2020,178.440002,0.029343644,0.00499283,-0.004769852,165.67504860454065,159.77918612433666,145.77931696754038
132,7/13/2020,175.649994,-0.015759077,0.004955913,-0.004853104,170.72436261773234,164.63779864744873,150.23445111157446
133,7/14/2020,179.960007,0.024241298,0.004924968,-0.004634349,168.0343683358812,162.10005719927645,148.05082607657585
134,7/15/2020,187.940002,0.043388131,0.004905296,-0.004275972,172.25144379829322,166.17562814343546,151.84641005902574
135,7/16/2020,178.699997,-0.050414368,0.004884612,-0.004617738,179.9672792457975,173.61118880507996,158.63269251540385
136,7/17/2020,175.660004,-0.017158074,0.004849844,-0.004709946,171.04504231887407,165.06455117677731,150.7209554533667
137,7/20/2020,174.419998,-0.007084159,0.004814484,-0.004727276,168.15309048621074,162.27864039969168,148.31580956401004
138,7/21/2020,178.630005,0.023850483,0.004785472,-0.004520191,166.9938035214454,161.14752089350887,147.3412929764332
139,7/22/2020,179.789993,0.006472809,0.004751907,-0.004441105,171.07087396110236,165.1097173429583,151.03134759540453
140,7/23/2020,176.449997,-0.018751931,0.004719417,-0.004543325,172.2258574294241,166.2449277981032,152.15279452466592
141,7/24/2020,173.759995,-0.015362525,0.00468677,-0.004620057,169.02515659990334,163.20111098190162,149.32855377323907
142,7/27/2020,170.210007,-0.020641998,0.00465556,-0.004732887,166.47860130830452,160.7389033461602,147.14562946759762
143,7/28/2020,170.839996,0.003694413,0.004623497,-0.004673955,163.09809820207414,157.51647475124906,144.19666272382352
144,7/29/2020,166.009995,-0.028679425,0.004595363,-0.00484066,163.7067482257488,158.09511468781406,144.7984637526047
145,7/30/2020,161.949997,-0.02476037,0.004566389,-0.004978037,159.06197463044165,153.64698947413183,140.71592263750776
146,7/31/2020,158.0,-0.024692594,0.004537756,-0.005113068,155.17461934288147,149.9051801701256,137.46959774222626
147,8/3/2020,162.270004,0.026666606,0.004513711,-0.00489688,151.3938893983355,146.24933293834073,134.04237899453025
148,8/4/2020,165.070007,0.01710803,0.004486462,-0.004748198,155.51005448280085,150.26369908750624,137.78611573924235
149,8/5/2020,174.279999,0.054293527,0.00447959,-0.004351945,158.23777196181393,152.92818274053812,140.23931008488861
150,8/6/2020,172.199997,-0.012006621,0.004450114,-0.004402976,167.16978458878123,161.5201449307885,148.14135528678483
151,8/7/2020,170.020004,-0.012740474,0.004421101,-0.004458191,165.19951662388527,159.66240623165731,146.48399733705935
