,Date,CVS,PDR,VAR,AVG,VAR70,VAR85,VAR99
171,9/4/2020,60.240002,-0.003479977,0.000731091,-0.001215721,59.506228342271754,58.68412228497683,56.65985878929598
172,9/8/2020,59.529999,-0.011856246,0.000727495,-0.001277585,59.29443905944776,58.48081923125861,56.48204842888633
173,9/9/2020,59.529999,0.0,0.000723299,-0.0012702,58.59773182678354,57.79521782448849,55.81526846020864
174,9/10/2020,58.0,-0.02603736,0.000722647,-0.00141254,58.60216054990614,57.799605637920884,55.815339917542815
175,9/11/2020,57.400002,-0.010398672,0.000718976,-0.001463889,57.08680189741887,56.306620490566274,54.38710688420718
176,9/14/2020,57.970001,0.009881314,0.000715618,-0.001399428,56.497502564740536,55.72738585064704,53.83508423790105
177,9/15/2020,57.0,-0.016874385,0.000712921,-0.001486857,57.061722658099114,56.285866103278316,54.375444083773274
178,9/16/2020,57.48,0.008385793,0.00070946,-0.001431393,56.107311205366955,55.345101010755506,53.474848780073145
179,9/17/2020,58.41,0.016050047,0.000707194,-0.001333731,56.58236106932091,55.81360036410044,53.933532266348365
180,9/18/2020,59.57,0.019664984,0.000705702,-0.001217072,57.50425317080347,56.727022882003354,54.816582300811305
181,9/21/2020,58.869999,-0.011820486,0.00070242,-0.001275654,58.654342443352036,57.85872129239662,55.90574408828412
182,9/22/2020,58.139999,-0.012477728,0.000699247,-0.001337204,57.96557894731109,57.18282496951243,55.25891829644169
183,9/23/2020,57.400002,-0.01280954,0.000696141,-0.001399894,57.244232092651764,56.47357061253328,54.58120501584728
184,9/24/2020,56.709999,-0.012093794,0.000692976,-0.001458013,56.509255282932365,55.7492859419972,53.888111736696054
185,9/25/2020,57.32,0.010699059,0.000690024,-0.001392299,55.830304655364124,55.08581286278022,53.234216948914565
186,9/28/2020,57.939999,0.010758372,0.000687104,-0.001326973,56.441005939506944,55.687496958067904,53.83312222140023
187,9/29/2020,57.540001,-0.0069276,0.000683597,-0.001356923,57.05048971602469,56.2930359956191,54.42000787395118
188,9/30/2020,58.400002,0.014835549,0.000681348,-0.001270793,56.65974136934681,55.90493121741989,54.05497500288184
189,10/1/2020,57.84,-0.009635346,0.000678111,-0.00131505,57.51436757296077,56.74977632655615,54.86413058891088
190,10/2/2020,57.830002,-0.000172871,0.000674549,-0.001309038,56.96340445713985,56.20638427375729,54.347273635370534
191,10/5/2020,58.950001,0.019181937,0.000673204,-0.001201756,56.95397072116152,56.199181032807395,54.343399373401496
192,10/6/2020,58.23,-0.012288958,0.000670334,-0.001259502,58.06742378959371,57.30085401528899,55.42546294945968
