,Date,CAT,PDR,VAR,AVG,VAR70,VAR85,VAR99
200,10/16/2020,168.75,0.022230503,0.000896543,0.00057128,162.45802111277808,159.99195130083106,153.93513553287522
201,10/19/2020,167.529999,-0.007255896,0.000892386,0.000532338,166.146607407579,163.6050274659007,157.39542116127004
202,10/20/2020,168.990005,0.008677137,0.000888295,0.000572659,164.93754709427168,162.43892542069312,156.2932465743241
203,10/21/2020,167.399994,-0.009453449,0.000884412,0.00052327,166.39470421033528,163.86642195697448,157.69976738672833
204,10/22/2020,169.660004,0.013410336,0.000880886,0.000586441,164.8109780814609,162.31927960726352,156.20823382218236
205,10/23/2020,168.589996,-0.00632675,0.000876821,0.000552719,167.06444934533604,164.54195267748645,158.35831145335374
206,10/26/2020,163.199997,-0.032493284,0.00087784,0.000392301,166.00325117378978,163.51157518910065,157.35849474626156
207,10/27/2020,157.910004,-0.032951148,0.000878945,0.000231222,160.68147745580154,158.26468274989665,152.34973168418048
208,10/28/2020,151.160004,-0.043686371,0.000883947,2.01e-05,155.45241889297176,153.1085796112124,147.36445540763424
209,10/29/2020,154.669998,0.022954897,0.000882223,0.000129815,148.75090058310116,146.4993612379591,140.99772712653436
210,10/30/2020,157.050003,0.015270443,0.000879108,0.000201914,152.23590860925924,149.938642681568,144.29832286944364
211,11/2/2020,163.270004,0.038841052,0.000881984,0.000385037,154.60449489349097,152.27649309860723,146.5803221560744
212,11/3/2020,167.690002,0.026711752,0.000881077,0.00050922,160.73540156026957,158.31738029016387,152.3470605651643
213,11/4/2020,155.229996,-0.077209186,0.000905165,0.000144345,165.10928180760934,162.61930382004851,156.52765553120415
214,11/5/2020,163.089996,0.049394309,0.000912217,0.000374485,152.7511908568989,150.41168513581687,144.65555566602444
215,11/6/2020,161.289993,-0.011098228,0.000908583,0.000321123,160.5131712759774,158.04032574903712,152.00786982005133
216,11/9/2020,170.820007,0.057406468,0.000919394,0.000585407,158.7361092605166,156.3065954701969,150.34687789611982
217,11/10/2020,172.300003,0.008626749,0.000915454,0.000622464,168.14796858961645,165.55987744330181,159.21983422884244
218,11/11/2020,169.460007,-0.016620209,0.000912612,0.00054337,169.61682742857982,167.0034660542683,160.6322954723083
219,11/12/2020,169.130005,-0.001949273,0.000908473,0.000531988,166.80662867328468,164.2414212152295,157.95760825866142
220,11/13/2020,171.710007,0.015139369,0.000905309,0.000598385,166.49192512232386,163.9358686040263,157.6905893283394
221,11/16/2020,173.190002,0.008582221,0.0009015,0.000634511,169.03748239062472,166.4569697411768,160.11076264478055
222,11/17/2020,171.910004,-0.007418162,0.00089773,0.000598237,170.5211072572538,167.91777668511662,161.54795789623793
223,11/18/2020,172.740005,0.004816495,0.000893783,0.000617153,169.25721446761284,166.67083711204066,160.37032892264725
224,11/19/2020,172.899994,0.000925755,0.000889794,0.000618531,170.08071924550202,167.48750529865842,161.12224614969062
225,11/20/2020,172.229996,-0.003882588,0.000885929,0.000598526,170.2316848110574,167.65233846715734,161.35928706017862
226,11/23/2020,174.779999,0.014697265,0.000882884,0.00066091,169.57814204516907,167.00988365211288,160.7389181427951
227,11/24/2020,176.899994,0.012056533,0.000879564,0.000711111,172.1110573841267,169.51017109610262,163.14511310209178
228,11/25/2020,174.630005,-0.012915089,0.000876518,0.000651347,174.2110876808339,171.59818105921383,165.1417690781229
229,11/27/2020,175.080002,0.002573545,0.000872706,0.000659741,171.97287661418468,169.3873480339159,163.0591659996357
230,11/30/2020,173.589996,-0.00854685,0.000869279,0.000619712,172.41762439675892,169.8260520025564,163.48574252021606
231,12/1/2020,173.259995,-0.001902846,0.000865543,0.000608792,170.95995006525888,168.38755766629038,162.13769333260143
232,12/2/2020,173.869995,0.003514537,0.000861848,0.000621317,170.64318342787016,168.09381089034062,161.828162414124
233,12/3/2020,174.630005,0.004361614,0.000858209,0.000637369,171.2599776703215,168.69983623464128,162.44885408214796
234,12/4/2020,182.210007,0.042490428,0.000861995,0.000816229,171.99967561611965,169.4356865181958,163.18417386063112
235,12/7/2020,178.710007,-0.019395487,0.000860058,0.000730221,179.4973462617098,176.81273424039782,170.23469517029585
236,12/8/2020,178.839996,0.00072711,0.000856414,0.000730208,176.0352336435713,173.41707755332098,166.9761863508411
237,12/9/2020,180.070007,0.006854174,0.000852958,0.000756048,176.17083764706703,173.5471705722996,167.12453234284916
238,12/10/2020,178.850006,-0.006798204,0.000849613,0.000724307,177.3994824197579,174.766173694065,168.3140037305401
239,12/11/2020,179.289993,0.002457068,0.000846071,0.000731557,176.17667923319576,173.5743936123705,167.21077061609407
240,12/14/2020,178.050003,-0.006940141,0.000842789,0.000699592,176.62785813164197,174.02090933954963,167.6209937798648
241,12/15/2020,181.740005,0.020512695,0.000840915,0.000781804,175.40937301593434,172.82732022445057,166.48028576740933
242,12/16/2020,179.5,-0.012401914,0.000838155,0.000727326,179.05642591197665,176.42181576845377,169.94789160032093
243,12/17/2020,179.169998,-0.001840143,0.000834733,0.00071676,176.84761017760965,174.2407516938875,167.842988178012
244,12/18/2020,180.960007,0.009940986,0.000831659,0.000754564,176.51983068562265,173.9293417345729,167.57474636363747
245,12/21/2020,180.160004,-0.004430684,0.000828374,0.0007334,178.30283429154403,175.7004969825396,169.2851811238137
246,12/22/2020,176.580002,-0.020071324,0.000826759,0.000648828,177.52385658351622,174.9181686735345,168.54241408173024
247,12/23/2020,178.419998,0.010366267,0.000823792,0.00068817,173.9747234183002,171.44106856055578,165.23017957159422
248,12/24/2020,179.559998,0.006369092,0.0008206,0.000711077,175.80503396133278,173.24519339471385,166.92443524047638
249,12/28/2020,178.369995,-0.006649386,0.000817521,0.000681517,176.92602583613848,174.35492110444525,168.04347604424098
250,12/29/2020,176.649994,-0.009689677,0.00081468,0.000640032,175.7727344270243,173.2169730216799,166.9379590521348
251,12/30/2020,180.039993,0.01900867,0.000812773,0.000713214,174.068701361913,171.54665997747875,165.3528556899701
252,12/31/2020,182.020004,0.010937584,0.000809961,0.000753786,177.42863874664522,174.85834672521122,168.52556797648882
