,Date,UNH,PDR,VAR,AVG,VAR70,VAR85,VAR99
190,10/2/2020,311.980011,-0.003487712,0.001115379,0.000339339,307.5566639217914,302.31723632033277,289.53904547374543
191,10/5/2020,318.149994,0.019583832,0.001111468,0.000440096,306.50177314076575,301.31978798348933,288.6360304164902
192,10/6/2020,314.450012,-0.011697832,0.001106443,0.000376877,312.58008753142906,307.29001521761126,294.3625509290842
193,10/7/2020,323.170013,0.027353422,0.001104461,0.000516652,308.94637144973126,303.7357945495038,290.91631298000505
194,10/8/2020,322.410004,-0.002354501,0.00109881,0.000501852,317.57158725565216,312.19654498002933,299.1132196883465
195,10/9/2020,327.839996,0.016701632,0.001094514,0.000584928,316.8544967253883,311.5115781385785,298.52871080367686
196,10/12/2020,329.970001,0.006476072,0.001089106,0.000614985,322.20605397148574,316.79931406749137,303.55795355818805
197,10/13/2020,331.420013,0.004384748,0.001083649,0.000634121,324.3180706293803,318.88119792202195,305.6590009114335
198,10/14/2020,321.850006,-0.029300875,0.001082679,0.000482934,325.78653055288686,320.3185302624945,306.958503066964
199,10/15/2020,324.570007,0.008415634,0.001077553,0.000522797,316.3205001119262,311.0478742374902,298.14297743206254
200,10/16/2020,329.899994,0.016288309,0.001073402,0.000601624,319.0228642580146,313.7325995745417,300.740768299476
201,10/19/2020,324.220001,-0.017367259,0.00106966,0.000512227,324.2788844523505,318.88486287950445,305.7231378200672
202,10/20/2020,323.410004,-0.00250142,0.00106441,0.000497308,318.7138028907429,313.42819772285884,300.5132313009176
203,10/21/2020,322.790009,-0.001918896,0.001059195,0.000485406,317.9153619340422,312.64947616262197,299.74922917839046
204,10/22/2020,325.730011,0.009066866,0.001054362,0.000527471,317.30221311144726,312.0354855647876,299.17670484009375
205,10/23/2020,330.600006,0.014840352,0.001050213,0.00059729,320.2305813022665,314.95394997151726,302.0569118535564
206,10/26/2020,323.059998,-0.023071145,0.001047821,0.000482395,325.0343589266018,319.6798823270978,306.59090872444017
207,10/27/2020,320.51001,-0.00792455,0.001043099,0.000441782,317.6152974457616,312.36035327392926,299.59814392071223
208,10/28/2020,308.0,-0.039813725,0.001045838,0.000248246,315.0773069346143,309.91605118376856,297.32520266408204
209,10/29/2020,303.679993,-0.014125291,0.001041817,0.000179473,302.71786241770826,297.7640846522579,285.6462722911477
210,10/30/2020,305.140015,0.004796244,0.001036957,0.000201457,298.49153779276986,293.5868532614233,281.6247712171947
211,11/2/2020,312.100006,0.022552932,0.001034399,0.000307389,299.9296829992889,295.01855121644775,282.98509917242956
212,11/3/2020,321.350006,0.029207222,0.001033441,0.000443709,306.80151237982324,301.7811515852971,289.58880179145086
213,11/4/2020,354.559998,0.098346688,0.001073378,0.000903347,315.96232188563704,310.81064963969703,298.18497155239453
214,11/5/2020,354.399994,-0.000451377,0.001068371,0.000897017,348.6728709616574,342.87025065785514,328.7396911687285
215,11/6/2020,347.459991,-0.019776677,0.00106538,0.00080086,348.53718601237273,342.7342306097943,328.57122246795916
216,11/9/2020,350.0,0.00728363,0.001060642,0.000830873,341.631753811903,335.99366263983586,322.15056741733
217,11/10/2020,353.690002,0.010487674,0.001056182,0.000875374,344.1754847531275,338.4792608287913,324.57060357199265
218,11/11/2020,351.700012,-0.005642255,0.001051531,0.000845477,347.8314210356839,342.09113237158357,328.0479872818823
219,11/12/2020,354.410004,0.007675873,0.001046941,0.000876666,345.8894075827737,340.1755093191352,326.18590654401305
220,11/13/2020,355.670013,0.003548925,0.001042215,0.000888812,348.56852080230635,342.84639411091894,328.8119902858168
221,11/16/2020,356.820007,0.003228101,0.001037523,0.000899397,349.84814863434895,344.0921936500562,330.06066919530235
222,11/17/2020,352.100006,-0.013316229,0.001033756,0.000835363,350.963622085694,345.21348270609474,331.2053802668478
223,11/18/2020,344.51001,-0.021792097,0.001031406,0.000733895,346.3106743581145,340.64264805779044,326.7337553969929
224,11/19/2020,337.0,-0.022040216,0.001029107,0.000632224,338.8327153738513,333.29827305505535,319.77989213618474
