,Date,MCK,PDR,VAR,AVG,VAR70,VAR85,VAR99
135,7/16/2020,153.369995,-0.000847297,0.001217374,0.000745274,150.74127911922662,148.0573231412362,141.50222675715492
136,7/17/2020,154.809998,0.009345276,0.001208962,0.00080851,150.60424356979365,147.94657337518126,141.42785057933793
137,7/20/2020,153.5,-0.008497979,0.001200765,0.000740579,152.0400964988841,149.35903294637964,142.82632964089635
138,7/21/2020,155.979996,0.016027201,0.001193745,0.000851352,150.75067843850368,148.09670692323226,141.64369976828198
139,7/22/2020,156.25,0.00172952,0.001185163,0.000857669,153.21882917034023,150.5302837815439,143.968683903039
140,7/23/2020,156.660004,0.002620589,0.001176719,0.000870262,153.502996606962,150.81776125885568,144.25004659018862
141,7/24/2020,155.339996,-0.00846164,0.001168987,0.000804078,153.9085851667309,151.2264851993931,144.69241771883478
142,7/27/2020,157.149994,0.011584488,0.001161567,0.000879996,152.6087326150523,149.96557425514877,143.50245226491697
143,7/28/2020,153.889999,-0.02096267,0.001156757,0.00072725,154.42461846051336,151.75210142567062,145.22172971926756
144,7/29/2020,155.699997,0.011693005,0.001149554,0.000803402,151.19449893145188,148.58838786160808,142.19990174513993
145,7/30/2020,153.610001,-0.01351413,0.00114303,0.00070466,152.99401242670734,150.36801178903798,143.92253978569215
146,7/31/2020,150.160004,-0.02271551,0.001138932,0.000544248,150.93623479731673,148.34052376456017,142.01588747713143
147,8/3/2020,159.899994,0.062847163,0.00115741,0.000968077,147.51899668632586,144.9894335411768,138.8131288929144
148,8/4/2020,157.020004,-0.018175371,0.001152049,0.00083873,157.12457862801995,154.416962179229,147.791348288556
149,8/5/2020,153.669998,-0.021565778,0.001147664,0.000688364,154.30139934471302,151.63473157594697,145.1637581956601
150,8/6/2020,151.75,-0.012573003,0.001141177,0.000599955,150.9851744397548,148.38427336925648,142.02466347723498
151,8/7/2020,152.0,0.001646091,0.001133627,0.000606883,149.09827462794433,146.5437365041115,140.28691107072643
152,8/10/2020,152.389999,0.002562497,0.001126194,0.000619749,149.33481937152794,146.77212570506225,140.54044853088675
153,8/11/2020,151.309998,-0.007112318,0.001119221,0.000569212,149.73444889107475,147.1843232046303,140.95482071347013
154,8/12/2020,153.0,0.011107222,0.00111267,0.000637641,148.67591267136143,146.1499921427822,139.94147965221637
155,8/13/2020,152.190002,-0.005308168,0.001105718,0.000599281,150.35779660571097,147.80677452045236,141.60362224231633
156,8/14/2020,158.669998,0.041696808,0.001109388,0.000862726,149.5551225213419,147.0285283167057,140.89312819199174
157,8/17/2020,155.789993,-0.01831766,0.00110465,0.000740558,155.96837300315667,153.33241975777003,146.88297669784524
158,8/18/2020,155.539993,-0.001606013,0.001097693,0.000725707,153.11667000854587,150.54032068066945,144.22152751924838
159,8/19/2020,153.339996,-0.014245236,0.00109219,0.00063155,152.89583227770808,150.3222690745489,144.04037351289693
160,8/20/2020,151.889999,-0.009501084,0.001086002,0.000568221,150.71069739007874,148.1817269649009,142.0225954730978
161,8/21/2020,150.970001,-0.00607542,0.001079529,0.000526956,149.28023569157543,146.7888134859585,140.6603369865533
162,8/24/2020,149.660004,-0.008715067,0.001073389,0.000469906,148.38518618424376,145.9099147084969,139.8338848830589
163,8/25/2020,152.0,0.015514439,0.001068184,0.000562204,147.10320932266885,144.65427726189876,138.70774377232692
164,8/26/2020,152.080002,0.00052619,0.00106167,0.000561985,149.42852288757913,146.93998355410324,140.87359766696758
165,8/27/2020,154.259995,0.014232747,0.001056362,0.000644838,149.51726225844703,147.03378269364023,140.98646976107437
166,8/28/2020,153.869995,-0.002531401,0.001050059,0.000625704,151.67719426311717,149.16998206604103,143.01458335256734
167,8/31/2020,153.440002,-0.002798433,0.001043841,0.0006052,151.29369524172677,148.79673043062533,142.70776787393567
168,9/1/2020,150.220001,-0.021208731,0.001040443,0.000475355,150.882724620493,148.40332947501446,142.33760266916323
169,9/2/2020,156.25,0.039356396,0.001043179,0.00070542,147.6876668040612,145.28325980510647,139.34254934474941
170,9/3/2020,154.320007,-0.012428875,0.001038051,0.00062816,153.65172529403628,151.12451408263988,144.93332271751052
171,9/4/2020,152.429993,-0.012322986,0.001032956,0.000552422,151.7519093818588,149.27159283955365,143.20120367700736
172,9/8/2020,149.929993,-0.016536957,0.001028638,0.000453065,149.8828644324378,147.43008722007053,141.4526684205234
173,9/9/2020,152.309998,0.015749433,0.001024037,0.000541484,147.42226987231285,145.01784791147685,139.15501904993712
174,9/10/2020,150.729996,-0.010427774,0.001018839,0.000478442,149.78207378299953,147.3413355514656,141.38195188457144
175,9/11/2020,150.369995,-0.00239124,0.001013064,0.000462044,148.24401897079665,145.83768018291903,139.93291225418614
176,9/14/2020,150.899994,0.003518436,0.001007361,0.00047941,147.8867839031741,145.49513607669326,139.62138426115857
177,9/15/2020,150.869995,-0.00019882,0.001001672,0.000475578,148.40040626898485,146.0110687459146,140.16114601420327
178,9/16/2020,152.75,0.012384092,0.000996837,0.00054248,148.38805647772017,146.00428762925497,140.14259118780228
179,9/17/2020,151.5,-0.008216973,0.000991694,0.000493544,150.24119099984165,147.8355980626873,141.94690157974318
180,9/18/2020,152.130005,0.004149826,0.000986259,0.000513857,149.0148116905657,146.6332474046089,140.7564058986596
181,9/21/2020,148.229996,-0.025970357,0.000984664,0.000367535,149.64173952220742,147.2541640315451,141.43247252147103
182,9/22/2020,149.610001,0.00926682,0.000979686,0.000416432,145.79603007122662,143.47442500449972,137.79551185277046
183,9/23/2020,147.089996,-0.016987298,0.000975979,0.00032133,147.16980002531156,144.82688911531466,139.07781553465108
184,9/24/2020,146.559998,-0.00360973,0.000970758,0.000299965,144.67153499879743,142.3726255031261,136.7476310435627
185,9/25/2020,148.509995,0.013217375,0.000966408,0.000369789,144.15335867369788,141.873075931074,136.27181884632003
186,9/28/2020,150.089996,0.010582825,0.00096177,0.000424698,146.09011004869325,143.77351953094512,138.1193563573695
187,9/29/2020,146.559998,-0.0238002,0.000959748,0.000295153,147.65607685457545,145.33617815725955,139.65537830965278
188,9/30/2020,148.929993,0.016041463,0.000955955,0.00037891,144.17027060383433,141.90866092708484,136.3379524032466
189,10/1/2020,146.960007,-0.013315861,0.000951884,0.000306451,146.51023742542327,144.21737549419552,138.58778848667944
190,10/2/2020,146.979996,0.000136007,0.000946874,0.000305554,144.56791674435303,142.30305662279292,136.76563792305524
191,10/5/2020,149.179993,0.014857088,0.00094302,0.00038174,144.60602011878228,142.35159463649754,136.7899803962205
192,10/6/2020,146.229996,-0.019972886,0.000940255,0.000275726,146.78254088473219,144.49167349726577,138.88811302529453
193,10/7/2020,148.130005,0.012909603,0.000936206,0.000341187,143.87168579960968,141.63089718476604,136.1295962436486
194,10/8/2020,153.990005,0.038797397,0.000938964,0.000539415,145.75682245203788,143.48314912366789,137.92505480366108
195,10/9/2020,151.289993,-0.017689219,0.000935844,0.000445935,151.55214677361772,149.19235300722184,143.40595867074836
196,10/12/2020,150.679993,-0.004040142,0.000931171,0.000423046,148.8670943316494,146.55335595445717,140.8846374946242
197,10/13/2020,151.639999,0.006350948,0.000926622,0.000453137,148.28981118288576,145.98487846964505,140.35509007745642
198,10/14/2020,154.009995,0.015508219,0.000923081,0.000529173,149.24439861531155,146.92791445145264,141.2845108012088
199,10/15/2020,156.550003,0.016357964,0.000919695,0.000608715,151.5918302602763,149.2529384123855,143.51272720003556
200,10/16/2020,156.669998,0.000766203,0.000915097,0.000609502,154.10687490488266,151.7366536080967,145.91102158714543
