,Date,WSM,PDR,VAR,AVG,VAR70,VAR85,VAR99
159,8/19/2020,95.800003,-0.007383934,0.002350279,0.001740547,94.1251382370796,91.80327171136298,86.23367036944792
160,8/20/2020,95.269997,-0.005547782,0.00233592,0.001694995,93.46412008817055,91.17646777330567,85.6490984039092
161,8/21/2020,99.099998,0.039414487,0.002330193,0.001929278,92.93788692254819,90.6687173538117,85.18800355543078
162,8/24/2020,99.260002,0.001613269,0.00231581,0.001927327,96.69591771223729,94.33436995844032,88.64188163841749
163,8/25/2020,95.360001,-0.040083477,0.002312364,0.001669592,96.86289664194227,94.50040797818323,88.82083845175802
164,8/26/2020,98.959999,0.037056504,0.002305853,0.001885366,93.02948015080086,90.76255784445063,85.30441444922678
165,8/27/2020,91.129997,-0.082428692,0.002334701,0.001374372,96.57332309280017,94.22977724388328,88.5705990625611
166,8/28/2020,89.559998,-0.017378256,0.002322742,0.001261404,88.87690660252271,86.70200421718687,81.44402628244427
167,8/31/2020,87.760002,-0.020302931,0.002311602,0.001132276,87.32199296268983,85.19192904406806,80.0830529462381
168,9/1/2020,88.059998,0.003412539,0.002297873,0.001145849,85.56195863024014,83.48544482524846,78.47500689813509
169,9/2/2020,88.330002,0.003061446,0.002284298,0.001157184,85.87056517693668,83.79386089794212,78.78245759058032
170,9/3/2020,85.709999,-0.03011033,0.002276578,0.000973257,86.1396728698494,84.05129535050075,79.04575013194602
171,9/4/2020,84.559998,-0.013508175,0.002264484,0.000888571,83.58024800802424,81.55426974358643,76.68231079156422
172,9/8/2020,86.379997,0.021294815,0.002253725,0.001007212,82.44678040616418,80.47063298194259,75.6950708570243
173,9/9/2020,89.870003,0.039608082,0.002249261,0.001230338,84.24998857016095,82.2232921049998,77.33037542933495
174,9/10/2020,90.699997,0.009193109,0.002236696,0.001276101,87.67138593375829,85.57312118983121,80.45137209691923
175,9/11/2020,91.419998,0.007906927,0.002224165,0.001313992,88.49425966911033,86.38650970014649,81.25697962624275
176,9/14/2020,93.419998,0.021641183,0.002213862,0.001429487,89.21346897169545,87.07808184075283,81.92669898502609
177,9/15/2020,93.040001,-0.004075915,0.002201524,0.001398383,91.17717223348969,88.99856373403964,83.77938543581244
178,9/16/2020,91.470001,-0.017018458,0.002191051,0.001294918,90.80013843564211,88.64366184980621,83.46081025816319
179,9/17/2020,89.620003,-0.020432518,0.002181433,0.001173535,89.26696307237316,87.15963614299137,82.05245357046749
180,9/18/2020,87.169998,-0.027718331,0.002173926,0.001013025,87.45877809590198,85.41045306885724,80.38909848513818
181,9/21/2020,86.110001,-0.012234652,0.002162879,0.000939833,85.06322792800124,83.05242837380688,78.20694305728537
182,9/22/2020,87.879997,0.020346653,0.002153054,0.001046464,84.036911033573,82.0503240894608,77.26012943600409
183,9/23/2020,88.400002,0.005899779,0.002141416,0.001072985,85.76970970851616,83.7476062086553,78.8946811093636
184,9/24/2020,86.75,-0.018841573,0.002131922,0.000964754,86.28223106386997,84.2628128864639,79.37595289852761
185,9/25/2020,86.860001,0.00126722,0.002120398,0.000966389,84.65105567032828,82.6779073899328,77.89408544959264
186,9/28/2020,88.360001,0.017121751,0.002110394,0.001053246,84.7722472707423,82.79903502788719,78.04417148177505
187,9/29/2020,89.25,0.010022031,0.002099536,0.001101207,86.25842491405132,84.25797319798822,79.42240951311965
188,9/30/2020,90.440002,0.013245249,0.002089149,0.001165803,87.14413944143867,85.12652005244631,80.22120925504188
189,10/1/2020,93.760002,0.036051678,0.0020845,0.001350384,88.30490875604127,86.27098755973009,81.34074842341758
190,10/2/2020,94.510002,0.007967323,0.002073759,0.00138521,91.56532398605198,89.4537354628128,84.34092843832605
191,10/5/2020,99.029999,0.046717154,0.002073604,0.00162255,92.3078055628874,90.18622644916601,85.04008020081827
192,10/6/2020,97.199997,-0.018652144,0.002064934,0.001516953,96.74009859548643,94.51005413780659,89.12010335029076
193,10/7/2020,96.730003,-0.004847057,0.002054443,0.001483979,94.95241788227753,92.77171665287759,87.49093251718975
194,10/8/2020,98.839996,0.021578717,0.002045924,0.00158756,94.49902206656424,92.33947265025814,87.08235745831811
195,10/9/2020,100.169998,0.013366382,0.00203614,0.001647964,96.5681568815291,94.36517464463438,89.04004855144808
196,10/12/2020,99.699997,-0.004703076,0.002025956,0.001615561,97.88779235285081,95.66171986982012,90.22484615521788
197,10/13/2020,105.760002,0.059006748,0.002032307,0.001906887,97.43699872081899,95.21732372990954,89.82671183322385
198,10/14/2020,104.360001,-0.013325925,0.002023209,0.001829953,103.37092037207756,101.0203731650581,95.32861674896422
199,10/15/2020,105.279999,0.008776988,0.002013283,0.001864863,102.01478381926665,99.6921614666976,94.07258995570504
200,10/16/2020,105.0,-0.002663108,0.002003319,0.001842223,102.92107630565805,100.57654928004311,94.90816627045255
201,10/19/2020,104.970001,-0.000285746,0.001993374,0.001831636,102.647911592023,100.32269252270862,94.69861667886747
202,10/20/2020,102.779999,-0.021083833,0.001986093,0.001718193,102.62679531063287,100.30497127630498,94.71655843648564
203,10/21/2020,98.580002,-0.04172235,0.001985559,0.0015042,100.47783579391749,98.21053340209828,92.73522550669422
204,10/22/2020,97.660004,-0.009376322,0.001976404,0.001450865,96.35084542929796,94.17236348564786,88.89692740161401
205,10/23/2020,99.379997,0.017458756,0.001968007,0.001528952,95.4511826777752,93.30694882130626,88.0944759309634
206,10/26/2020,96.790001,-0.026407162,0.001962223,0.00139334,97.15230660509475,94.97347150596262,89.67815865755712
207,10/27/2020,96.169998,-0.006426256,0.001953038,0.001355564,94.61208386123886,92.4844198841923,87.34686483331991
208,10/28/2020,94.720001,-0.015192256,0.001944959,0.001276007,94.0038898797049,91.89584821651663,86.77821530451159
209,10/29/2020,94.220001,-0.005292698,0.001935858,0.001244578,92.58030967941552,90.51755271147263,85.4775563475307
210,10/30/2020,91.209999,-0.032467955,0.001932026,0.001084042,92.09867875449733,90.04333200748526,85.10577897257473
211,11/2/2020,92.120003,0.009927578,0.001923238,0.001125954,89.14512638112724,87.1628915491124,82.3527164719073
212,11/3/2020,96.25,0.043856866,0.001922739,0.001327515,90.04303947112109,88.0453172856584,83.17574303863145
213,11/4/2020,98.790001,0.026047422,0.001916567,0.001443571,94.09161465516257,92.01295417106428,86.94653908483423
214,11/5/2020,98.949997,0.001618247,0.001907611,0.001444387,96.59559475406958,94.4519148186689,89.27882774905262
215,11/6/2020,99.790001,0.008453346,0.001898966,0.001476987,96.75458632223773,94.61296094833101,89.43123765997534
216,11/9/2020,89.82,-0.10526032,0.001942675,0.000982833,97.5874068918686,95.43748206355156,90.205871116679
217,11/10/2020,90.970001,0.012722125,0.001934355,0.001036931,87.76827786583651,85.81344317459424,81.09434624793953
218,11/11/2020,95.779999,0.051524092,0.001937121,0.001268524,88.8882432691035,86.91656802638892,82.10417584082543
219,11/12/2020,92.360001,-0.036359889,0.001934711,0.001096704,93.62984135025188,91.54414743110229,86.47692085768219
220,11/13/2020,93.559998,0.012908925,0.001926548,0.001150396,90.26413773510941,88.25761475094495,83.38869050235274
221,11/16/2020,95.910004,0.024807373,0.001920352,0.001257441,91.44317037973599,89.4160221568599,84.50563614728739
222,11/17/2020,96.599998,0.007168427,0.001911858,0.001284068,93.75464566355068,91.68527251122914,86.63478702163837
223,11/18/2020,97.160004,0.005780425,0.001903375,0.001304231,94.44073961141933,92.3550010237014,87.26443493141511
224,11/19/2020,101.040001,0.039157343,0.001901246,0.001473218,95.00104104197122,92.90241454683483,87.83108477403077
225,11/20/2020,107.709999,0.063925933,0.001910054,0.001750785,98.80009904775883,96.6245234103318,91.33737798454743
226,11/23/2020,112.580002,0.044221677,0.001909548,0.00193871,105.35416610278749,103.02633066798653,97.38698566822839
227,11/24/2020,112.959999,0.003369667,0.001901145,0.001945013,110.13605388206126,107.69741666135141,101.79807506373908
228,11/25/2020,112.010002,-0.008445594,0.001893278,0.001899441,110.5252369018348,108.07751295302938,102.1473997646262
229,11/27/2020,109.940002,-0.01865339,0.001886847,0.00180969,109.59112656162117,107.17548777704835,101.34011169090836
230,11/30/2020,109.470001,-0.004284232,0.001878804,0.001783195,107.55729877642261,105.18743351701922,99.44802368648257
231,12/1/2020,110.739998,0.011534545,0.001871081,0.001825409,107.09590152996672,104.74306484439272,99.03121137064835
232,12/2/2020,110.150002,-0.005342002,0.001863236,0.001794515,108.3478344872561,105.9693945270679,100.22110185757509
233,12/3/2020,111.110001,0.008677619,0.001855442,0.001824056,107.7765229062039,105.41692792276308,99.69954035431066
234,12/4/2020,111.779999,0.006011934,0.001847587,0.001841953,108.72793726995593,106.36168112002359,100.62983579406877
235,12/7/2020,106.370003,-0.049609034,0.001850942,0.001623012,109.38037909341234,107.00240519427535,101.24321342877613
236,12/8/2020,107.57,0.011218188,0.001843487,0.00166367,104.06571723325915,101.79988914757334,96.31037552579919
237,12/9/2020,108.199997,0.00583954,0.001835782,0.00168129,105.24746824317245,102.95845566128384,97.42711268366392
238,12/10/2020,104.870003,-0.031259822,0.001832609,0.001542881,105.8771390541135,103.57932402634356,97.9985508908682
239,12/11/2020,105.0,0.001238834,0.001824942,0.001541609,102.61466168198811,100.38578111621918,94.98493326421739
240,12/14/2020,107.010002,0.018961957,0.001818597,0.001614194,102.73957310809307,100.52066305785321,95.13417935657726
241,12/15/2020,110.449997,0.031640596,0.001814776,0.001738785,104.72262286215384,102.45079973716763,96.99885408162527
242,12/16/2020,112.349998,0.017056078,0.001808243,0.00180208,108.11633069288682,105.77727782832464,100.12486562682429
243,12/17/2020,112.900002,0.004883508,0.00180084,0.00181476,109.9609949943784,107.58816112537978,101.88853479478865
244,12/18/2020,109.639999,-0.029300227,0.001797411,0.00168724,110.52380634408732,108.14456354716268,102.36197033373512
245,12/21/2020,108.959999,-0.006221429,0.001790329,0.00165496,107.31892999110161,105.01211656961064,99.40101088204352
246,12/22/2020,107.839996,-0.010332223,0.001783633,0.001606231,106.65680709076938,104.36391729272945,98.84930685166935
247,12/23/2020,107.800003,-0.000370924,0.001776428,0.001598227,105.56770065255446,103.29763929525639,97.81143645438559
248,12/24/2020,107.68,-0.00111382,0.001769294,0.001587291,105.50614998445509,103.25853603839731,97.79182378878671
249,12/28/2020,104.120003,-0.033619757,0.001767147,0.001445897,105.39807765949769,103.15019046979705,97.69612629379371
250,12/29/2020,104.360001,0.002302361,0.001760081,0.001449323,101.90926244782354,99.73202235984313,94.46414077587468
251,12/30/2020,103.470001,-0.008564745,0.001753467,0.001409426,102.14364786771462,99.97624889303614,94.71931459118449
252,12/31/2020,101.839996,-0.01587881,0.00174769,0.001340822,101.27390760132285,99.12940892980407,93.89199745691323
253,1/4/2021,102.949997,0.010840489,0.001741137,0.00137837,99.68860699860963,97.57403154554106,92.44090824443218
254,1/5/2021,104.160004,0.011684813,0.001734699,0.001418947,100.77581489530964,98.64504266006018,93.4641256810517
255,1/6/2021,106.910004,0.02605918,0.001730268,0.001515575,101.9714610995126,99.81657665101702,94.60583545581481
256,1/7/2021,108.550003,0.015223528,0.00172424,0.001569122,104.67958985222074,102.46557691690393,97.12393877471858
257,1/8/2021,107.889999,-0.006098744,0.001717759,0.001539286,106.29490016619731,104.0535080594123,98.62929180830338
258,1/11/2021,111.18,0.030038329,0.001714237,0.001649747,105.65110219213777,103.43888462539569,98.0447248980522
259,1/12/2021,118.25,0.061650518,0.001721465,0.00188141,108.87360646688745,106.58669053797021,101.05718704081103
260,1/13/2021,119.93,0.014107212,0.001715416,0.001928433,115.81803138322618,113.38874581998198,107.49304082371746
261,1/14/2021,125.129997,0.042444934,0.001715109,0.002083668,117.47848701053907,115.01223771997465,109.07669435401996
262,1/15/2021,124.860001,-0.002160055,0.001708631,0.002067471,122.58451055930608,120.01665529574146,113.74531598758041
263,1/19/2021,124.989998,0.0010406,0.001702139,0.002063567,122.32836501572623,119.76168962533947,113.54799454629287
264,1/20/2021,128.539993,0.028006367,0.001698231,0.002161835,122.47242410376545,119.91124694428521,113.71201409283431
265,1/21/2021,126.709999,-0.014339083,0.001692846,0.002099567,125.94523876287597,123.3195052141564,116.94583154934156
266,1/22/2021,132.320007,0.043322281,0.001692846,0.00225454,124.17117803367232,121.58044713378494,115.30403504366247
267,1/25/2021,132.559998,0.001812074,0.001686507,0.002252883,129.6788029567782,126.96751177404468,120.38055273171341
