,Date,HPQ,PDR,VAR,AVG,VAR70,VAR85,VAR99
208,10/28/2020,17.35,-0.035667523,0.001396472,-0.000869614,17.607788849199274,17.274857681351943,16.465793889627385
209,10/29/2020,17.780001,0.02448178,0.001392851,-0.000748315,16.98673567015619,16.663869074974606,15.878161238345374
210,10/30/2020,17.959999,0.010072721,0.001386773,-0.000696786,17.410992164104854,17.081009130840485,16.27644557934149
211,11/2/2020,18.41,0.024746988,0.001383255,-0.0005762,17.58867959603307,17.25679349810144,16.448126994035803
212,11/3/2020,18.620001,0.01134233,0.001377397,-0.00051998,18.030413546728642,17.69066479251168,16.861334168896978
213,11/4/2020,18.280001,-0.018428705,0.001372429,-0.000604059,18.237286143925555,17.8944296833073,17.05708577461679
214,11/5/2020,19.129999,0.04545011,0.00137588,-0.000388852,17.904941527303226,17.56920720365247,16.748660745652327
215,11/6/2020,19.25,0.00625333,0.001369685,-0.000357959,18.740630439866923,18.387243463584788,17.529911983216095
216,11/9/2020,19.73,0.024629259,0.001366221,-0.000242277,18.860898524206675,18.50691841298446,17.6417130106038
217,11/10/2020,19.870001,0.007070787,0.00136017,-0.000208576,19.334053526726485,18.97039139563961,18.085756650318558
218,11/11/2020,19.360001,-0.026001973,0.001356969,-0.000326895,19.47319819946884,19.10921078572108,18.221235895638195
219,11/12/2020,18.93,-0.022461168,0.001353,-0.000427964,18.971146282469753,18.616737379563396,17.752092207262685
220,11/13/2020,19.610001,0.035291726,0.001352623,-0.000265602,18.547970193187815,18.20198373248578,17.357992633259407
221,11/16/2020,20.299999,0.034581146,0.001351972,-0.000107925,19.217807078425913,18.85852141446969,17.985561107251034
222,11/17/2020,20.5,0.009804049,0.001346323,-6.33e-05,19.8968354957526,19.525628438458313,18.619625124690458
223,11/18/2020,20.450001,-0.002441955,0.001340311,-7.39e-05,20.095387643267696,19.721749008763503,18.808649280777384
224,11/19/2020,20.5,0.002441955,0.001334355,-6.27e-05,20.046801077471276,19.67350058914877,18.765339859103303
225,11/20/2020,20.450001,-0.002441955,0.00132845,-7.33e-05,20.09669246287535,19.723767478182,18.81353540622248
