,Date,AXP,PDR,VAR,AVG,VAR70,VAR85,VAR99
156,8/14/2020,100.410004,-9.95e-05,0.002083657,-0.001447621,97.79304385711698,95.53323734673648,90.03745662118061
157,8/17/2020,97.550003,-0.028896746,0.002075154,-0.001622456,97.78273983166962,95.52486215499616,90.06693764664034
158,8/18/2020,96.669998,-0.009062002,0.002062368,-0.001669542,94.99706095958052,92.798608886114,87.51292114489144
159,8/19/2020,96.889999,0.002273208,0.002049495,-0.001644745,94.1355512766899,91.97575474651475,86.73753642801965
160,8/20/2020,96.720001,-0.001756087,0.002036685,-0.001645441,94.3637456157614,92.20140495438756,86.98335080650018
161,8/21/2020,96.150002,-0.005910724,0.002024148,-0.001671933,94.20324586520576,92.04743444818003,86.83722949302928
162,8/24/2020,99.330002,0.032538168,0.002018832,-0.00146076,93.65605103037798,91.52221682667317,86.37289749627625
163,8/25/2020,99.050003,-0.002822857,0.002006458,-0.001469116,96.77174341637418,94.5691688781657,89.24287300578166
164,8/26/2020,98.400002,-0.006583979,0.001994382,-0.001500304,96.50908555195217,94.31604064051777,89.03195115886089
165,8/27/2020,101.529999,0.031313487,0.001988781,-0.001301433,95.87583150587162,93.71530885459978,88.42958534741624
166,8/28/2020,102.540001,0.009898665,0.001977552,-0.001233962,98.95062319390694,96.71882177056301,91.30915357084297
167,8/31/2020,101.589996,-0.00930791,0.001966098,-0.001282309,99.95141186265927,97.6960855782696,92.25693831368625
168,9/1/2020,102.470001,0.008625017,0.001954976,-0.001223337,99.02495558468291,96.80805024541402,91.41847976277107
169,9/2/2020,104.400002,0.018659612,0.001945734,-0.001105686,99.89930363943667,97.65813008675426,92.23992092286153
170,9/3/2020,104.459999,0.000574519,0.001934305,-0.001095803,101.79389302951404,99.52029631022563,94.02174910312532
171,9/4/2020,105.669998,0.011516798,0.001923918,-0.001022045,101.86155464429605,99.59383190051744,94.08256056977902
172,9/8/2020,103.669998,-0.019108253,0.001914623,-0.001127197,103.06552053292475,100.78173119060878,95.23917821081359
173,9/9/2020,103.779999,0.001060506,0.001903583,-0.001114552,101.11331355649561,98.86723881779032,93.45948531361114
174,9/10/2020,102.769997,-0.009779812,0.001893072,-0.001164352,101.229736147815,98.98974980911622,93.55282961634829
175,9/11/2020,103.360001,0.005724597,0.001882524,-0.001124987,100.24134890366304,98.03107787531968,92.67696765626364
176,9/14/2020,107.269997,0.037130943,0.001880096,-0.000907623,100.82032721362593,98.60059538491794,93.24086752108124
177,9/15/2020,106.68,-0.005515293,0.001869593,-0.000933655,104.66186461690044,102.36316613678335,96.7900163432501
178,9/16/2020,105.980003,-0.006583274,0.001859268,-0.000965395,104.09056367348799,101.81841413036176,96.29641994227248
179,9/17/2020,104.660004,-0.012533386,0.001849625,-0.00103002,103.42285800522863,101.16200794087095,95.67171548778924
180,9/18/2020,103.440002,-0.011725285,0.001839981,-0.001089439,102.12342870185782,99.89780888061703,94.50058301962297
181,9/21/2020,98.169998,-0.052291104,0.00184422,-0.001372321,100.94598700564143,98.75396261856369,93.41055402641668
182,9/22/2020,98.480003,0.003152863,0.001834198,-0.001347457,95.76318175735959,93.68788314240716,88.6322096585017
183,9/23/2020,95.559998,-0.030099211,0.001828668,-0.001504571,96.080054682995,93.99117183074777,88.92099397050625
184,9/24/2020,95.449997,-0.001151783,0.00181873,-0.001502653,93.21824579555502,91.19851714152252,86.3015340948968
