,Date,F,PDR,VAR,AVG,VAR70,VAR85,VAR99
233,12/3/2020,9.21,0.001086366,0.001311672,-9.68e-05,9.019208972785131,8.853706384265328,8.449745684962386
234,12/4/2020,9.34,0.014016402,0.001306914,-3.64e-05,9.029753224698215,8.863930387922178,8.460868498886892
235,12/7/2020,9.22,-0.012931215,0.001302057,-9.13e-05,9.158328404255856,8.99058743041113,8.581885205007195
236,12/8/2020,9.25,0.003248514,0.001296587,-7.72e-05,9.040127648744276,8.874815405265812,8.470946365262321
237,12/9/2020,9.45,0.02139119,0.001293053,1.34e-05,9.070755548649725,8.904069976894927,8.503251130375787
238,12/10/2020,9.12,-0.035544937,0.00129291,-0.000135989,9.268059830757068,9.099242246236122,8.684667360239173
239,12/11/2020,9.02,-0.01102547,0.001287994,-0.000181551,8.94215830409358,8.779122023118285,8.380565065853869
240,12/14/2020,8.91,-0.012270093,0.001283234,-0.00023192,8.844621708421558,8.683867825319737,8.291673416004716
241,12/15/2020,9.15,0.026579638,0.00128088,-0.000120669,8.736868418973662,8.578078264294172,8.189332883845054
242,12/16/2020,9.04,-0.012094705,0.001276177,-0.000170148,8.97291451373604,8.809584336250552,8.411218810059934
243,12/17/2020,9.08,0.004415018,0.001271011,-0.000151279,8.86548425007804,8.704703946153087,8.312691730441092
244,12/18/2020,8.95,-0.01442066,0.001266633,-0.00020976,8.904635021157926,8.743561879904993,8.351578608534924
245,12/21/2020,8.93,-0.002237137,0.00126148,-0.000218035,8.777263456265539,8.618349877345336,8.2320379006532
246,12/22/2020,8.79,-0.015801683,0.001257335,-0.000281384,8.758098771512328,8.600515973399293,8.215452274019132
247,12/23/2020,8.99,0.022498137,0.001254337,-0.000189159,8.619951384403697,8.465489976960727,8.086246728789689
248,12/24/2020,8.86,-0.014566084,0.00125011,-0.00024713,8.817505772392735,8.659044253952393,8.273224731613386
249,12/28/2020,8.89,0.003380285,0.001245142,-0.000232562,8.68994910661385,8.534456051658486,8.152512193719884
250,12/29/2020,8.82,-0.00790518,0.001240396,-0.000263253,8.719605249188595,8.562969296835282,8.182387247898808
251,12/30/2020,8.86,0.004524895,0.001235545,-0.000244177,8.651106207502378,8.496682435000654,8.12128523307732
252,12/31/2020,8.79,-0.007932053,0.001230875,-0.000274684,8.690637085606216,8.535643670261841,8.157371817513871
253,1/4/2021,8.52,-0.031198371,0.001229775,-0.000396912,8.622123627904209,8.4685708133092,8.094892507053537
254,1/5/2021,8.65,0.01514298,0.00122588,-0.000335731,8.35567849070875,8.20754601660235,7.845080976463022
255,1/6/2021,8.84,0.021727556,0.001222975,-0.000249209,8.484792001915139,8.333506983558545,7.965717515153733
256,1/7/2021,9.06,0.024582243,0.001220597,-0.000152211,8.672199176460962,8.518368377194019,8.142293231813433
257,1/8/2021,9.0,-0.006644543,0.00121601,-0.000177473,8.887828341693897,8.730397145465373,8.34638674926695
258,1/11/2021,9.3,0.032789823,0.001215494,-4.97e-05,8.829607788810417,8.673478740446333,8.291590373726832
259,1/12/2021,9.78,0.050325084,0.00122056,0.000144805,9.125243455252015,8.964206816402454,8.57057682084993
260,1/13/2021,9.78,0.0,0.001215866,0.000144248,9.59782274543145,9.42845413894607,9.013770188438732
261,1/14/2021,10.17,0.039102726,0.001217,0.000293514,9.598542947833153,9.42813317389954,9.014783525565084
262,1/15/2021,9.83,-0.034003276,0.001216828,0.00016261,9.982461478712082,9.805857315731782,9.374041630283044
263,1/19/2021,10.02,0.019144161,0.001213566,0.000234783,9.646973956984466,9.475906930640075,9.062335308049532
264,1/20/2021,10.86,0.080503219,0.001233282,0.00053883,9.834858378986159,9.66123334152857,9.237303419802066
265,1/21/2021,11.53,0.05986602,0.00124186,0.000762707,10.661743821641378,10.471903088478081,10.005263278538822
266,1/22/2021,11.52,-0.000867679,0.001237201,0.000756577,11.320753097680905,11.118245936498631,10.624599166543963
267,1/25/2021,11.29,-0.020167277,0.001234201,0.000678211,11.310795281791522,11.108850153215453,10.615054236062543
