,Date,TSN,PDR,VAR,AVG,VAR70,VAR85,VAR99
120,6/24/2020,59.439999,-0.028525997,0.001626741,-0.003454241,59.63727303308705,58.41827003923955,55.45468134301336
121,6/25/2020,59.869999,0.007208145,0.001614229,-0.003366122,57.94657362861299,56.75875779949855,53.88788658814577
122,6/26/2020,58.279999,-0.026916564,0.001605506,-0.003559158,58.380722015104844,57.1941714964921,54.30498599633857
123,6/29/2020,59.259998,0.016675544,0.001595755,-0.003394649,56.819927923159334,55.666832722474965,52.863975678217294
124,6/30/2020,59.709999,0.007564985,0.001583847,-0.003306264,57.79255073072641,56.62307021862487,53.76880015777825
125,7/1/2020,58.57,-0.019276874,0.0015732,-0.003434029,58.24109527173059,57.06656924084054,54.20620814118727
126,7/2/2020,58.450001,-0.002050915,0.001560729,-0.003423052,57.12343480418387,55.97356094432258,53.190553620689236
127,7/6/2020,59.450001,0.016963935,0.001551687,-0.003262525,57.00641556495831,55.866085736846976,53.083170998287066
128,7/7/2020,58.689999,-0.012866302,0.00154028,-0.003337554,57.998640057518,56.84221920523302,54.02702027551022
129,7/8/2020,57.93,-0.013033952,0.001529063,-0.00341272,57.25546843156553,56.11680623235776,53.33888399231163
130,7/9/2020,55.580002,-0.041411925,0.001528322,-0.003705022,56.517108143754484,55.398163479738564,52.67502980672397
131,7/10/2020,58.52,0.051545116,0.00153978,-0.003283265,54.21517157645551,53.13781679886902,50.53207712254208
132,7/13/2020,58.02,-0.008580797,0.001528326,-0.003323398,57.09500545517621,55.961238601094685,53.19035077321399
133,7/14/2020,58.810001,0.013524147,0.001518953,-0.003196725,56.60689872259262,55.484557792192824,52.772552643657086
134,7/15/2020,60.52,0.028661963,0.001515135,-0.002958973,57.39390826284994,56.25936802029598,53.51418892842696
135,7/16/2020,60.369999,-0.002481613,0.001503914,-0.002955437,59.06942046369901,57.9033665954671,55.07516217871325
136,7/17/2020,60.82,0.007426406,0.001493642,-0.0028791,58.94216269664796,57.77920513057809,54.96231813210607
137,7/20/2020,60.16,-0.010911003,0.001483207,-0.002937727,59.381262853631064,58.21575060517867,55.39248947224569
