,Date,AMZN,PDR,VAR,AVG,VAR70,VAR85,VAR99
155,8/13/2020,158.050995,-0.000385909,0.000641501,0.003290895,156.48709032636384,154.46847802782233,149.47871782267512
156,8/14/2020,157.401001,-0.004121039,0.000637739,0.003243383,156.42966802235748,154.4197252493559,149.45987540637847
157,8/17/2020,159.120499,0.010865075,0.000634045,0.003291929,155.779635574574,153.7741988147032,148.8675174591428
158,8/18/2020,165.624496,0.040061383,0.000638534,0.003524647,157.50305159069413,155.48113548039376,150.50441723248588
159,8/19/2020,163.024002,-0.015825712,0.000636859,0.003402947,163.96907507105584,161.86801011081465,156.67881655375334
160,8/20/2020,164.8685,0.011250745,0.000633261,0.003451995,161.37474238513,159.30411976265992,154.19858274094264
161,8/21/2020,164.235992,-0.003843817,0.000629656,0.00340668,163.21587027392238,161.13589655113134,155.98057559655123
162,8/24/2020,165.373001,0.006899166,0.000625844,0.003428238,162.59103294189902,160.51317182993134,155.40644706674126
163,8/25/2020,167.324493,0.011731464,0.000622425,0.003479178,163.72616123386365,161.65188209430863,156.51061926752567
164,8/26/2020,172.092499,0.028097118,0.000622302,0.003629288,165.68394973999102,163.57428575473503,158.40074407482533
165,8/27/2020,170.0,-0.01223368,0.000620047,0.003533148,170.41391259596975,168.257327535255,162.9392455842156
166,8/28/2020,170.089996,0.000529248,0.000616366,0.003515053,168.34146482362243,166.2185993311927,160.93404171407732
167,8/31/2020,172.548004,0.014347797,0.000613373,0.003579919,168.4291198345422,166.29546532347908,161.0619809983194
168,9/1/2020,174.955994,0.013858998,0.000610347,0.003641104,170.8787745374119,168.73816507180888,163.42332338632247
169,9/2/2020,176.572495,0.009197049,0.000606917,0.00367398,173.277201863687,171.10133578954492,165.744749998058
170,9/3/2020,168.399994,-0.047389462,0.000618595,0.003373607,174.897003244888,172.7004065790157,167.28496402762534
171,9/4/2020,164.731003,-0.022028207,0.000618729,0.003225058,166.7257934011136,164.6108744106505,159.43321351901886
172,9/8/2020,157.492004,-0.04493917,0.000628541,0.002945033,163.07630609021786,161.01670070095653,155.91623508229105
173,9/9/2020,163.430496,0.03701311,0.000631577,0.003141959,155.84855890600588,153.85560131270162,148.9615230576959
174,9/10/2020,158.755493,-0.02902256,0.000633859,0.002957105,161.7539544308182,159.68747641668725,154.5851482074448
175,9/11/2020,155.811005,-0.018721472,0.000632907,0.002833228,157.09073687839134,155.07140018213926,150.13184290380033
176,9/14/2020,155.148499,-0.00426105,0.000629596,0.002792919,154.15541591107512,152.17839229608234,147.33234174268088
177,9/15/2020,157.806503,0.016986902,0.00062717,0.002873111,153.49055738950173,151.53554927110238,146.7181908076834
178,9/16/2020,153.904999,-0.025034096,0.000627998,0.002716329,156.15457017171187,154.15415590239022,149.26009018745538
179,9/17/2020,150.436493,-0.022794501,0.000628105,0.00257381,152.2598516557331,150.31905822545187,145.52704803791923
180,9/18/2020,147.745499,-0.01804983,0.000626965,0.002459235,148.81830791261373,146.92665038496773,142.2593600607777
181,9/21/2020,148.023499,0.001879846,0.000623503,0.002456034,146.1267488851916,144.2601102700537,139.66535660297365
182,9/22/2020,156.449493,0.055362191,0.000635372,0.002746727,146.4127524682312,144.55481114736287,139.9552125131342
183,9/23/2020,149.992996,-0.04214463,0.000642852,0.002501419,154.77204999952784,152.79075846939426,147.91248636944636
184,9/24/2020,150.989502,0.006621712,0.00063945,0.002523812,148.3335721848948,146.41994687994213,141.7039774292929
185,9/25/2020,154.7565,0.024642603,0.000638624,0.002643373,149.3299919028549,147.41151031134103,142.6581377834958
186,9/28/2020,158.702499,0.02517846,0.000637906,0.002764529,153.07106031060906,151.09472957959156,146.23540697924454
187,9/29/2020,157.244003,-0.009232616,0.00063526,0.002700373,157.00306850221205,154.98279087808518,150.04136054622407
188,9/30/2020,157.436493,0.0012234,0.000631893,0.002692517,155.54527734453723,153.55519166929923,148.6253651566817
189,10/1/2020,161.063004,0.02277346,0.000630672,0.002798765,155.74345721661246,153.75324074656038,148.84137991701436
190,10/2/2020,156.25,-0.030338329,0.000633101,0.00262436,159.3455481032232,157.30586902941056,152.28739652241782
191,10/5/2020,159.960007,0.023466539,0.000632049,0.002733481,154.56289570023475,152.57911620942892,147.6969825254253
192,10/6/2020,154.998001,-0.031511608,0.000634833,0.002555121,158.23504532279486,156.21480835600116,151.22979187037757
193,10/7/2020,159.7845,0.030413812,0.000635545,0.002699467,153.30493414763836,151.34075685552452,146.51713580627003
194,10/8/2020,159.527496,-0.001609736,0.000632364,0.002677254,158.0652389084112,156.03431298905906,151.05223964395142
195,10/9/2020,164.332504,0.029675543,0.00063284,0.002815707,157.81177246467823,155.7917975600867,150.82243259395227
196,10/12/2020,172.1465,0.04645402,0.000639277,0.003038352,162.5835212611104,160.50648767558485,155.3677756965828
197,10/13/2020,172.181503,0.000203312,0.000636073,0.003023961,170.3437438038027,168.1444830584255,162.75368605158343
198,10/14/2020,168.185501,-0.023481628,0.000636391,0.002890094,170.3859194058048,168.1961302871442,162.79388092566757
199,10/15/2020,166.932495,-0.007478034,0.00063373,0.002837993,166.39792597869908,164.2640530707526,158.9984113970238
200,10/16/2020,163.635498,-0.019948128,0.000633144,0.002724062,165.15885240857676,163.05115517886813,157.80682507660993
201,10/19/2020,160.360504,-0.02021695,0.0006326,0.002609928,161.87720044669862,159.80904671893364,154.68973467780904
202,10/20/2020,160.850494,0.003050894,0.000629469,0.002612111,158.62121156057168,156.5941938330538,151.57973432164465
203,10/21/2020,159.246994,-0.010018907,0.00062715,0.002549889,159.1199810818595,157.0874762349963,152.09064147991734
204,10/22/2020,158.820007,-0.002684889,0.00062421,0.002524228,157.51568475197078,155.5072868646709,150.56108180314806
205,10/23/2020,160.220001,0.008776347,0.000621355,0.002554726,157.09945249794634,155.10362643790933,150.21452458404784
206,10/26/2020,160.352005,0.000823553,0.000618353,0.002546323,158.49644778611247,156.48167448196693,151.54681338747386
207,10/27/2020,164.316498,0.024423004,0.000617666,0.002652007,158.62968772927655,156.62481524976374,151.6708769331923
208,10/28/2020,158.139008,-0.03831999,0.000622729,0.002455026,162.57231664388243,160.51905351916758,155.43761299687367
209,10/29/2020,160.550507,0.015134135,0.000620515,0.002515692,156.41506009746345,154.43104309607943,149.53461934528698
210,10/30/2020,151.807495,-0.055995341,0.000633785,0.002237068,158.82433012358882,156.81225655286033,151.86277541634064
211,11/2/2020,150.223999,-0.010485731,0.000631545,0.00217677,150.11139116537214,148.1920456209886,143.46979198776177
212,11/3/2020,152.420502,0.014515655,0.00062928,0.002234973,148.5316615922742,146.635904585135,141.95544978444033
213,11/4/2020,162.057999,0.061311128,0.000642634,0.002512326,150.7109066039688,148.78434270905996,144.08472658398037
214,11/5/2020,166.100006,0.024635763,0.000641908,0.002615706,160.27035313908107,158.20372329020182,153.11530828683667
215,11/6/2020,165.568497,-0.003205064,0.000639079,0.002588633,164.28255771335017,162.16919734453796,156.94635669376126
216,11/9/2020,157.186996,-0.051948834,0.000649826,0.002336144,163.7590690119483,161.64304927011324,156.47282587893045
217,11/10/2020,151.751007,-0.035195088,0.000653293,0.002163189,155.42065139708086,153.40324718215885,148.459238535303
218,11/11/2020,156.869507,0.033173228,0.000654687,0.002305437,149.9994106432911,148.0491784358678,143.25965414896623
219,11/12/2020,155.514008,-0.008678483,0.000652246,0.002255282,155.0759674770662,153.05298422044592,148.10971876557005
220,11/13/2020,156.440506,0.005939973,0.000649343,0.002272031,153.74978561286332,151.74838121615298,146.82457133875226
221,11/16/2020,156.552994,0.000718788,0.000646415,0.002265003,154.66387896164608,152.64787035787074,147.7095840521198
222,11/17/2020,156.783005,0.001468143,0.000643507,0.002261413,154.78564485957216,152.7825101522908,147.83902828297633
223,11/18/2020,155.272995,-0.00967789,0.000641257,0.002207874,155.01165833008176,153.01238008454442,148.0471495430547
224,11/19/2020,155.850998,0.003715584,0.000638405,0.002214605,153.52329260480695,151.54423042921965,146.6914331625921
225,11/20/2020,154.970001,-0.005668854,0.000635842,0.002179567,154.0936534056306,152.1148014263795,147.21894415047373
226,11/23/2020,154.919495,-0.000325961,0.000633056,0.002168481,153.2233888932474,151.25887386743457,146.41712389997863
227,11/24/2020,155.903,0.006328424,0.000630344,0.002186806,153.17044362067105,151.20296403398274,146.37830519994836
228,11/25/2020,159.253494,0.021263216,0.000629168,0.002270475,154.14663703181762,152.17963168525242,147.346377235222
229,11/27/2020,159.766998,0.003219257,0.000626424,0.002274618,157.47225769969114,155.46934984354056,150.50606123627847
230,11/30/2020,158.401993,-0.00858043,0.000624211,0.002227422,157.99998090051807,155.98091652732558,151.03936863268015
231,12/1/2020,161.003998,0.016293136,0.000622361,0.002288313,156.64315255535686,154.64713926878886,149.75662930416092
232,12/2/2020,160.176498,-0.005152877,0.000619916,0.002256239,159.23400509195176,157.2136634597558,152.2190665467309
233,12/3/2020,159.336502,-0.005257989,0.000617497,0.002223989,158.399519127171,156.38625643618894,151.4623283065815
234,12/4/2020,158.128998,-0.007607188,0.00061527,0.002181975,157.57453944477223,155.5824298321129,150.67735048201195
235,12/7/2020,157.899994,-0.00144926,0.000612707,0.002166523,156.3831133359382,154.41133171921197,149.5502852562191
236,12/8/2020,158.864502,0.006089767,0.000610176,0.002183147,156.15633150779178,154.18577063424172,149.3151102936846
237,12/9/2020,155.210007,-0.023272566,0.000610324,0.002075739,157.1237182182979,155.1478585884728,150.2733403195533
238,12/10/2020,155.074493,-0.000873482,0.000607796,0.002063347,153.49020890754485,151.55553733875405,146.83612881315318
239,12/11/2020,155.820999,0.004802305,0.000605284,0.002074807,153.35142289307305,151.4235188149418,146.67974023144615
240,12/14/2020,157.848495,0.012927774,0.000603251,0.002120028,154.09299779993407,152.15850221010984,147.3967703023882
241,12/15/2020,158.255997,0.002578275,0.000600749,0.00212193,156.11312841365034,154.15920512971343,149.36688729271756
242,12/16/2020,162.048004,0.023678656,0.000600179,0.002211007,156.51452100094494,154.567213677539,149.76402459220728
243,12/17/2020,161.804001,-0.00150688,0.000597765,0.002195707,160.29592762618034,158.2933641625717,153.35832715856458
244,12/18/2020,160.082504,-0.0106964,0.000595994,0.00214287,160.04769713633183,158.0578304616547,153.1372713172401
245,12/21/2020,160.309006,0.001413908,0.000593563,0.002139895,158.34003542883383,156.37267140898916,151.53427340643546
246,12/22/2020,160.326004,0.000106027,0.000591167,0.002131627,158.57271121266524,156.60017011606305,151.76086970589412
247,12/23/2020,159.263504,-0.006649179,0.000589085,0.002096078,158.59280695192737,156.63370774242748,151.79218809291942
248,12/24/2020,158.634506,-0.003957237,0.000586857,0.002071669,157.53158047404617,155.5854080789833,150.79638747923607
249,12/28/2020,164.197998,0.034470153,0.000588698,0.002201783,156.91251158323686,154.97855581768977,150.2123788996548
250,12/29/2020,166.100006,0.011517048,0.000586689,0.002239044,162.4350107507659,160.43669223647478,155.47770466416145
251,12/30/2020,164.292496,-0.010941701,0.000585041,0.002186531,164.3338241417369,162.30465668391676,157.31600212947328
252,12/31/2020,162.846497,-0.008840331,0.0005832,0.002142774,162.52515030532373,160.52815574975554,155.60863856372237
253,1/4/2021,159.331497,-0.021821102,0.000583156,0.002048055,161.1015224925512,159.11978443307638,154.23599313671045
254,1/5/2021,160.925507,0.00995465,0.000581105,0.002079184,157.60652430899705,155.6689496441739,150.89628350739903
255,1/6/2021,156.919006,-0.025211782,0.000581736,0.00197216,159.18996504707488,157.2416927584589,152.4201887811298
256,1/7/2021,158.108002,0.00754857,0.000579584,0.001993943,155.2053047580565,153.30048154346275,148.60180718999302
257,1/8/2021,159.134995,0.006474511,0.000577407,0.002011377,156.38934920664525,154.4712512268135,149.75263903562188
258,1/11/2021,155.710495,-0.021754385,0.00057735,0.001919262,157.41091456795766,155.48548396197563,150.75788837354887
259,1/12/2021,156.041504,0.002123541,0.000575121,0.00192005,154.01331910719622,152.13223498187645,147.48047686219468
260,1/13/2021,158.294495,0.014335167,0.000573499,0.001967801,154.345086682302,152.45631330021524,147.80751460687065
261,1/14/2021,156.373505,-0.012209782,0.000572069,0.001913481,156.57869448750782,154.67271769326814,149.9818260052936
262,1/15/2021,155.212494,-0.007452301,0.000570219,0.001877733,154.67412574816692,152.79475393456755,148.1823949057899
263,1/19/2021,156.037994,0.005304422,0.000568095,0.001890763,153.52569618016082,151.66291832091713,147.06946211359977
264,1/20/2021,163.169006,0.044686981,0.000572855,0.00205287,154.34829441328813,152.47562319343197,147.85508716709896
265,1/21/2021,165.349503,0.013274923,0.000571167,0.002095217,161.41671403819157,159.44885461846917,154.60734880946373
266,1/22/2021,164.611496,-0.004473306,0.000569181,0.002070523,163.5949540274232,161.60251264292552,156.68737754037934
267,1/25/2021,164.699997,0.000537491,0.000567058,0.002064782,162.8567503068123,160.88193030362703,156.00464454073472
268,1/26/2021,166.306503,0.00970687,0.000565159,0.002093297,162.94872177787408,160.97180379907613,156.11890684374475
