,Date,BAC,PDR,VAR,AVG,VAR70,VAR85,VAR99
136,7/17/2020,23.219999,-0.030118969,0.002084746,-0.003150402,23.26802651460103,22.729736675322176,21.42514848029326
137,7/20/2020,23.58,0.015384962,0.002072019,-0.003015107,22.57501842694804,22.054352039169434,20.786200047369803
138,7/21/2020,24.42,0.035003574,0.002067402,-0.002739609,22.930139667716336,22.402925563380837,21.12278533885978
139,7/22/2020,24.309999,-0.004514721,0.002052551,-0.00275238,23.755817151024278,23.208223122627448,21.88391909979393
140,7/23/2020,24.540001,0.009416733,0.002038941,-0.002665458,23.65030761329962,23.108380080148248,21.798212936763456
141,7/24/2020,24.35,-0.007772631,0.002024664,-0.002701679,23.875335257540485,23.33023923233917,22.012573429738236
142,7/27/2020,24.139999,-0.008661675,0.002010654,-0.002743651,23.692757039065896,23.15329444221303,21.849642810993043
143,7/28/2020,24.360001,0.00907231,0.001997563,-0.002661022,23.490290300389425,22.958585494822465,21.66180417289642
144,7/29/2020,25.27,0.036675438,0.001994362,-0.002387852,23.707899848091554,23.17017962401308,21.871122172277705
145,7/30/2020,24.84,-0.017162664,0.001982103,-0.002489747,24.60130217312758,24.045507713924398,22.686575762190163
146,7/31/2020,24.879999,0.001608971,0.001968641,-0.002461674,24.183593084351603,23.637171658025796,22.31565695933073
147,8/3/2020,24.99,0.004411517,0.001955568,-0.002414917,24.22436674683591,23.680290011462258,22.363611323703022
148,8/4/2020,25.01,0.0008,0.001942424,-0.002393195,24.33452980944365,23.789317493981848,22.47519507430396
149,8/5/2020,25.389999,0.015079611,0.001931423,-0.002275928,24.3603331731192,23.81585317677713,22.498648227915872
150,8/6/2020,25.469999,0.003145893,0.001918741,-0.002239782,24.72955428081017,24.179687274419283,22.84400231676285
151,8/7/2020,26.110001,0.024817171,0.001910851,-0.002060597,24.81069772913975,24.259123475496548,22.92959419426674
152,8/10/2020,26.559999,0.017087866,0.001900676,-0.00193462,25.441351722126644,24.87767203374157,23.51704985743553
153,8/11/2020,26.92,0.013463218,0.001889792,-0.001833981,25.88302920260089,25.312013834662583,23.930595290278376
154,8/12/2020,26.73,-0.007082975,0.001877699,-0.001868065,26.243014069850798,25.664059423712942,24.270463237279024
155,8/13/2020,26.35,-0.014318255,0.001866578,-0.001948389,26.05565102689191,25.483378504003966,24.095217366131177
156,8/14/2020,26.469999,0.004543703,0.001854881,-0.001906773,25.68511971752977,25.12269763884178,23.763005197711706
157,8/17/2020,25.9,-0.02176901,0.001845564,-0.002033284,25.804636057147267,25.24284231028692,23.88434810449643
158,8/18/2020,25.530001,-0.014388698,0.001834843,-0.002111483,25.245838014001937,24.69720876751693,23.368433079846152
159,8/19/2020,25.5,-0.001175818,0.001823308,-0.002105598,24.88711653807252,24.34780365608852,23.033010158344457
160,8/20/2020,25.1,-0.015810606,0.001813079,-0.002191255,24.86054942326517,24.32482674775873,23.024575181882366
161,8/21/2020,24.98,-0.004792341,0.00180186,-0.00220741,24.469014862944494,23.94132519507536,22.65682630247394
162,8/24/2020,25.690001,0.028026345,0.001796345,-0.002020782,24.352451100472287,23.82923696171761,22.553013768301337
163,8/25/2020,26.0,0.011994688,0.001786522,-0.001934798,25.050076133508163,24.514648344970897,23.205343148006055
164,8/26/2020,25.559999,-0.017067948,0.001777017,-0.002027073,25.359487905257826,24.815720710887554,23.502658164069782
165,8/27/2020,26.049999,0.018989139,0.001768907,-0.001899702,24.928950412500818,24.396934615096768,23.10224526706143
166,8/28/2020,26.299999,0.009551171,0.001759036,-0.001830721,25.410423141145625,24.869447360006514,23.556092917014983
167,8/31/2020,25.74,-0.021522699,0.001750811,-0.001948637,25.660461258427386,25.114165038132768,23.787472849386493
168,9/1/2020,25.709999,-0.00116622,0.001740393,-0.00194398,25.110734053167842,24.578421890349762,23.286887856738165
169,9/2/2020,26.02,0.011985491,0.001731237,-0.001861557,25.084357984269054,24.554896103295732,23.26658498798669
170,9/3/2020,25.66,-0.013932114,0.001721905,-0.00193256,25.38881103915619,24.85535221698797,23.5573655376678
171,9/4/2020,26.540001,0.033719707,0.001719225,-0.001724067,25.03558847635865,24.509756643194674,23.230968110449947
172,9/8/2020,25.48,-0.040759236,0.001718037,-0.001951016,25.90286304194765,25.35851634457979,24.039999363037097
173,9/9/2020,25.51,0.001176701,0.001708162,-0.001932937,24.86140930451881,24.339290217885143,23.071635484320463
174,9/10/2020,25.139999,-0.014610369,0.001699264,-0.002005795,24.89515756203506,24.373342524930106,23.10920045548262
175,9/11/2020,25.5,0.014218289,0.001691049,-0.001913086,24.535082311808484,24.021738257947543,22.775178671910354
176,9/14/2020,25.75,0.009756175,0.00168221,-0.001846784,24.886168314456096,24.368198944012793,23.11275683469877
177,9/15/2020,25.280001,-0.018421018,0.001674249,-0.001940424,25.1312456499139,24.6080673037623,23.341135521350786
178,9/16/2020,25.6,0.012578743,0.001666021,-0.001858855,24.672928058183068,24.163853922847363,22.91924478739732
179,9/17/2020,25.35,-0.009813621,0.001657065,-0.001903295,24.987885322982716,24.471819552548496,23.218519484730308
180,9/18/2020,25.209999,-0.005538029,0.001647932,-0.001923488,24.744822447239798,24.235150299190508,23.001686589644194
181,9/21/2020,24.469999,-0.029792865,0.001643095,-0.002077463,24.611908847868115,24.105163829630705,22.875817499468337
182,9/22/2020,23.940001,-0.021897095,0.001636214,-0.002186362,23.885613438704098,23.395032045637738,22.20784673024284
183,9/23/2020,23.26,-0.028815595,0.001631126,-0.002331877,23.367225084337026,22.88761196525213,21.720812717699676
184,9/24/2020,23.34,0.00343348,0.001622441,-0.002300543,22.701183769388155,22.236275611637446,21.112201805720556
185,9/25/2020,23.49,0.006406172,0.001614079,-0.00225348,22.78369125740845,22.317905905240625,21.18385606096784
186,9/28/2020,24.09,0.025222018,0.001609438,-0.002105762,22.92851333159057,22.461751542423055,21.32504337447958
187,9/29/2020,23.77,-0.013372535,0.001601506,-0.002166012,23.517899547709153,23.040047919939276,21.879276208985672
188,9/30/2020,24.09,0.013372535,0.001594265,-0.00208336,23.202832221376287,22.734877002712512,21.59328448137517
189,10/1/2020,24.1,0.000415024,0.001585863,-0.002070141,23.5215535482287,23.046882235839494,21.887962951228385
190,10/2/2020,24.209999,0.004553889,0.001577746,-0.002035278,23.534450785178493,23.057473013752983,21.90145236254268
191,10/5/2020,24.620001,0.016793432,0.001571332,-0.001936698,23.643448502572568,23.169867318387382,22.01973007367147
192,10/6/2020,24.370001,-0.010206253,0.001563502,-0.001979769,24.047971345007856,23.564520123901136,22.390322957754123
193,10/7/2020,24.879999,0.020711319,0.001558055,-0.001862199,23.804847369360946,23.326698196754386,22.168569940219815
194,10/8/2020,25.24,0.01436581,0.001551374,-0.001778549,24.3072396634189,23.821941037594087,22.63741267390578
195,10/9/2020,25.360001,0.004743131,0.001543636,-0.001745105,24.66019866293706,24.169035858531473,22.97272423248417
196,10/12/2020,25.68,0.01253931,0.001536796,-0.001672225,24.779162869170655,24.283900160507592,23.08532376380492
197,10/13/2020,24.950001,-0.028838617,0.001532722,-0.001810125,25.095564740606907,24.597659280019506,23.390084086735385
198,10/14/2020,23.620001,-0.054780009,0.00153908,-0.00207765,24.381450884669814,23.898436996222923,22.72891933267437
199,10/15/2020,24.15,0.022190527,0.001534291,-0.001955699,23.073664588297987,22.61444464334374,21.499459277530466
200,10/16/2020,24.24,0.003719781,0.001526779,-0.001927322,23.59370242457529,23.125519273731918,21.984084896992236
201,10/19/2020,23.719999,-0.021685629,0.001521116,-0.002025622,23.684520403332016,23.21470144386342,22.07593612232043
202,10/20/2020,24.139999,0.017551642,0.001515474,-0.001928705,23.17498236490729,22.715685122416048,21.60128520190923
203,10/21/2020,24.049999,-0.003735219,0.001508024,-0.001937604,23.587981269451845,23.12285751096027,21.99096137702648
204,10/22/2020,24.870001,0.033527343,0.001506767,-0.001763756,23.502319380627096,23.039911374247964,21.912748523430025
205,10/23/2020,24.9,0.001205505,0.00149946,-0.001749272,24.308154224488693,23.833446648563775,22.665567693297344
206,10/26/2020,24.540001,-0.014563323,0.001492974,-0.001811476,24.338480181280147,23.861302897561348,22.701487485273958
207,10/27/2020,23.85,-0.028520263,0.001489192,-0.001940504,23.984248155452953,23.515614956624393,22.378026098181106
208,10/28/2020,23.469999,-0.01606125,0.001482986,-0.002008392,23.308917413646647,22.85506051608904,21.742636601187158
209,10/29/2020,23.540001,0.002978177,0.001476009,-0.001984533,22.938022219401685,22.48850242864347,21.39871538348761
210,10/30/2020,23.700001,0.006773946,0.001469344,-0.001942826,23.00895640115342,22.560468029045396,21.46714260957519
211,11/2/2020,24.08,0.01590653,0.001463883,-0.001858232,23.166616754935944,22.716552521687955,21.616709558678785
212,11/3/2020,24.690001,0.025016723,0.001460368,-0.001731463,23.540296966271633,23.085191867889744,21.97267131069833
213,11/4/2020,23.68,-0.041767534,0.001461002,-0.001919426,24.14134968817565,23.67444450631205,22.535349741973793
214,11/5/2020,24.610001,0.038522095,0.001461782,-0.001730447,23.14758317325826,22.701165474761133,21.606570306461123
215,11/6/2020,24.309999,-0.012265158,0.001455497,-0.001779446,24.063146524353183,23.596172499604013,22.458570125667592
216,11/9/2020,27.76,0.132708388,0.001532107,-0.001156817,23.77016490464702,23.307673319387913,22.189738195074963
217,11/10/2020,27.66,-0.003608809,0.001525074,-0.001168116,27.143308965457567,26.60728069101425,25.29919717563963
218,11/11/2020,27.34,-0.011636495,0.001518579,-0.001216136,27.046531304963498,26.51078924308359,25.21019833864177
219,11/12/2020,26.690001,-0.02406183,0.001514017,-0.001320455,26.73561012502716,26.208542205451856,24.919888378770146
220,11/13/2020,27.0,0.011547865,0.001507884,-0.001261962,26.096767827088183,25.582296936398926,24.32474469623734
221,11/16/2020,27.58,0.021254006,0.001503345,-0.00116008,26.404216430232374,25.8830759224562,24.622230331800413
222,11/17/2020,27.549999,-0.001088373,0.001496573,-0.001159757,26.973716625659108,26.4436555680423,25.15221632273184
223,11/18/2020,26.98,-0.020906649,0.001491603,-0.001248308,26.94308668808137,26.41635011451905,25.12915783959622
224,11/19/2020,26.98,0.0,0.001484951,-0.001242735,26.38612844120312,25.868024542543235,24.61156233015922
225,11/20/2020,26.809999,-0.006320936,0.001478465,-0.001265305,26.38778406103382,25.871985244554452,24.617806974053448
226,11/23/2020,27.389999,0.021403032,0.001474187,-0.001165003,26.222085843189515,25.70939256558561,24.466430317875236
227,11/24/2020,28.98,0.05642799,0.00148224,-0.000911289,26.793101015134116,26.27028684627817,24.999474255982452
228,11/25/2020,29.030001,0.001723876,0.001475769,-0.000899731,28.35189874759807,27.798571690910727,26.448013370690372
229,11/27/2020,28.99,-0.00137887,0.001469326,-0.000901824,28.40431050249077,27.850850942954715,26.500084384468327
230,11/30/2020,28.16,-0.029048412,0.001466367,-0.0010242,28.368012827888975,27.814610900601128,26.467845343309744
231,12/1/2020,28.690001,0.018646134,0.001461687,-0.000939047,27.551165711302872,27.015584843903465,25.71140058889171
232,12/2/2020,29.059999,0.012813959,0.001456198,-0.000879767,28.07512664528315,27.530627531942407,26.20079286914442
233,12/3/2020,28.91,-0.005175068,0.001450027,-0.000898202,28.44024970733858,27.88990900136681,26.548017429362627
234,12/4/2020,29.290001,0.013058639,0.00144466,-0.000838557,28.2927475899798,27.746617780365238,26.417085477762168
235,12/7/2020,29.09,-0.006851722,0.001438665,-0.000864145,28.666249588892466,28.117469575589137,26.76774765332349
236,12/8/2020,28.93,-0.005515354,0.001432661,-0.000883854,28.46860026201441,27.923527105827066,26.587714588668835
237,12/9/2020,28.799999,-0.004503767,0.001426671,-0.000899128,28.315978771919017,27.7725716605521,26.451494541749554
238,12/10/2020,29.110001,0.01070644,0.00142124,-0.000850365,28.187411484746516,27.648810648322073,26.330746771764627
239,12/11/2020,28.57,-0.018724576,0.001416624,-0.000925152,28.496906191817033,27.95077558284626,26.629123967002
240,12/14/2020,28.219999,-0.012326305,0.001411261,-0.000972657,27.965312144885,27.43237352138611,26.135687123196124
241,12/15/2020,28.639999,0.014773396,0.00140643,-0.000907321,27.623499198339623,27.095458644707154,25.813122170967404
242,12/16/2020,28.719999,0.002789402,0.001400674,-0.000892045,28.034526420718755,27.502287987485033,26.207214075745984
243,12/17/2020,28.83,0.003822802,0.001395001,-0.000872642,28.118734778857107,27.58371615910088,26.284473336484584
244,12/18/2020,28.67,-0.005565232,0.001389374,-0.000891874,28.22389793460498,27.690691871136366,26.386109745360507
245,12/21/2020,29.74,0.036641661,0.00138943,-0.000738676,28.07027532411564,27.53905851112418,26.24246344531543
246,12/22/2020,29.209999,-0.017981859,0.001384985,-0.00080877,29.123529103202078,28.571943716673225,27.232850095116792
247,12/23/2020,30.049999,0.028351546,0.001382807,-0.000690712,28.603384692722123,28.062623103997485,26.745527031802194
248,12/24/2020,29.959999,-0.002999502,0.001377252,-0.000700022,29.42868686188249,28.873374797382237,27.52626778726638
249,12/28/2020,30.129999,0.005658195,0.001371883,-0.000674487,29.343495360427887,28.79177472028877,27.445326696753142
250,12/29/2020,30.01,-0.003990661,0.001366439,-0.000687752,29.510212758598072,28.954953577384043,27.606857908421503
251,12/30/2020,29.98,-0.001000167,0.001360996,-0.000688996,29.393272050624347,28.84088095896509,27.49747439460728
252,12/31/2020,30.309999,0.010947165,0.00135613,-0.000642821,29.366347269970124,28.81591718014294,27.472655492839518
253,1/4/2021,30.030001,-0.009280743,0.001351064,-0.000676963,29.68999795144072,29.13555252358805,27.781139417066044
254,1/5/2021,30.26,0.007629793,0.001346015,-0.000644259,29.41672182875467,28.869506592628674,27.532637485775926
255,1/6/2021,32.150002,0.060585805,0.001355381,-0.000404141,29.646057989483847,29.093236603876353,27.753019535585278
256,1/7/2021,32.860001,0.02184363,0.001352013,-0.000317236,31.501254661456144,30.91510409714034,29.47869377087653
257,1/8/2021,32.529999,-0.010093433,0.001347122,-0.000355276,32.200534094390264,31.59902814150509,30.146075297872663
258,1/11/2021,33.07,0.016463817,0.001342993,-0.000290085,31.87712890127822,31.283736314071724,29.835083938988106
259,1/12/2021,33.66,0.017683662,0.00133905,-0.000220689,32.40966008283835,31.80820729825887,30.337063563193254
260,1/13/2021,33.459999,-0.005959523,0.001334026,-0.000242761,32.989309069555645,32.37676176242808,30.882102992115428
261,1/14/2021,33.990002,0.015715757,0.001329887,-0.000181617,32.795924360374336,32.1882635776154,30.706223124810265
262,1/15/2021,33.009998,-0.029255937,0.001328025,-0.000292588,33.31970520733863,32.70293411574815,31.20240436024712
263,1/19/2021,32.77,-0.007297023,0.001323162,-0.000319221,32.35396681638672,31.75597056531185,30.298345402953263
264,1/20/2021,32.34,-0.013208609,0.001318777,-0.000368044,32.12039238964017,31.526362476222616,30.084336576263865
265,1/21/2021,31.77,-0.017782406,0.00131494,-0.000433759,31.69743254121918,31.112183914522312,29.69476529413591
