,Date,BBY,PDR,VAR,AVG,VAR70,VAR85,VAR99
126,7/2/2020,87.449997,0.001144153,0.001699439,1.27e-05,85.39932707581482,83.60939853766807,79.26513914012484
127,7/6/2020,87.699997,0.002854698,0.001686121,3.51e-05,85.51201936856575,83.72698991860332,79.38584839904377
128,7/7/2020,85.589996,-0.024353458,0.001677559,-0.000155442,85.75858020626644,83.97831769132671,79.66207004455465
129,7/8/2020,87.18,0.01840654,0.001667205,-1.16e-05,83.68355480150225,81.93759869677895,77.72700848029139
130,7/9/2020,84.949997,-0.025912134,0.001659501,-0.000210786,85.26911887828575,83.50000639286247,79.21022329903471
131,7/10/2020,84.900002,-0.000588696,0.001646834,-0.000213671,83.06700361519052,81.34588107760997,77.19416620248151
132,7/13/2020,85.599998,0.008211143,0.001634891,-0.000149846,83.0285499252896,81.31861277159263,77.18886846655143
133,7/14/2020,86.889999,0.01495768,0.001624302,-3.63e-05,83.72556280276339,82.01382109821884,77.83121846508426
134,7/15/2020,88.419998,0.017455226,0.001614447,9.43e-05,85.0081869857493,83.27377461567592,79.0587400020028
135,7/16/2020,88.349998,-0.00079199,0.001602494,8.77e-05,86.51616938906841,84.75112289224423,80.46561192841983
136,7/17/2020,87.959999,-0.004424022,0.001590859,5.45e-05,86.44907380182632,84.69611265633576,80.43010146375691
137,7/20/2020,88.379997,0.004763511,0.001579408,8.89e-05,86.08244749875624,84.34461233407663,80.1222168772673
138,7/21/2020,90.279999,0.021270275,0.00157119,0.000242398,86.49423155139152,84.75500351862986,80.53616209825937
139,7/22/2020,97.360001,0.075499518,0.001600339,0.000783816,88.38099570304598,86.60882976167679,82.29495267809993
140,7/23/2020,96.080002,-0.01323426,0.001590302,0.000683687,95.33719481011511,93.41413776502333,88.68227828794694
141,7/24/2020,96.989998,0.009426661,0.001579561,0.000745694,94.0850053397984,92.1836478631471,87.59266459632839
142,7/27/2020,97.919998,0.009542939,0.001568979,0.000807647,94.98342968540939,93.07716206713823,88.42498071790386
143,7/28/2020,97.190002,-0.007482952,0.001558484,0.00074967,95.91647502687941,93.98263607958721,89.30212087231467
144,7/29/2020,98.099998,0.0093195,0.001548168,0.000809183,95.19882078278438,93.29518655186644,88.67136880174976
145,7/30/2020,100.029999,0.019482785,0.001539879,0.000937967,96.09885628136556,94.17506573589245,89.49274709575724
146,7/31/2020,99.589996,-0.004408413,0.001529526,0.000901348,98.00689872284748,96.06328143904383,91.31614921098277
147,8/3/2020,100.889999,0.012969087,0.001520105,0.000983441,97.57635950284404,95.64518494452294,90.93330446837875
148,8/4/2020,100.510002,-0.00377356,0.001509986,0.000951299,98.86803669612742,96.90905023577828,92.15063762665812
149,8/5/2020,101.910004,0.013832865,0.001500958,0.001037753,98.50378275100017,96.56219473295755,91.84426837881217
150,8/6/2020,102.75,0.008208743,0.001491293,0.001085559,99.88650865026295,97.92389166283319,93.15953459786942
151,8/7/2020,102.900002,0.001458809,0.001481417,0.001088031,100.72935198418108,98.75025905968955,93.928033270498
152,8/10/2020,104.220001,0.012746397,0.00147256,0.001164731,100.88312481792637,98.91112358517465,94.10116802031415
153,8/11/2020,104.120003,-0.00095995,0.001462964,0.001150844,102.19034371399793,100.20220174112202,95.3769520667266
154,8/12/2020,104.980003,0.008225775,0.001453787,0.001196785,102.08680450199236,100.1114180813452,95.29257731447954
155,8/13/2020,107.900002,0.027435006,0.001448821,0.001366064,102.94469851056762,100.9531804122595,96.09733966111864
156,8/14/2020,109.489998,0.014628312,0.001440654,0.001451078,105.83901535911139,103.80294776469353,98.82290792674758
157,8/17/2020,110.790001,0.011803324,0.001432156,0.001517016,107.41207765298343,105.34730890469457,100.31778632243102
158,8/18/2020,110.519997,-0.002440054,0.00142319,0.001491971,108.70228153887683,106.607551543258,101.51981949094338
159,8/19/2020,111.959999,0.012945183,0.001415059,0.001564004,108.44358974647942,106.3677047112099,101.34432485814025
160,8/20/2020,111.699997,-0.002324976,0.001406309,0.001539698,109.86065695382845,107.76074234907422,102.64518848720934
161,8/21/2020,114.0,0.020381769,0.001399766,0.00165673,109.62384548405934,107.53871970388045,102.46559998872485
162,8/24/2020,117.370003,0.029132915,0.001395756,0.001826336,111.8861253696044,109.76027372674116,104.57972837740823
163,8/25/2020,112.639999,-0.04113448,0.001398447,0.001562772,115.22339789458006,113.04425377863623,107.71663947426029
164,8/26/2020,112.309998,-0.002933996,0.001390042,0.001535353,110.55419682909088,108.45102530986331,103.35765072980698
165,8/27/2020,111.220001,-0.009752656,0.001382385,0.001466941,110.22592565065793,108.14093201786605,103.04768366081561
166,8/28/2020,111.230003,8.99e-05,0.001374069,0.001458646,109.15836530973434,107.09660109848194,102.10739411749863
167,8/31/2020,110.910004,-0.002881059,0.001365953,0.001432659,109.16885702941359,107.1172591369528,102.09254517928359
168,9/1/2020,113.5,0.023083739,0.001360596,0.001561535,108.86661274959282,106.81728714680875,101.83424796077745
169,9/2/2020,114.019997,0.004571008,0.001352599,0.001579342,111.40752182675475,109.32203226990096,104.25040160047828
170,9/3/2020,108.699997,-0.047782079,0.001358891,0.001288981,111.94172805312883,109.85142362653097,104.7499959393908
171,9/4/2020,106.309998,-0.022232431,0.00135416,0.001151429,106.68077885046455,104.68701133232895,99.81956548896089
172,9/8/2020,105.260002,-0.009925837,0.001346997,0.001087026,104.32769291624257,102.3720603001393,97.63091303724175
173,9/9/2020,108.849998,0.03353727,0.001345262,0.0012746,103.29630384437365,101.38348170878692,96.71053747832711
174,9/10/2020,107.379997,-0.013596852,0.001338794,0.001189132,106.84171746686766,104.85435601061533,100.01768916995816
175,9/11/2020,107.110001,-0.002517564,0.001331222,0.001167951,105.39172936201221,103.42995045721888,98.67437057733974
176,9/14/2020,107.699997,0.005493203,0.001323764,0.001192526,105.1274624659098,103.18550759678477,98.44378626675817
177,9/15/2020,107.959999,0.002411223,0.001316294,0.001199411,105.72261512134237,103.76505303410092,99.01061955070189
178,9/16/2020,107.080002,-0.008184542,0.001309391,0.001146692,105.97936402596943,104.02608084721614,99.25983549575402
179,9/17/2020,105.629997,-0.013633844,0.001303289,0.00106412,105.11960049045368,103.18426463904447,98.48104985718673
180,9/18/2020,105.580002,-0.000473415,0.001296062,0.001055578,103.69111370066888,101.79735059521664,97.14197685356454
181,9/21/2020,105.970001,0.003687066,0.001288939,0.001070116,103.6430189464106,101.75099281525127,97.11542426582457
182,9/22/2020,107.629997,0.015543347,0.001283002,0.00114964,104.03666395531324,102.14087229464512,97.51531222769934
183,9/23/2020,106.489998,-0.010648326,0.001276747,0.00108517,105.68071465629586,103.75948619451115,99.08415915110018
184,9/24/2020,104.769997,-0.016283623,0.001271439,0.000990774,104.55560263352413,102.66193433249936,98.04584800762571
185,9/25/2020,105.970001,0.011388602,0.001265148,0.001046979,102.86901435670774,101.00403726475554,96.46173962209377
186,9/28/2020,108.440002,0.023040998,0.001260933,0.001165226,104.04693886915307,102.17096656509003,97.5996788635127
187,9/29/2020,110.080002,0.015010349,0.001255209,0.001239264,106.49401197820096,104.57582431428605,99.8955396977672
188,9/30/2020,111.290001,0.010932024,0.00124903,0.001290821,108.11853381636934,106.18334034350416,101.44539894090373
189,10/1/2020,114.089996,0.02484816,0.001245342,0.001415463,109.32139050440995,107.36228269126435,102.59590489141658
190,10/2/2020,112.419998,-0.014745736,0.001240155,0.001330405,112.08229064576723,110.08400202689589,105.17246765087934
191,10/5/2020,116.07,0.031951618,0.001238545,0.001490725,110.43743685173163,108.46618626331873,103.63644908164034
192,10/6/2020,112.449997,-0.031684806,0.001237797,0.001317936,114.04378099881914,112.01010717377787,107.03728994642445
193,10/7/2020,114.489998,0.017978814,0.001232814,0.001404262,110.48049560383075,108.5035711952305,103.67893558338639
194,10/8/2020,114.919998,0.003748751,0.001226488,0.001416347,112.48225319012019,110.47741039960607,105.5820628870865
195,10/9/2020,116.589996,0.014427256,0.001221062,0.001483069,112.93521145968178,110.93396089002519,106.0395993124228
196,10/12/2020,118.330002,0.014813876,0.001215734,0.001551083,114.57457922967464,112.54230365236322,107.57735890584156
197,10/13/2020,118.209999,-0.001014653,0.001209596,0.001538059,116.29387126415574,114.24165928514601,109.23285045121158
198,10/14/2020,118.440002,0.001943825,0.001203488,0.001540109,116.18093801832896,114.12693620519379,109.13158151859079
199,10/15/2020,120.559998,0.017741018,0.001198752,0.00162152,116.41378562642906,114.36422444536787,109.35918552296519
200,10/16/2020,119.349998,-0.010087202,0.001193441,0.001562977,118.51761017022851,116.432277217711,111.34451983190979
201,10/19/2020,120.830002,0.01232428,0.001188077,0.001616516,117.32269340978169,115.2642902172242,110.2345722723231
202,10/20/2020,120.889999,0.000496417,0.001182201,0.001610971,118.78641494159422,116.70776340041027,111.64500274121629
203,10/21/2020,118.690002,-0.018365964,0.001178334,0.001512562,118.85341603584567,116.78366048168687,111.73026854108222
204,10/22/2020,117.459999,-0.010417227,0.001173252,0.001454083,116.67119802814685,114.64493412814653,109.6685414831053
205,10/23/2020,118.209999,0.006364854,0.001167646,0.001478038,115.46793006855046,113.46338963817774,108.58018030483433
206,10/26/2020,114.360001,-0.033111319,0.001167757,0.001310128,116.211561788955,114.19052279881,109.26227806991196
207,10/27/2020,113.580002,-0.006843924,0.001162436,0.001270737,112.40797116155561,110.45242989680898,105.6906186035635
208,10/28/2020,111.110001,-0.021986741,0.001159435,0.001158922,111.64668112092815,109.71599712588944,105.01981501636882
