,Date,META,PDR,VAR,AVG,VAR70,VAR85,VAR99
151,8/7/2020,268.440002,0.011841565,0.001020628,0.001632901,261.1178670655899,256.88012169327874,246.49634425046375
152,8/10/2020,263.0,-0.020473401,0.001017107,0.001487465,264.2747655722283,259.99849111050787,249.50526264555805
153,8/11/2020,256.130005,-0.026468885,0.001015534,0.001304744,258.8980687027735,254.69523491127313,244.4259844841011
154,8/12/2020,259.890015,0.014573375,0.001010076,0.001390904,252.0946922300876,248.01536347752892,238.01686904287143
155,8/13/2020,261.299988,0.005410604,0.001003663,0.001416837,255.8202892404152,251.69113795319018,241.56261648248102
156,8/14/2020,261.23999,-0.00022964,0.000997246,0.001406283,257.21735849377353,253.0725063896557,242.8883613096303
157,8/17/2020,261.160004,-0.000306225,0.000990913,0.001395375,257.1773691518421,253.05582526409924,242.92015678834085
158,8/18/2020,262.339996,0.004508096,0.000984702,0.001415076,257.11971140949413,253.0121603893869,242.95666760463357
159,8/19/2020,262.589996,0.000952508,0.000978511,0.001412167,258.32137779375256,254.18176989227604,244.13658375480261
160,8/20/2020,269.01001,0.024154726,0.000975607,0.001554308,258.5504023208158,254.4436726089343,244.3586416593171
161,8/21/2020,267.01001,-0.007462442,0.00097005,0.001498303,264.9154922913603,260.71863021639825,250.43212036633676
162,8/24/2020,271.390015,0.016270808,0.0009654,0.001589491,262.94983434195615,258.79750759702176,248.60003962282988
163,8/25/2020,280.820007,0.034156964,0.000965945,0.001789292,267.28070773166394,263.069753673457,252.74803962881617
164,8/26/2020,303.910004,0.079017698,0.0009962,0.002260197,276.65400476141787,272.28426033405884,261.5457414066842
165,8/27/2020,293.220001,-0.035808434,0.000998893,0.002029478,299.444993187349,294.6324458573245,282.91753730263366
166,8/28/2020,293.660004,0.001499465,0.000992877,0.002026285,288.8492641404115,284.22960696225977,272.8211937498588
167,8/31/2020,293.200012,-0.001567638,0.000987008,0.002004764,289.30433850288665,284.67342337743656,273.3161876771962
168,9/1/2020,295.440002,0.007610766,0.000981319,0.002038133,288.8521723202855,284.245293871582,272.9637880811105
169,9/2/2020,302.5,0.0236155,0.000978251,0.00216581,291.08808004398094,286.43571110817584,275.12309807032256
170,9/3/2020,291.119995,-0.038345741,0.000982094,0.001927507,298.09167394853,293.34941729514026,281.7668248089742
171,9/4/2020,282.730011,-0.029243119,0.000982,0.001745223,286.7959243755783,282.23608663816503,271.0612922851863
172,9/8/2020,271.160004,-0.04178335,0.000987242,0.001492149,278.4819272644773,274.05848939390086,263.2350067878175
173,9/9/2020,273.720001,0.009396622,0.000981895,0.00153784,266.984027792825,262.7297102513651,252.3312856495673
174,9/10/2020,268.089996,-0.02078296,0.000979098,0.00140956,269.53588251294616,265.25493546771565,254.77889356352844
175,9/11/2020,266.609985,-0.00553587,0.000973778,0.001369871,263.96433510665474,259.7748520792157,249.4573592237379
176,9/14/2020,266.149994,-0.001726823,0.000968299,0.001352277,262.4996710156438,258.350164232272,248.1916416524652
177,9/15/2020,272.420013,0.023285004,0.000965531,0.00147619,262.0753657227219,257.94814903820077,247.80499465230676
178,9/16/2020,263.519989,-0.033215816,0.00096683,0.001281291,268.28970302836115,264.05501969365235,253.62423932925785
179,9/17/2020,254.820007,-0.033571784,0.000968177,0.001086581,259.4745074612455,255.3639329338039,245.3464018291567
180,9/18/2020,252.529999,-0.009027391,0.000963363,0.001030393,250.8599062508363,246.8835773499113,237.21052049510536
181,9/21/2020,248.149994,-0.017496672,0.000959927,0.000928033,248.5982271395436,244.67524894603085,235.1090537921082
182,9/22/2020,254.75,0.026249294,0.000958156,0.001067161,244.27406814018525,240.4284187588857,231.00293184876148
183,9/23/2020,249.020004,-0.022749442,0.000956003,0.000937016,250.79032912831929,246.8563275604854,237.2248763354081
184,9/24/2020,249.529999,0.002045914,0.000950814,0.000943042,245.12606183914897,241.28752836073863,231.85135953786636
185,9/25/2020,254.820007,0.020978297,0.000947832,0.001051341,245.63466149063336,241.79003054569503,232.3636935372436
186,9/28/2020,256.820007,0.007818037,0.000942981,0.001087721,250.88843761728117,246.95843951890495,237.36489698621716
187,9/29/2020,261.790009,0.019167212,0.000939677,0.001184403,252.87510291284528,248.92085776983936,239.22740699261425
188,9/30/2020,261.899994,0.000420039,0.000934682,0.001180337,257.7927567451272,253.78000575948502,243.9638032110045
189,10/1/2020,266.630005,0.01789922,0.000931208,0.001268797,257.9163511153329,253.9180997600548,244.08585012562548
190,10/2/2020,259.940002,-0.025411105,0.000930033,0.001128376,262.61001714689536,258.52640179161835,248.5340108909832
191,10/5/2020,264.649994,0.017957333,0.000926639,0.001216486,255.9891632342241,252.02822808412725,242.28146062901544
192,10/6/2020,258.660004,-0.022893702,0.000924825,0.001090912,260.6611787110987,256.6211859028374,246.7037365056224
193,10/7/2020,258.119995,-0.0020899,0.000920085,0.001074431,254.7311717945994,250.797191638464,241.15530526626748
194,10/8/2020,263.76001,0.021615063,0.000917506,0.001180311,254.2003526820121,250.2869033093164,240.67813970607867
195,10/9/2020,264.450012,0.002612606,0.000912811,0.001187656,259.7890260708957,255.78657931902026,246.0116133582232
196,10/12/2020,275.75,0.041842415,0.000916544,0.001395078,260.4821586393031,256.49874563320304,246.67729874005548
197,10/13/2020,276.140015,0.00141338,0.000911891,0.001395171,271.6615510342556,267.49612318308056,257.27072931409253
198,10/14/2020,271.820007,-0.01576793,0.000908766,0.001308489,272.0657675561085,267.88452086770513,257.6590887108012
199,10/15/2020,266.720001,-0.018940686,0.000906249,0.001206734,267.7898739205416,263.7070971717304,253.62161466869938
200,10/16/2020,265.929993,-0.002966333,0.000901805,0.001185869,262.7372228592864,258.714863430592,248.8614421841571
201,10/19/2020,261.399994,-0.017181312,0.000898988,0.00109449,261.93593573637486,257.9367715279123,248.1515230260979
202,10/20/2020,267.559998,0.023292055,0.000896965,0.001204379,257.487331420223,253.56736598182076,243.95952878227575
203,10/21/2020,278.730011,0.040899778,0.00090027,0.001399922,263.5878474187764,259.5741349931112,249.7888698539675
204,10/22/2020,278.119995,-0.002190954,0.00089592,0.00138232,274.6581326948926,270.4665407430752,260.19119324829194
205,10/23/2020,284.790009,0.023699441,0.000893968,0.001491184,274.04415466764726,269.8679515600181,259.64843818257253
206,10/26/2020,277.109985,-0.027337613,0.000893643,0.001351238,280.6417797487764,276.37836616276746,265.92058809816336
207,10/27/2020,283.290009,0.022056655,0.000891387,0.001451265,273.058969729315,268.9158200303463,258.7348349559403
208,10/28/2020,267.670013,-0.056716213,0.00090329,0.001171613,279.1750163744563,274.94335087217786,264.53379834983116
209,10/29/2020,280.829987,0.047994531,0.000909407,0.001395646,263.66406763309993,259.62402736096413,249.7560783063097
210,10/30/2020,263.109985,-0.065177319,0.000926081,0.001078632,276.6892837487598,272.4560676794677,262.0620173499599
211,11/2/2020,261.359985,-0.006673429,0.000921975,0.001041893,259.09853979576695,255.08281412131387,245.25031932112535
212,11/3/2020,265.299988,0.014962506,0.000918536,0.001107556,257.3781652197077,253.40296374661844,243.6614942081074
213,11/4/2020,287.380005,0.079944183,0.000943266,0.001477681,261.3030104763872,257.28757400831324,247.42584707077756
214,11/5/2020,294.679993,0.025084599,0.00094145,0.001587994,283.09246104931543,278.6804679729493,267.82385180244984
215,11/6/2020,293.410004,-0.004319036,0.000937233,0.001560519,290.30620442938874,285.773833389601,274.7087215122674
216,11/9/2020,278.769989,-0.051183932,0.000945714,0.001316332,289.0363408915144,284.5403985912438,273.52802219803067
