,Date,GOOG,PDR,VAR,AVG,VAR70,VAR85,VAR99
138,7/21/2020,77.920998,-0.004673359,0.000798005,0.000947705,77.1741746977851,76.05959833269297,73.33213589884025
139,7/22/2020,78.4245,0.006440911,0.000792479,0.000987224,76.82223382413352,75.7122163269003,73.00840470663529
140,7/23/2020,75.783997,-0.03424923,0.000795624,0.000735535,77.31796884954504,76.20693571829271,73.4850074664479
141,7/24/2020,75.593498,-0.002516875,0.000790056,0.000712469,74.69988674647017,73.62962009382977,71.00327355869453
142,7/27/2020,76.510002,0.012051203,0.000785391,0.000792319,74.51484937214207,73.4480297966729,70.82467572720681
143,7/28/2020,75.016998,-0.01970675,0.000782817,0.000648969,75.42661612802937,74.35178514099988,71.70851099646943
144,7/29/2020,76.100998,0.014346651,0.000778674,0.000744092,73.94234907717401,72.88774150626404,70.31032891639104
145,7/30/2020,76.572502,0.006176651,0.000773506,0.000781557,75.02481116851887,73.96125721701664,71.34806036869806
146,7/31/2020,74.148003,-0.032174894,0.000775597,0.000555828,75.49426080108493,74.42169195011267,71.80360799873024
147,8/3/2020,73.722504,-0.005755038,0.000770589,0.000512897,73.0864050233101,72.0500262350713,69.50206535450329
148,8/4/2020,73.248497,-0.00645037,0.000765708,0.000465848,72.66210834977183,71.63911122360217,69.10812375801467
149,8/5/2020,73.680496,0.005880395,0.000760765,0.000502187,72.19671169317506,71.17978808891377,68.6949509709629
150,8/6/2020,75.004997,0.017816614,0.000757678,0.000617617,72.63621588606853,71.6186126535183,69.11527057435622
151,8/7/2020,74.724503,-0.003746681,0.000752786,0.000588714,73.94698167254721,72.91375319574384,70.36670348783893
152,8/10/2020,74.805,0.001076671,0.000747835,0.000591925,73.67506646052438,72.64651323275905,70.10742952843947
153,8/11/2020,74.015999,-0.010603455,0.000743761,0.000518752,73.75955671006972,72.73244614283104,70.21454735551045
154,8/12/2020,75.331001,0.017610477,0.000740816,0.000629737,72.97425899004323,71.9605286149803,69.46868644241191
155,8/13/2020,75.922501,0.007821346,0.000736368,0.000676135,74.28095532813552,73.25011468484074,70.7227884650075
156,8/14/2020,75.386497,-0.007084922,0.000732031,0.000626384,74.87845210187952,73.84339117477795,71.29878845114598
157,8/17/2020,75.899002,0.006775361,0.000727608,0.00066555,74.33942945387014,73.32060155782885,70.8051172939158
158,8/18/2020,77.93,0.026407452,0.00072717,0.000828473,74.85884882011813,73.8334265288653,71.30499178823668
159,8/19/2020,77.376503,-0.007127832,0.000722992,0.000778434,76.8701177326952,75.81971879503716,73.23220624678285
160,8/20/2020,79.087502,0.021871704,0.000721237,0.000910267,76.32136067088882,75.27920663950454,72.71670696375352
161,8/21/2020,79.021004,-0.000841169,0.000716776,0.000899388,78.02570092764208,76.96300656557156,74.33805924660176
162,8/24/2020,79.410004,0.004910665,0.00071245,0.000924149,77.96021635444535,76.90072188365913,74.2796767988602
163,8/25/2020,80.411003,0.012526665,0.0007089,0.00099533,78.35149808263186,77.2935810221618,74.67390259652414
164,8/26/2020,82.619003,0.027088695,0.000708704,0.001154436,79.34940512892264,78.27393840273024,75.62733063177971
165,8/27/2020,81.716499,-0.010983787,0.000705296,0.001080871,81.5441377209347,80.44089112777866,77.721703011763
166,8/28/2020,82.220497,0.006148699,0.000701201,0.0011114,80.64589329031493,79.55667806984586,76.87081728031549
167,8/31/2020,81.709,-0.006240471,0.000697324,0.001067377,81.15008225239013,80.06079747733624,77.3647729189765
168,9/1/2020,83.0355,0.016104072,0.000694511,0.001156881,80.64706523066295,79.55931673948106,76.89800112928788
169,9/2/2020,86.414001,0.039881484,0.000699223,0.001386021,81.96698003834773,80.87256226385034,78.16992390904385
170,9/3/2020,82.092003,-0.051309105,0.000711348,0.001076049,85.31348063327557,84.16254815267455,81.34060015346388
171,9/4/2020,79.552002,-0.031429685,0.000713331,0.000885957,81.01028760893682,79.91294333434513,77.22342224934091
172,9/8/2020,76.619499,-0.037559321,0.000717727,0.000662438,78.48554272914406,77.4188818956656,74.79205391455251
173,9/9/2020,77.848,0.015906607,0.000714913,0.000750555,75.56892076583053,74.54126926103395,72.00976604729307
174,9/10/2020,76.600998,-0.016148102,0.000712436,0.000653436,76.79798053619956,75.75281659500114,73.18968797636362
175,9/11/2020,76.036003,-0.007403154,0.000708734,0.000607399,75.55946448814667,74.53154824603526,72.02304503552804
176,9/14/2020,75.963997,-0.000947447,0.000704721,0.000598564,75.00387586168375,73.98719073527067,71.49456898096554
177,9/15/2020,77.071999,0.014480533,0.000701822,0.000676993,74.93057157902686,73.91929958374267,71.42679434611709
178,9/16/2020,76.044998,-0.013414793,0.000698989,0.000597826,76.03105735232208,75.00707755327599,72.48544408892167
179,9/17/2020,74.776497,-0.01682162,0.000696769,0.000500511,75.01887148439356,74.0085345614063,71.53450232087921
180,9/18/2020,72.999496,-0.024051087,0.000696229,0.000364113,73.76142851699485,72.76968837909422,70.32988293655316
181,9/21/2020,71.557999,-0.019944241,0.000694648,0.000251912,71.99616050061483,71.03145637290214,68.65951073875641
182,9/22/2020,73.273003,0.023683937,0.000693832,0.00038066,70.57099698584845,69.6237630810746,67.2976838211673
183,9/23/2020,70.760498,-0.034891326,0.000696801,0.000187916,72.2748310201828,71.30476238773086,68.92311025346329
184,9/24/2020,71.414497,0.009199981,0.000693453,0.000236895,69.77285796276014,68.83809636116735,66.543251090975
185,9/25/2020,72.248001,0.011603771,0.0006904,0.000298338,70.42216784068354,69.48321125657509,67.15725758650265
186,9/28/2020,73.225998,0.013445863,0.000687612,0.000369023,71.26018056629854,70.30638354795943,67.96557444302344
187,9/29/2020,73.466499,0.003278985,0.00068398,0.000384585,72.22845568757744,71.26719597171368,68.89019884717418
188,9/30/2020,73.480003,0.000183795,0.000680342,0.000383517,72.4681781092265,71.50109678530217,69.12774302625537
189,10/1/2020,74.504501,0.013846238,0.000677696,0.000454748,72.4874485709236,71.52708235247303,69.15448761489512
190,10/2/2020,72.920998,-0.021482904,0.000676649,0.000339287,73.50146521524303,72.52855411136531,70.1360049308542
191,10/5/2020,74.301003,0.018747815,0.000674871,0.000435666,71.93076755936562,70.97642836547129,68.63523194845573
192,10/6/2020,72.671997,-0.022168326,0.000674004,0.000317937,73.30344704638213,72.33737073933519,69.95255274477458
193,10/7/2020,73.014503,0.004701968,0.000670611,0.000340652,71.68601157130976,70.73779990496362,68.40513715133146
194,10/8/2020,74.296501,0.017405765,0.000668647,0.000428617,72.02638542637662,71.07790120955464,68.75081472052156
195,10/9/2020,75.761002,0.019519817,0.000667078,0.00052652,73.30254701605602,72.33837122256233,69.9577737270186
196,10/12/2020,78.457497,0.034973364,0.000669697,0.00070227,74.75572190058585,73.77529313731976,71.35502500807934
197,10/13/2020,78.584,0.001611078,0.000666302,0.000706883,77.42302519062224,76.40377835252075,73.89616281032116
198,10/14/2020,78.403999,-0.002293183,0.000662982,0.000691731,77.55567876223604,76.53829613060309,74.02400610438868
199,10/15/2020,77.956497,-0.005723993,0.000659856,0.000659491,77.37521028563684,76.36922602841474,73.88176008213995
200,10/16/2020,78.650497,0.008863008,0.000656892,0.000700509,76.93580988526816,75.93304889199652,73.46335147130615
201,10/19/2020,76.730499,-0.024714679,0.000656821,0.000574065,77.63219143801412,76.61926539539198,74.12688736066016
202,10/20/2020,77.796501,0.013797186,0.000654431,0.000639526,75.72676517335017,74.73866274203607,72.30598420090651
203,10/21/2020,79.665497,0.023740125,0.000653823,0.000753322,76.77799358499738,75.7784628229763,73.33193603490116
204,10/22/2020,80.766502,0.013725719,0.000651439,0.000816912,78.64196027125216,77.62315051853362,75.097911685663
205,10/23/2020,82.050003,0.015766554,0.000649346,0.000889837,79.72540835839351,78.69397789810816,76.15000814579918
206,10/26/2020,79.522499,-0.031288866,0.000651196,0.00073363,81.00267764595289,79.9508951197494,77.3676482485579
