,Date,C,PDR,VAR,AVG,VAR70,VAR85,VAR99
198,10/14/2020,43.029999,-0.014992808,0.002147054,-0.003209026,42.446318617483,41.448917007066804,39.03942515075712
199,10/15/2020,43.610001,0.013388981,0.002137642,-0.003125619,41.82152792399555,40.84096100248639,38.46697466134448
200,10/16/2020,43.189999,-0.009677541,0.002127167,-0.003158379,42.39021964829268,41.39977968341498,39.0110545045843
201,10/19/2020,42.900002,-0.006737091,0.002116648,-0.003176183,41.9827565282257,41.00315876020908,38.635544066708746
202,10/20/2020,43.52,0.01434873,0.002107682,-0.003089426,41.703070321907326,40.724932578440345,38.36613113600253
203,10/21/2020,43.009998,-0.011788002,0.00209767,-0.003132276,42.30634793452442,41.32248285427557,38.94617640955397
204,10/22/2020,43.950001,0.021620047,0.002090376,-0.003010941,41.81348695088224,40.843138381066815,38.5064179821133
205,10/23/2020,43.950001,0.0,0.002080223,-0.002996254,42.73354075809628,41.74757190061762,39.350159960250515
206,10/26/2020,43.259998,-0.015824273,0.00207092,-0.003058526,42.73688455780698,41.750426233329115,39.37001199181651
207,10/27/2020,41.880001,-0.032419964,0.00206506,-0.003200368,42.063638289199595,41.09399806080445,38.7479849441701
208,10/28/2020,41.130001,-0.018070603,0.00205619,-0.00327186,40.7227829459748,39.7852270402658,37.513456289552906
209,10/29/2020,41.66,0.012803629,0.002047582,-0.003194944,39.98458329140628,39.06826300086459,36.85579955299575
210,10/30/2020,41.419998,-0.005777628,0.002037864,-0.003207242,40.51103896648763,39.580633856024704,37.35152770479043
211,11/2/2020,42.209999,0.018893328,0.002030509,-0.0031025,40.28317016183041,39.359910293517736,37.13239438570368
212,11/3/2020,43.529999,0.030793196,0.002026325,-0.002942615,41.05388020243097,40.11712833493437,37.84420712214338
213,11/4/2020,42.080002,-0.033877717,0.002021284,-0.00308785,42.34591555481977,41.38525028553599,39.04633827464021
214,11/5/2020,43.07,0.023254083,0.002015066,-0.002964757,40.9288559722578,40.000706873490095,37.74369748727436
215,11/6/2020,42.709999,-0.008393638,0.00200583,-0.002990008,41.898394325439064,40.9502899759998,38.636051989363146
216,11/9/2020,47.639999,0.109239662,0.002054586,-0.002470426,41.55320434872196,40.611681338110486,38.32870383692587
217,11/10/2020,47.650002,0.000209949,0.002045151,-0.002458074,46.35812951007537,45.29779418394947,42.7241272505982
218,11/11/2020,48.93,0.026508033,0.002039601,-0.002325202,46.37044386403959,45.30641166871099,42.727215598839805
219,11/12/2020,48.279999,-0.01337333,0.002030842,-0.00237565,47.62515919838396,46.539117659893584,43.906979558561716
220,11/13/2020,48.66,0.007839962,0.002022084,-0.002329215,46.99488141806076,45.92181790900727,43.3264214669254
221,11/16/2020,50.400002,0.035133877,0.002019256,-0.002159699,47.366782438338966,46.288948041954654,43.673057952967554
222,11/17/2020,50.73,0.006526237,0.002010498,-0.002120573,49.06881841974045,47.95735438085085,45.251817564224204
223,11/18/2020,51.049999,0.006288073,0.002001798,-0.002082866,49.3928818485821,48.2756255899313,45.54891405280163
224,11/19/2020,52.139999,0.021126864,0.001995256,-0.001979251,49.71042913917634,48.58135941905464,45.868022442439255
225,11/20/2020,51.650002,-0.009442155,0.001986634,-0.00201242,50.776686467389624,49.62886289869732,46.846441050516646
226,11/23/2020,53.299999,0.031446078,0.001982776,-0.001864373,50.30743288263533,49.16811897309999,46.41789762367713
227,11/24/2020,57.060001,0.068167051,0.001995551,-0.001555865,51.91770012781092,50.74757688430334,47.91296790313166
228,11/25/2020,57.060001,0.0,0.001986809,-0.001549041,55.59635196811071,54.33898711411983,51.29590079829535
229,11/27/2020,56.669998,-0.006858428,0.001978256,-0.001572226,55.60048240596617,54.34192888554019,51.302398950976304
230,11/30/2020,55.07,-0.028639832,0.001972826,-0.001689911,55.22261126927708,53.98096516038528,50.94026482762548
231,12/1/2020,55.470001,0.007237249,0.001964629,-0.001651265,53.65316585887963,52.452034834765406,49.539066933252286
232,12/2/2020,57.200001,0.030711564,0.001960656,-0.001511771,54.0488557821733,52.83435439849064,49.8991085831968
233,12/3/2020,56.580002,-0.010898315,0.001952618,-0.001552056,55.75023869036109,54.49752912249419,51.478549186530095
234,12/4/2020,58.619999,0.035420317,0.00195009,-0.001394055,55.144499427100484,53.9088133607253,50.91057452256305
235,12/7/2020,58.130001,-0.008394019,0.001941999,-0.001423842,57.145258384424935,55.862934507177336,52.775483006364766
236,12/8/2020,58.360001,0.003948842,0.001933892,-0.001401076,56.66240007842728,55.40462316399004,52.342408930097086
237,12/9/2020,58.950001,0.010058903,0.001926284,-0.001352722,56.89190216293162,55.62335558746909,52.563293948900984
238,12/10/2020,60.5,0.025953721,0.00192131,-0.001237989,57.47347594137874,56.19642850578164,53.109793600446096
239,12/11/2020,58.93,-0.026293066,0.001915887,-0.001342822,58.991601982505856,57.68177627230982,54.51059969887801
240,12/14/2020,58.740002,-0.003229339,0.001907919,-0.001350682,57.45960080004545,56.184876435095646,53.08338534790428
241,12/15/2020,59.669998,0.015708388,0.001901205,-0.001279898,57.275856555639926,56.009122062745405,52.94507567973301
242,12/16/2020,59.75,0.001339843,0.001893377,-0.001269072,58.19507857243572,56.90765738847834,53.794359985319886
243,12/17/2020,60.049999,0.005008341,0.001885747,-0.001243239,58.27749977296398,56.992828415592484,53.863306483562326
244,12/18/2020,59.060001,-0.016623639,0.001878984,-0.001306274,58.57041768168111,57.275815625007105,54.1652979466172
245,12/21/2020,61.23,0.036083372,0.001876997,-0.001153663,57.6039886141314,56.340166632170565,53.283067464149035
246,12/22/2020,59.259998,-0.032702757,0.001873397,-0.001281911,59.72985088815695,58.41956547164539,55.25066711685978
247,12/23/2020,60.779999,0.025326263,0.001868667,-0.001174186,57.79999320913028,56.532542347957,53.46530189880653
248,12/24/2020,60.57,-0.00346105,0.001861153,-0.001183407,59.283244954503246,57.99007120555016,54.85230782737131
249,12/28/2020,61.130001,0.009203039,0.00185411,-0.001141694,59.088946770186745,57.80013610988422,54.68102230138455
250,12/29/2020,60.91,-0.003605396,0.001846718,-0.001151549,59.64576142594596,58.34066527941055,55.19159040304441
251,12/30/2020,60.860001,-0.000821204,0.001839361,-0.001150233,59.42724529776662,58.13778112110793,54.998282012723074
252,12/31/2020,61.66,0.013059262,0.00183286,-0.001093846,59.382624069338824,58.09583263295475,54.96596132521164
253,1/4/2021,60.139999,-0.024960262,0.001827858,-0.00118818,60.16867939599058,58.86818573909093,55.705790804394226
254,1/5/2021,61.700001,0.025608786,0.001823477,-0.00108268,58.689277926344324,57.41711830135002,54.329904768089584
255,1/6/2021,65.25,0.055942099,0.001829029,-0.000859053,60.21984383542291,58.91595240088403,55.76253414528511
256,1/7/2021,66.019997,0.011731635,0.001822501,-0.000809871,63.69405790272389,62.31360851739822,58.95375238420491
257,1/8/2021,65.370003,-0.009894197,0.001815729,-0.000845219,64.44643012794867,63.05756804809103,59.66755528910902
258,1/11/2021,66.440002,0.016235831,0.001809818,-0.000779013,63.809421258134066,62.432061297746586,59.08631569376392
259,1/12/2021,66.669998,0.003455732,0.001802899,-0.000762663,64.86500850428064,63.464030300123476,60.084053879278216
260,1/13/2021,66.860001,0.002845849,0.001796015,-0.000748784,65.09358034497717,63.693432842284096,60.29537528325373
261,1/14/2021,69.010002,0.031650555,0.00179314,-0.000624648,65.28515618482157,63.88108165085044,60.47420393386698
262,1/15/2021,64.230003,-0.071781013,0.001805548,-0.000896238,67.38965056992737,65.9434871915345,62.43531511124013
263,1/19/2021,63.689999,-0.008442889,0.001798898,-0.000924932,62.70307286923509,61.352217696131525,58.08308959655139
264,1/20/2021,63.25,-0.006932421,0.00179222,-0.000947688,62.17161818207346,60.836140511525436,57.59755885773975
265,1/21/2021,61.869999,-0.022059734,0.001787133,-0.001027356,61.752539747627736,60.43481172983379,57.223253338999186
