,Date,IBM,PDR,VAR,AVG,VAR70,VAR85,VAR99
166,8/28/2020,119.569794,0.003363815,0.000853869,-0.000478961,117.24718789892661,115.49805864619948,111.23092033924028
167,8/31/2020,117.887192,-0.014172084,0.000849872,-0.000560955,117.64248735548799,115.8988104447221,111.604818921395
168,9/1/2020,117.973228,0.00072955,0.000844823,-0.000553274,115.98360955594018,114.26532624036238,110.03206136714866
169,9/2/2020,122.543022,0.038004451,0.000848569,-0.000325122,116.07486601230896,114.35992640727727,110.14867953303516
170,9/3/2020,118.977058,-0.029531484,0.000848566,-0.000496924,120.59087436500172,118.80705512616511,114.4524214157911
171,9/4/2020,116.921608,-0.017426991,0.00084527,-0.00059593,117.0594101742239,115.32817918501031,111.06458514135102
172,9/8/2020,115.879539,-0.008952499,0.000840759,-0.000644515,115.03721041329405,113.34108850495102,109.1664810521962
173,9/9/2020,116.883362,0.008625337,0.000836393,-0.000590932,114.00686141656855,112.32122307198189,108.2095638889205
174,9/10/2020,115.258125,-0.014002353,0.000832614,-0.000668009,115.01560656902531,113.33026674329935,109.16538335220957
175,9/11/2020,116.118546,0.007437439,0.000828229,-0.000621692,113.4036281868606,111.74081110786729,107.65454530240612
176,9/14/2020,116.72084,0.005173483,0.000823713,-0.000588765,114.25500161361828,112.58164229245611,108.46791756052382
177,9/15/2020,117.05545,0.002862653,0.000819127,-0.000569265,114.8522095343281,113.17939153117291,109.06621238919779
178,9/16/2020,118.757172,0.014433083,0.000815782,-0.000484982,115.20025965831283,113.52749375587183,109.40805680711122
179,9/17/2020,119.426384,0.005619311,0.000811432,-0.00045088,116.88784346589763,115.19713711894738,111.03736736306044
180,9/18/2020,117.361374,-0.017442307,0.000808519,-0.000545277,117.55524137278442,115.85263047594388,111.63810431372826
181,9/21/2020,114.961761,-0.020658281,0.000806274,-0.000656399,115.51591989145528,113.85097552286084,109.75920744006217
182,9/22/2020,115.210327,0.002159828,0.000801888,-0.000640925,113.14389379734574,111.49950301474652,107.49387556176866
183,9/23/2020,113.60421,-0.014038823,0.000798481,-0.000714137,113.3899205170148,111.76166560552795,107.75773923982132
184,9/24/2020,112.896751,-0.006246872,0.000794307,-0.000744207,111.81449127956286,110.21175724586448,106.24895925261987
185,9/25/2020,113.718925,0.007256141,0.000790358,-0.000700962,111.11845069146146,109.52533014830428,105.59809571615139
186,9/28/2020,116.376671,0.023102261,0.000789138,-0.000572987,111.93132192906633,110.33138520668021,106.38256410199716
187,9/29/2020,115.621414,-0.006510913,0.000785106,-0.000604741,114.55838313531044,112.92438728392831,108.91457777839967
188,9/30/2020,116.319313,0.006017926,0.000781162,-0.000569514,113.8174103010743,112.20176809904056,108.21196021167715
189,10/1/2020,115.764816,-0.004778423,0.000777122,-0.000591783,114.51833837977644,112.89403509494339,108.89658386964953
190,10/2/2020,115.267685,-0.004303566,0.000773104,-0.000611319,113.97356361210329,112.35441570971099,108.39079773393726
191,10/5/2020,116.644356,0.011872494,0.000769868,-0.000545959,113.48265687130046,111.88120357792302,107.91910783361004
192,10/6/2020,116.606117,-0.000327879,0.000765858,-0.000544823,114.85540191232931,113.23711364077043,109.2452314057558
193,10/7/2020,118.61377,0.01707085,0.00076349,-0.00045355,114.816257536645,113.19830326629369,109.23234816706137
194,10/8/2020,125.707458,0.058084861,0.000777127,-0.000151805,116.80578686100297,115.17020747114312,111.14087853900494
195,10/9/2020,122.170174,-0.028542504,0.000777254,-0.000297399,123.81856334505204,122.05644672888369,117.75149247598742
196,10/12/2020,121.615677,-0.004549058,0.00077338,-0.000319091,120.31287189938396,118.6071326475804,114.44479387501758
197,10/13/2020,119.598473,-0.01672581,0.000770814,-0.000402374,119.76814336765084,118.07345730460757,113.92636890533984
198,10/14/2020,120.401527,0.006692142,0.000767174,-0.000366543,117.7832724731594,116.11700586451929,111.98960558117611
199,10/15/2020,119.397705,-0.008372236,0.000763639,-0.000406773,118.57555084799971,116.90443180329218,112.78844534846904
200,10/16/2020,120.391968,0.00829284,0.000760197,-0.000363274,117.59566095106055,115.94579989645467,111.88430597981692
201,10/19/2020,120.0,-0.003261077,0.000756457,-0.000377691,118.57757058401704,116.91228158945826,112.84368257554392
202,10/20/2020,112.208412,-0.067133779,0.000774664,-0.000708167,118.18985606118255,116.53948974963737,112.4680334305975
203,10/21/2020,110.0,-0.019877598,0.000772649,-0.000802598,110.45049592752675,108.8916071233763,105.04751001533965
204,10/22/2020,110.669212,0.006065314,0.000769092,-0.000768932,108.27832137266833,106.75228228114531,103.00834292852917
205,10/23/2020,110.898659,0.002071122,0.000765379,-0.000755078,108.9463837811636,107.41163510427842,103.65804580071892
206,10/26/2020,107.284897,-0.033128917,0.000766727,-0.000912232,109.18228491143137,107.64551081908876,103.86493200607094
207,10/27/2020,105.697899,-0.014902869,0.000763964,-0.00097982,105.59985102945338,104.11586475667734,100.46759032645848
208,10/28/2020,101.959846,-0.036005947,0.000766161,-0.001148215,104.02974878365563,102.5708698566327,98.98882268069619
209,10/29/2020,104.120461,0.020969439,0.000764824,-0.001042389,100.33291501845987,98.91828671796416,95.46148334007012
210,10/30/2020,106.749519,0.024936639,0.000764381,-0.000918679,102.47438556808457,101.03193143477179,97.47599508056055
211,11/2/2020,107.94455,0.011132523,0.000761443,-0.000861564,105.08266795716128,103.60567397681483,99.95781516510316
212,11/3/2020,109.13958,0.011009944,0.000758513,-0.000805567,106.26312570615373,104.77580935887462,101.1131401563279
213,11/4/2020,106.978966,-0.019995378,0.000756673,-0.00089566,107.44707674379528,105.94164809528222,102.22041990814941
214,11/5/2020,109.722755,0.025324539,0.000756335,-0.000773135,105.31391395573837,103.84197164206829,100.21536698425633
215,11/6/2020,109.024857,-0.006380873,0.000752962,-0.000799218,108.02353690617389,106.51488334338758,102.79032723462821
216,11/9/2020,110.449333,0.012980989,0.000750352,-0.00073542,107.3380906612903,105.84941613926934,102.16180158296639
217,11/10/2020,112.724663,0.020391344,0.000748941,-0.000638062,108.75407945914411,107.2350586582076,103.51917036303448
218,11/11/2020,112.045891,-0.006039706,0.000745639,-0.00066284,111.01174940003418,109.4691224253264,105.66887519925233
219,11/12/2020,109.46463,-0.023307045,0.000744565,-0.000766238,110.32689889894377,108.79794181772881,105.04891758176547
220,11/13/2020,111.711281,0.020316211,0.000743191,-0.000670409,107.78324479583068,106.29026985443627,102.60971116208196
221,11/16/2020,113.154877,0.012839779,0.000740651,-0.000609277,110.00790883859536,108.47993034969495,104.73386260352109
222,11/17/2020,112.523903,-0.005591803,0.000737426,-0.000631721,111.43961329553225,109.89701562504186,106.1000829073292
223,11/18/2020,111.634796,-0.007932877,0.000734357,-0.000664462,110.82062217948979,109.28009769916441,105.50560238712629
224,11/19/2020,112.026772,0.003505085,0.000731156,-0.000645847,109.94377121710274,108.43443208099121,104.69944017076183
225,11/20/2020,111.797325,-0.002050245,0.000727915,-0.000652089,110.34338921277312,108.82500429250834,105.09838874823569
226,11/23/2020,114.808792,0.026580433,0.000727961,-0.000531591,110.11349963116031,108.60283622791947,104.89077976902615
227,11/24/2020,118.948372,0.035421484,0.000730423,-0.000373208,113.09219931477494,111.53778480769677,107.73736276421104
228,11/25/2020,118.738052,-0.001769727,0.000727228,-0.000379333,117.18796387537162,115.57536405282514,111.64207424739793
229,11/27/2020,118.881454,0.001206989,0.000724064,-0.000372406,116.98292957650291,115.37883300641437,111.4307062256201
230,11/30/2020,118.087952,-0.006697109,0.000721089,-0.000399904,117.13500164294008,115.52909166097163,111.59897103355857
231,12/1/2020,117.74379,-0.00291871,0.000717994,-0.000410808,116.35155482889284,114.76794699592874,110.8625776728869
232,12/2/2020,119.13958,0.011784754,0.000715538,-0.000358241,116.00823944627525,114.43461583222869,110.55522274010686
233,12/3/2020,118.173996,-0.008137666,0.000712726,-0.000391629,117.39264139364411,115.80035814363609,111.89244149823065
234,12/4/2020,121.606117,0.028629192,0.000713264,-0.000267609,116.44416049645929,114.86305444915695,110.98208905322768
235,12/7/2020,119.216064,-0.019849762,0.000711853,-0.000350937,119.83706505402596,118.20869244610934,114.2110074560949
236,12/8/2020,120.181641,0.008066763,0.000709136,-0.000315269,117.4740168204835,115.87372692319106,111.95633875086217
237,12/9/2020,121.214149,0.008554534,0.000706474,-0.000277843,118.4358822388644,116.83585303559579,112.88203956836234
238,12/10/2020,119.46463,-0.014538463,0.000704357,-0.000337762,119.45634684972622,117.85078811764672,113.87455040869462
239,12/11/2020,118.80497,-0.005537103,0.000701522,-0.000359517,117.72565059622268,116.13840610563055,112.2355880728214
240,12/14/2020,118.097511,-0.005972593,0.00069873,-0.000382904,117.08220130981964,115.50089121359187,111.64687287791412
241,12/15/2020,120.391968,0.019242172,0.000697422,-0.000301473,116.39020662957974,114.82204235570221,110.97586191430528
242,12/16/2020,120.028679,-0.003022114,0.000694571,-0.000312715,118.66404201624943,117.06946189526472,113.13311164690978
243,12/17/2020,120.028679,0.0,0.000691713,-0.000311428,118.30749864855291,116.72197942821859,112.80981258601078
244,12/18/2020,120.315491,0.002386679,0.000688908,-0.00030037,118.30064928203448,116.71969264583585,112.82840349879211
245,12/21/2020,117.963669,-0.019740697,0.000687632,-0.000379718,118.59167769134069,117.00974445141148,113.11417492495387
246,12/22/2020,118.173996,0.001781394,0.000684856,-0.000370933,116.27163528019389,114.71869223485814,110.90576881996138
247,12/23/2020,118.451241,0.002343327,0.000682113,-0.000359945,116.47384157078828,114.92903737038041,111.09866997580156
248,12/24/2020,119.206497,0.006355851,0.000679543,-0.000332865,116.75657828878838,115.20633284577188,111.37932068653821
