,Date,MCD,PDR,VAR,AVG,VAR70,VAR85,VAR99
536,2/16/2022,253.089996,-0.002840807,0.000348851,0.000431876,251.39709266378304,249.0004222343123,243.05601343547892
537,2/17/2022,250.929993,-0.008571153,0.000348352,0.000415111,250.69429643598914,248.30614209839334,242.41686495539284
538,2/18/2022,250.600006,-0.001315921,0.00034771,0.000411893,248.54861784057405,246.19200990527432,240.36800696088758
539,2/22/2022,252.699997,0.008344936,0.000347182,0.000426611,248.21993219358112,245.8546126388501,240.02335346766895
540,2/23/2022,247.789993,-0.019621418,0.000347282,0.000389485,250.29368373927034,247.9255707864472,242.045577920976
541,2/24/2022,245.029999,-0.011200937,0.000346888,0.000368061,245.42175558230653,243.0906756573473,237.32632503632493
542,2/25/2022,249.449997,0.017877834,0.000346812,0.000400367,242.68302138826397,240.3868956913036,234.67311713366658
543,2/28/2022,244.770004,-0.018939472,0.000346861,0.00036475,247.07551161425624,244.7221280718126,238.93311592110365
544,3/1/2022,239.630005,-0.021222923,0.000347079,0.000325067,242.43701003049514,240.13214136701185,234.4350692246835
545,3/2/2022,240.940002,0.00545186,0.00034649,0.000334474,237.33997954164377,235.07638134636062,229.46749624016383
546,3/3/2022,236.649994,-0.017965717,0.000346468,0.000300957,238.63596288477942,236.37360595603462,230.77078930811754
547,3/4/2022,235.809998,-0.003555843,0.000345861,0.000293906,234.3743680362958,232.14743580294254,226.62443654254477
548,3/7/2022,224.330002,-0.049908197,0.000349821,0.000202297,233.54624799113532,231.3330936264084,225.8552449216039
549,3/8/2022,222.789993,-0.006888599,0.000349275,0.000189381,222.14107742535447,220.02665088783493,214.79433112060556
550,3/9/2022,222.470001,-0.001437327,0.000348645,0.000186423,220.62138359106746,218.52762483029943,213.31916732317242
551,3/10/2022,222.0,-0.002114884,0.000348022,0.000182247,220.303918184702,218.2074445519448,213.02258166775303
552,3/11/2022,226.869995,0.021699762,0.000348228,0.000221228,219.83660183157644,217.74814886398823,212.5844009050746
553,3/14/2022,226.179993,-0.003046033,0.000347618,0.000215319,224.66893281863736,222.5322794234901,217.26595513050162
554,3/15/2022,232.570007,0.027860174,0.000348368,0.00026522,223.9751160691274,221.85143814570804,216.56809935013138
555,3/16/2022,238.139999,0.023667447,0.000348725,0.000307386,230.32869448183874,228.1436541471452,222.69189133615933
556,3/17/2022,237.470001,-0.002817428,0.000348115,0.000301766,235.84383851463562,233.6033538459752,228.0302160467105
557,3/18/2022,238.919998,0.006087456,0.00034755,0.000312153,235.18057734670904,232.94741700116734,227.42169348461613
558,3/21/2022,235.320007,-0.01518244,0.000347357,0.000284385,236.62471756670516,234.38034954107107,228.78359115614793
559,3/22/2022,238.119995,0.011828408,0.000346973,0.000305036,233.05915772442137,230.8431203051708,225.34028345312214
560,3/23/2022,236.119995,-0.008434598,0.00034649,0.00028943,235.83109136961923,233.5900097205993,228.0531949444078
561,3/24/2022,240.259995,0.01738152,0.000346392,0.000319897,233.8543699558398,231.63393837268796,226.14209276802242
562,3/25/2022,241.580002,0.00547904,0.000345823,0.000329077,237.95019862278357,235.69403690434171,230.1065264860704
563,3/28/2022,242.940002,0.005613818,0.000345258,0.000338463,239.2674956210962,236.99672004776932,231.3843499114884
564,3/29/2022,248.169998,0.02129948,0.000345424,0.000375628,240.61605138795363,238.34252891677122,232.6907279614033
565,3/30/2022,249.029999,0.00345938,0.000344829,0.000381086,245.81687628059217,243.4832085310701,237.6930065145639
566,3/31/2022,247.279999,-0.007052073,0.000344317,0.000367954,246.65801614228272,244.32544881473427,238.5750885447184
567,4/1/2022,249.25,0.007935115,0.000343811,0.0003813,244.932560146702,242.61948647347572,236.86723658082488
568,4/4/2022,246.830002,-0.00975656,0.000343386,0.000363451,246.8960499865223,244.5639181736091,238.78290544642425
569,4/5/2022,248.509995,0.006783217,0.000342855,0.000374734,244.48626517432797,242.18013410255472,236.45790519734254
570,4/6/2022,251.460007,0.011800893,0.000342482,0.00039478,246.17444924932695,243.85236017665304,238.09889406118924
571,4/7/2022,254.360001,0.011466631,0.000342097,0.00041417,249.07358393298125,246.72881210999606,240.93291700812856
572,4/8/2022,251.460007,-0.011466631,0.000341745,0.000393399,251.96690470273992,249.60251971080493,243.69977314084483
573,4/11/2022,250.449997,-0.004024671,0.000341183,0.000385689,249.0959396357237,246.74588115164292,240.92701564071564
574,4/12/2022,249.169998,-0.005123901,0.000340641,0.00037609,248.09638781208818,245.75990629538825,239.9774031383305
575,4/13/2022,251.330002,0.008631438,0.000340167,0.000390447,246.83354353299976,244.5029104990843,238.72417939617253
576,4/14/2022,250.509995,-0.003268005,0.0003396,0.000384096,248.9629095673873,246.63118623117796,240.8293103690759
577,4/18/2022,251.059998,0.002193126,0.000339017,0.000387231,248.1408334172602,245.80445052721956,240.03754732242552
578,4/19/2022,255.399994,0.017138974,0.000338915,0.000416213,248.70726806421519,246.36443887875618,240.56725746795672
579,4/20/2022,255.850006,0.001760439,0.000338333,0.000418535,253.01461333221837,250.63460099659156,244.73753517285755
580,4/21/2022,255.25,-0.002347902,0.000337762,0.000413765,253.46860435907703,251.08991515763373,245.21555972336242
581,4/22/2022,250.169998,-0.020102778,0.000337904,0.000378453,252.86776979027738,250.49997004602454,244.65247629199388
582,4/25/2022,252.880005,0.010774409,0.000337509,0.000396315,247.81747252920934,245.50237348093393,239.77392063808284
583,4/26/2022,248.580002,-0.017150354,0.000337457,0.000366218,250.50892986415684,248.15981688248468,242.36596413227173
584,4/27/2022,247.139999,-0.00580976,0.000336945,0.000355643,246.24353999989063,243.94614637471497,238.25926464132573
585,4/28/2022,254.190002,0.028127053,0.000337685,0.000403115,244.82386105924567,242.5437977678624,236.8609108165086
