,Date,COST,PDR,VAR,AVG,VAR70,VAR85,VAR99
132,7/13/2020,322.920013,-0.010198033,0.000506035,0.00077575,322.5909681619524,318.8864389297517,309.71481284961317
133,7/14/2020,328.0,0.015608954,0.000503872,0.000887278,319.2979836498656,315.6266401197319,306.620195754561
134,7/15/2020,326.700012,-0.003971253,0.000500287,0.00085102,324.379131440254,320.6716113285014,311.52400815951114
135,7/16/2020,326.269989,-0.00131713,0.000496615,0.00083496,323.0671056874902,319.39404470371767,310.30173766972626
136,7/17/2020,324.790009,-0.004546378,0.000493175,0.000795391,322.6738431181258,318.9982609449905,309.94896904167666
137,7/20/2020,326.51001,0.005281759,0.000489721,0.000828138,321.17947535416585,317.5566460680238,308.57092532884076
138,7/21/2020,327.73999,0.003759974,0.000486234,0.000849383,322.9285787490091,319.2845385525319,310.31695480848435
139,7/22/2020,328.299988,0.001707207,0.000482741,0.000855555,324.1637107104161,320.5338369274247,311.5384523285277
140,7/23/2020,326.109985,-0.006693086,0.000479697,0.000801636,324.7460404378513,321.1021342573434,312.15101966822624
141,7/24/2020,325.779999,-0.001012398,0.000476318,0.00078877,322.5736701576939,318.98210327232204,310.0974092627356
142,7/27/2020,327.600006,0.005571066,0.000473124,0.000822449,322.24866916073665,318.6813358488826,309.85832856916466
143,7/28/2020,327.570007,-9.16e-05,0.000469821,0.000816057,324.0779127930616,320.470083699565,311.6137071430807
144,7/29/2020,326.140015,-0.004375011,0.000466744,0.000780008,324.0613616160517,320.48044718109037,311.6325572580297
145,7/30/2020,324.820007,-0.004055579,0.000463686,0.000746659,322.6206910319742,319.07109316938096,310.323801846984
146,7/31/2020,325.529999,0.002183416,0.000460524,0.0007565,321.3343828352057,317.81580859214523,309.13681090913786
147,8/3/2020,329.320007,0.011575323,0.000458182,0.000830097,322.06850723213245,318.5405770755402,309.8092120170823
148,8/4/2020,339.790009,0.031297863,0.000461316,0.00103596,325.8571391241377,322.29876015679935,313.50591316432485
149,8/5/2020,339.970001,0.000529575,0.000458221,0.001032562,336.2518940644606,332.5834555654057,323.48598754727254
150,8/6/2020,343.309998,0.009776442,0.000455673,0.001090854,336.4374438002876,332.7702317961224,323.70122435534427
151,8/7/2020,340.910004,-0.007015299,0.000453087,0.001037171,339.77206469691953,336.0893565739882,326.92863698199193
152,8/10/2020,340.0,-0.002672907,0.000450197,0.001012763,337.40685386034335,333.7528617450739,324.6885509591372
