,Date,VLO,PDR,VAR,AVG,VAR70,VAR85,VAR99
132,7/13/2020,53.23,-0.007859359,0.003255175,-0.004398653,51.74971762370515,50.2517870986635,46.65598697734323
133,7/14/2020,54.400002,0.021742043,0.003235799,-0.004202106,51.35087279364404,49.876407412923506,46.33991223236326
134,7/15/2020,57.23,0.050714046,0.00323399,-0.003792284,52.49213717133498,50.97962849104763,47.38912445401326
135,7/16/2020,56.580002,-0.011422635,0.003210462,-0.003848805,55.25218096891351,53.66515640011643,49.869127530437005
136,7/17/2020,55.470001,-0.019813249,0.003188716,-0.003966191,54.62639212674998,53.05919178761714,49.335695040373565
137,7/20/2020,54.330002,-0.020765755,0.003167486,-0.004088816,53.54806214166971,52.031454549298424,48.381078351736285
138,7/21/2020,57.580002,0.058098723,0.003172354,-0.003638181,52.45392517657564,50.96471937666058,47.37396548759497
139,7/22/2020,57.07,-0.008896735,0.003149729,-0.003676013,55.61029101736999,54.02773953166494,50.24742518996208
140,7/23/2020,57.669998,0.010458488,0.003128647,-0.003575052,55.12488296606887,53.55663876230823,49.82628496215607
141,7/24/2020,57.98,0.005361051,0.003107021,-0.003511675,55.71097735415321,54.136473402588955,50.36995931312422
142,7/27/2020,58.029999,0.000861977,0.003085274,-0.003480875,56.030710782502105,54.44614223925526,50.674243807838046
143,7/28/2020,56.889999,-0.01984054,0.003065557,-0.003595278,56.083264697025434,54.50573989419898,50.74767357256915
144,7/29/2020,59.689999,0.048044924,0.003062659,-0.003236666,54.98226907312564,53.44520943138369,49.75346452698127
145,7/30/2020,56.330002,-0.057937197,0.00306203,-0.003613911,57.699942637102474,56.09174857146585,52.23359750333371
146,7/31/2020,56.23,-0.001776866,0.00304108,-0.003601328,54.43652340584958,52.91786575386892,49.25201361763409
147,8/3/2020,53.91,-0.042134433,0.003030425,-0.003863458,54.3415590998675,52.82986105350354,49.191995588615
148,8/4/2020,53.02,-0.016646789,0.003011046,-0.003949832,52.09659108538848,50.64593189949966,47.17382097009418
149,8/5/2020,51.619999,-0.026760026,0.002994306,-0.004102921,51.24234442173254,49.81958102366433,46.40605729372525
150,8/6/2020,51.48,-0.002715792,0.002974356,-0.004093673,49.87514861269755,48.497900878382296,45.19303133467443
151,8/7/2020,52.66,0.022662771,0.002959368,-0.003916478,49.75049597583589,48.38431799690793,45.09271659254837
152,8/10/2020,53.549999,0.016759624,0.002942693,-0.003780451,50.902226693398404,49.50723776067818,46.14827097432741
153,8/11/2020,53.650002,0.001865728,0.002923667,-0.003743548,51.77173723383578,50.35541291388425,46.94467730351109
154,8/12/2020,55.119999,0.027031102,0.002910792,-0.003543713,51.8818803432408,50.46559843059437,47.056959169898796
155,8/13/2020,53.189999,-0.035642219,0.002898617,-0.0037508,53.31525859699988,51.86241612783997,48.37666516278668
156,8/14/2020,54.459999,0.023596079,0.002884799,-0.003575499,51.44145643472969,50.04184504721914,46.68806629886989
157,8/17/2020,55.599998,0.020716696,0.002870159,-0.003420772,52.684323169087826,51.25045873577101,47.82490018011915
158,8/18/2020,54.740002,-0.015588425,0.002852925,-0.003497782,53.793252734952326,52.33831939607019,48.85451625527543
159,8/19/2020,54.259998,-0.00880747,0.002835158,-0.003531177,52.966624552450774,51.536745073742956,48.09686256783294
160,8/20/2020,52.700001,-0.029171796,0.002821522,-0.00369143,52.507576271144174,51.09939789421231,47.71336821966479
161,8/21/2020,52.619999,-0.001519218,0.002804026,-0.003677938,50.999250083978104,49.62320128595437,46.322279361370555
162,8/24/2020,54.990002,0.04405513,0.002800695,-0.00338329,50.92353823923534,49.561901582344305,46.28194410353168
163,8/25/2020,54.25,-0.013548394,0.002784143,-0.003445652,53.22542766319221,51.80188356212807,48.37302426979781
164,8/26/2020,53.700001,-0.010189972,0.002767442,-0.003486776,52.51742248281184,51.11411901254369,47.737846781003256
165,8/27/2020,53.439999,-0.00485351,0.002750681,-0.00349506,51.98627489263551,50.60431491793231,47.28027802643916
166,8/28/2020,54.889999,0.026771654,0.002739595,-0.00331273,51.7418989990136,50.368713923568656,47.066974820912634
