,Date,CI,PDR,VAR,AVG,VAR70,VAR85,VAR99
203,10/21/2020,174.559998,0.0200788,0.001181257,-0.000790388,167.76878342356304,164.83987471192452,157.71245417608003
204,10/22/2020,179.330002,0.026959184,0.001179223,-0.000654361,171.20769330197652,168.2232052857481,160.92119180502908
205,10/23/2020,184.490005,0.028367593,0.001177559,-0.00051279,175.91158997239512,172.85583981020872,165.3546421008228
206,10/26/2020,181.880005,-0.014248132,0.001172754,-0.000579467,181.00170870376397,177.851998802419,170.1450568078171
207,10/27/2020,178.289993,-0.019935758,0.00116889,-0.000672975,178.43600666647885,175.3329312334923,167.80405467480662
208,10/28/2020,168.330002,-0.057485048,0.001178713,-0.00094611,174.91257493207354,171.86936983226917,164.41348483697092
209,10/29/2020,163.399994,-0.029725205,0.001177017,-0.001083809,165.0634093337401,162.18205925046823,155.15567549456316
210,10/30/2020,166.970001,0.021613016,0.001173854,-0.000975729,160.20387438651477,157.42144328008806,150.60003673235536
211,11/2/2020,174.839996,0.046057086,0.001178724,-0.000752825,163.7257897992488,160.8803325125636,153.9406806767706
212,11/3/2020,183.880005,0.050412151,0.001185455,-0.00051148,171.50476605785275,168.5182430783472,161.1841646647501
213,11/4/2020,210.619995,0.13577214,0.001266678,0.000128349,180.39154530207037,177.2311554941595,169.55667068772274
214,11/5/2020,214.160004,0.01666788,0.001262031,0.000205636,206.62200081733417,202.87901382191,193.75780167364698
215,11/6/2020,201.470001,-0.061082926,0.001273551,-7.94e-05,210.1118241864563,206.3186779081342,197.0600385279782
216,11/9/2020,211.199997,0.047165046,0.001277941,0.000139298,197.59351855189024,194.0121352902007,185.28622362077695
217,11/10/2020,220.199997,0.041730673,0.001279986,0.000330963,207.16879835687953,203.42392565802905,194.22485739687258
218,11/11/2020,221.110001,0.004124109,0.001274181,0.000348363,216.024972383073,212.1137185675182,202.55304497934438
219,11/12/2020,220.149994,-0.004351215,0.001268463,0.000326903,216.93942694638318,213.01788581895522,203.45205330364573
220,11/13/2020,219.690002,-0.002091634,0.001262724,0.00031591,216.01030474875805,212.09581919620712,202.60148817209557
221,11/16/2020,218.300003,-0.006347194,0.00125721,0.00028576,215.57269382103863,211.6710918925574,202.18842376337767
222,11/17/2020,214.809998,-0.01611637,0.001252753,0.000211877,214.1922320249281,210.34391115858557,200.927007046438
223,11/18/2020,210.929993,-0.018227615,0.001248653,0.000129188,210.79455212279908,206.99539570875032,197.76531258878418
224,11/19/2020,204.740005,-0.029785386,0.001247056,-4.36e-06,206.94003343766977,203.22386394421412,194.20238370529373
225,11/20/2020,204.820007,0.000390673,0.001241514,-2.6e-06,200.8454796602543,197.23846774306566,188.49929315718109
