,Date,GS,PDR,VAR,AVG,VAR70,VAR85,VAR99
139,7/22/2020,206.0,-0.02880446,0.001706084,-0.000926702,207.16000910018647,202.8000223989072,192.25122959889356
140,7/23/2020,203.020004,-0.014571653,0.001695218,-0.001024166,201.22124468402723,197.00375702572867,186.7678310611521
141,7/24/2020,201.470001,-0.007664024,0.001683506,-0.001071257,198.2902190401464,194.1439023667582,184.11282805383092
142,7/27/2020,203.020004,0.007664024,0.001672184,-0.001009741,196.80917627670988,192.71215078857816,182.79034336507476
143,7/28/2020,201.619995,-0.006919803,0.001660733,-0.00105107,198.33189049115163,194.23641834222275,184.3060600382584
144,7/29/2020,202.580002,0.004750167,0.001649432,-0.001010784,196.9963985560695,192.93251826228246,183.11622328610315
145,7/30/2020,199.529999,-0.015170284,0.00163943,-0.001108435,197.93981770644285,193.84719767950548,183.9530259803391
146,7/31/2020,197.960007,-0.007899571,0.001628514,-0.00115495,194.9602650998303,190.95711053889033,181.21968513605722
147,8/3/2020,199.389999,0.007197675,0.001617907,-0.001098129,193.42264060554504,189.47331105357233,179.88260310279728
148,8/4/2020,201.639999,0.011221223,0.001607994,-0.001014891,194.84625379340306,190.8734807195895,181.1792263772406
149,8/5/2020,204.520004,0.014181866,0.001598742,-0.000912899,197.08585401638658,193.0843415201723,183.3231844603329
150,8/6/2020,204.25,-0.001321056,0.001588085,-0.00091562,199.94513277737266,195.8913068958627,186.02842520430625
151,8/7/2020,208.270004,0.0194906,0.001580307,-0.000780479,199.68442323005843,195.6442263535821,185.86619859296425
152,8/10/2020,209.380005,0.005315473,0.001570153,-0.000740374,203.65316365846616,199.55788916217537,189.58954820563636
153,8/11/2020,211.059998,0.007991637,0.001560386,-0.000683303,204.77454414045832,200.66701669622032,190.62346564359012
154,8/12/2020,212.130005,0.005056874,0.001550466,-0.000646029,206.4548231553515,202.32413859207097,192.30276314066984
155,8/13/2020,208.389999,-0.017787999,0.001542346,-0.000756622,207.50356658337023,203.3528942172405,193.27132308671145
156,8/14/2020,207.970001,-0.002017476,0.00153247,-0.000764704,203.83336131743806,199.7733179484788,189.92597181462799
157,8/17/2020,203.070007,-0.023843062,0.00152608,-0.0009117,203.43038587836034,199.40783145067473,189.57396774276674
158,8/18/2020,201.309998,-0.008704783,0.001516803,-0.000961024,198.62238600006478,194.68241104634998,185.1256297418835
159,8/19/2020,203.020004,0.008458517,0.001507818,-0.000901781,196.8775706289707,192.99477189056128,183.5176906349416
160,8/20/2020,201.850006,-0.005779639,0.001498542,-0.000932268,198.58110826868628,194.66914761228665,185.14692735625295
161,8/21/2020,202.429993,0.002869236,0.001489323,-0.000908656,197.47305323070802,193.60396165337545,184.16075592652444
162,8/24/2020,207.339996,0.023965825,0.001483926,-0.00075511,198.05179692376933,194.19083727879652,184.75877502358892
163,8/25/2020,206.0,-0.00648377,0.001475022,-0.000790255,202.87943480153186,198.90551548189438,189.2873525620441
164,8/26/2020,207.220001,0.005904867,0.001466299,-0.000749431,201.58763239173618,197.6551526799104,188.12344853903147
165,8/27/2020,210.149994,0.014040497,0.00145873,-0.000659795,202.80210639735483,198.86779352247785,189.30874036859043
166,8/28/2020,207.710007,-0.011678623,0.00145067,-0.000726174,205.7129569311804,201.71204738752448,192.0683993853945
167,8/31/2020,204.869995,-0.013767303,0.001442996,-0.000804264,203.30837319279152,199.38884318354798,189.8520478876825
168,9/1/2020,205.460007,0.002875795,0.001434486,-0.000782359,200.52465115812504,196.65600403837354,187.21547413507076
169,9/2/2020,210.039993,0.022046554,0.001429064,-0.000647277,201.11178111614836,197.25580406969044,187.84694137531005
170,9/3/2020,207.559998,-0.011877511,0.001421395,-0.000713337,205.6294109810075,201.69241012514416,192.1306653916962
171,9/4/2020,210.940002,0.016153297,0.001414737,-0.000614702,203.22341292209526,199.3402345018478,189.89251293913003
172,9/8/2020,202.479996,-0.040932646,0.001415907,-0.000849108,206.54271463982812,202.60569395683783,193.02701088793106
173,9/9/2020,202.220001,-0.001284878,0.001407724,-0.000851627,198.2102373034488,194.43037638230584,185.27250118054093
174,9/10/2020,200.009995,-0.010988878,0.001400221,-0.000909887,197.9660440081977,194.19560837406587,185.0693951583017
175,9/11/2020,200.919998,0.004539469,0.001392388,-0.000878748,195.80904897326172,192.10315960676252,183.01486071139027
176,9/14/2020,201.339996,0.002088193,0.001384527,-0.000861891,196.72028100358733,193.00519115128097,183.9458959320418
177,9/15/2020,198.0,-0.016727971,0.001378119,-0.000951529,197.14489200837977,193.42054059943044,184.37424967332348
178,9/16/2020,200.679993,0.013444534,0.001371534,-0.000870653,193.85891728184603,190.2227097678758,181.3046914555775
179,9/17/2020,194.830002,-0.029584171,0.001368452,-0.001031063,196.50453676435376,192.81569754995664,183.83557627937603
180,9/18/2020,194.860001,0.000153963,0.001360858,-0.00102448,190.76414038491538,187.18579396928686,178.4637132851458
181,9/21/2020,194.0,-0.004423198,0.001353402,-0.001043257,190.8084700301442,187.24271637385476,178.4950793526204
182,9/22/2020,191.619995,-0.012343941,0.001346664,-0.001105349,189.9611751184626,186.42571620905733,177.76110171660503
183,9/23/2020,186.119995,-0.029122618,0.001343571,-0.001258449,187.62422543500395,184.12358553280373,175.61441409020358
184,9/24/2020,195.110001,0.047171907,0.001348947,-0.00099524,182.21898954485593,178.83386483316812,170.56637440994513
185,9/25/2020,194.949997,-0.000820407,0.001341656,-0.000994295,191.0588475491895,187.49761397293182,178.80502208685434
186,9/28/2020,199.070007,0.020913457,0.001337009,-0.000876512,190.92979906584407,187.38323644915994,178.77774764833444
187,9/29/2020,196.789993,-0.011519422,0.001330462,-0.000933426,194.97158968478573,191.3624875158255,182.60407240194957
188,9/30/2020,200.970001,0.021018513,0.001325934,-0.00081666,192.75920467481646,189.19744545920847,180.50240502968745
189,10/1/2020,198.550003,-0.012114675,0.001319591,-0.000876438,196.87335779355368,193.23771935516848,184.37266835804078
190,10/2/2020,199.899994,0.006776239,0.001312952,-0.000836161,194.49722786987377,190.91123323869184,182.17126127832174
191,10/5/2020,201.800003,0.009459911,0.00130663,-0.000782254,195.84917803173397,192.24082457278735,183.48172785139118
192,10/6/2020,201.089996,-0.003524574,0.001299864,-0.000796537,197.7387947339169,194.11778260317365,185.24731086071478
193,10/7/2020,203.600006,0.012404765,0.001294027,-0.000728137,197.0438388930895,193.42742779829348,184.63649362717996
194,10/8/2020,207.979996,0.021284588,0.001289842,-0.000614669,199.5111711537388,195.86736968485914,187.0343843020798
195,10/9/2020,207.539993,-0.002117844,0.001283239,-0.000622378,203.8381096741679,200.1347012749552,191.10450523632568
196,10/12/2020,214.119995,0.031212524,0.001281836,-0.000459955,203.4223202118384,199.73326816591532,190.7200408802829
197,10/13/2020,210.809998,-0.015579338,0.001276483,-0.000536703,209.89617639486647,206.09074570740734,196.77916994800506
198,10/14/2020,211.229996,0.001990324,0.001270069,-0.00052394,206.66471330251235,202.91072707540818,193.78096494701418
199,10/15/2020,208.600006,-0.012528997,0.001264407,-0.000584267,207.06788024723934,203.32850391942594,194.1815018826975
200,10/16/2020,206.210007,-0.01152347,0.00125868,-0.000638963,204.49957938871904,200.82778513505164,191.77881648376243
201,10/19/2020,205.690002,-0.00252491,0.001252436,-0.000648346,202.13962581443138,198.5099160047524,189.64646876654666
202,10/20/2020,208.029999,0.011312105,0.00124694,-0.000589136,201.64304627023952,198.01873563191268,189.16947816775854
203,10/21/2020,202.910004,-0.024919745,0.0012437,-0.000708991,203.95457026000093,200.2857422438645,191.36281153907197
204,10/22/2020,205.399994,0.012196718,0.001238415,-0.000645728,198.91266021887805,195.34626631900784,186.62700807229106
205,10/23/2020,205.039993,-0.00175422,0.00123238,-0.000651135,201.3817773533511,197.8006175438508,189.01479180478518
206,10/26/2020,201.139999,-0.01920387,0.001228061,-0.000741197,201.03713798308962,197.46813261283842,188.7202381426911
207,10/27/2020,195.679993,-0.027520542,0.001225576,-0.000870566,197.20536890344397,193.683353554694,185.1163984176621
208,10/28/2020,189.770004,-0.030667803,0.001223932,-0.001013822,191.83936990033735,188.44071468031095,180.1238591282049
209,10/29/2020,189.940002,0.00089541,0.001218093,-0.001004687,186.0303591156127,182.7142671246776,174.67803452504518
210,10/30/2020,189.039993,-0.004749647,0.001212359,-0.00102252,186.20472106040043,182.91230956861986,174.866331952944
211,11/2/2020,190.199997,0.006117538,0.001206854,-0.000988681,185.31693969451086,182.03914270088922,174.0530604922982
212,11/3/2020,197.929993,0.039837263,0.001208986,-0.000796105,186.4680884774161,183.17971540289147,175.11233796182523
213,11/4/2020,197.869995,-0.000303173,0.001203311,-0.000793791,194.07081010956426,190.65220509727294,182.29871283951204
214,11/5/2020,202.960007,0.025398726,0.001200879,-0.000671396,194.0326990423655,190.62806835414395,182.3300422697915
215,11/6/2020,201.259995,-0.00841137,0.001195571,-0.000707396,199.03832919237942,195.55814974101318,186.98695615866558
216,11/9/2020,214.929993,0.065714781,0.001210367,-0.000399886,197.37226734217202,193.91628101104,185.45491430013905
217,11/10/2020,217.470001,0.011748553,0.001205466,-0.000343902,210.83868746046286,207.10964376433847,198.0057133443119
218,11/11/2020,218.050003,0.002663493,0.001199978,-0.000330107,213.36749780429088,209.59786785066748,200.42542995551483
219,11/12/2020,214.509995,-0.016368074,0.001195667,-0.00040334,213.923214875315,210.16284443767847,201.02417500430866
220,11/13/2020,219.080002,0.021080635,0.001192321,-0.000305685,210.43676791142622,206.74386793051235,197.73183358243992
221,11/16/2020,222.380005,0.014950684,0.001187974,-0.000236652,214.94957081515278,211.18571878783249,202.02258430898385
222,11/17/2020,224.649994,0.010155956,0.001183107,-0.000189838,218.20536264466196,214.38046500452253,205.04926425503186
223,11/18/2020,224.300003,-0.001559154,0.00117781,-0.000195979,220.4563570418601,216.6158688631872,207.26117869887807
224,11/19/2020,224.570007,0.001203039,0.001172561,-0.000189733,220.12491349136477,216.29944059225386,206.9286101403923
225,11/20/2020,223.350006,-0.005447419,0.001167472,-0.000213101,220.41071328916397,216.58976245870664,207.21789421220245
226,11/23/2020,228.830002,0.024239304,0.00116494,-0.000104904,219.20687135051776,215.4031560655574,206.16709648196783
227,11/24/2020,237.5,0.037188245,0.001165908,5.94e-05,224.6198146009662,220.7262267215828,211.23727468164145
228,11/25/2020,236.539993,-0.004050326,0.001160868,4.14e-05,233.1727867667971,229.12551947646455,219.26545376125839
229,11/27/2020,235.399994,-0.004831128,0.001155902,2.01e-05,232.22383958927696,228.21123353320047,218.4360492668856
230,11/30/2020,230.580002,-0.020688287,0.001152733,-7e-05,231.10928257110857,227.10526296859135,217.35014711856306
231,12/1/2020,232.080002,0.006484266,0.001147928,-4.16e-05,226.38032352320045,222.47485231799607,212.8830030041904
232,12/2/2020,237.649994,0.023716829,0.001145402,6.08e-05,227.8571270537617,223.93503707024055,214.31069439299117
233,12/3/2020,235.470001,-0.009215457,0.001140854,2.1e-05,233.34294672357916,229.326909614048,219.5458502540841
234,12/4/2020,239.580002,0.017303878,0.00113725,9.49e-05,231.21352583499322,227.23205841081523,217.54109332103613
235,12/7/2020,238.449997,-0.004727766,0.001132509,7.43e-05,235.26765347702485,231.25127568728155,221.37510525752418
236,12/8/2020,238.839996,0.001634223,0.00112772,8.1e-05,234.15330939773568,230.1643821020873,220.354260025011
237,12/9/2020,242.820007,0.016526602,0.001124098,0.000150349,234.55610324181194,230.55742191298611,220.79846987066045
238,12/10/2020,244.399994,0.006485746,0.001119543,0.000176968,238.47558520352086,234.4106318513872,224.50666458474234
239,12/11/2020,239.990005,-0.018208926,0.001116267,0.00010004,240.05705905361737,235.96700609896553,225.954351220241
240,12/14/2020,237.789993,-0.009209375,0.001111976,6.13e-05,235.71770326690242,231.73051361518534,221.91930959598741
241,12/15/2020,242.429993,0.019325078,0.001108895,0.000141184,233.5393447143511,229.58328303181048,219.97325759417075
