,Date,NKE,PDR,VAR,AVG,VAR70,VAR85,VAR99
170,9/3/2020,112.849998,-0.034403611,0.000883589,0.000583105,115.0343762863614,113.29735848613637,109.02773274088504
171,9/4/2020,112.400002,-0.00399553,0.000878544,0.000556329,111.12029808026325,109.44258741538668,105.3219935964831
172,9/8/2020,112.720001,0.002842921,0.000873466,0.000569623,110.67196915678937,109.0028273376733,104.92993232529051
173,9/9/2020,114.900002,0.019155326,0.000870402,0.000677055,111.0030321990891,109.33330681334701,105.26462008450828
174,9/10/2020,114.790001,-0.000957821,0.000865415,0.000667659,113.16482735912115,111.46651675367823,107.30448344435013
175,9/11/2020,118.0,0.027580244,0.000864585,0.000821446,113.0626655594569,111.3782476179659,107.22535075914743
176,9/14/2020,119.279999,0.010789038,0.000860234,0.00087808,116.24069167366856,114.50646413157791,110.23584110924742
177,9/15/2020,119.269997,-8.39e-05,0.000855379,0.000872645,117.51935776164794,115.75841098700144,111.4682050520965
178,9/16/2020,118.589996,-0.005717673,0.000850816,0.000835621,117.51337122914106,115.76418394891307,111.46741091341028
179,9/17/2020,116.360001,-0.01898329,0.000848245,0.000724901,116.83956120775674,115.10968935294129,110.84738990034938
180,9/18/2020,114.660004,-0.01471758,0.00084485,0.000639109,114.63778698869451,112.93347788077587,108.7752224890596
181,9/21/2020,113.370003,-0.01131443,0.000840968,0.000573067,112.94171841475456,111.2780002192283,107.19988845288054
182,9/22/2020,116.870003,0.030405399,0.00084121,0.000736981,111.68296645190713,110.04147492383443,106.01678060354624
183,9/23/2020,127.110001,0.08399063,0.000874281,0.001191919,115.13813765796549,113.44041057310805,109.29260784042022
184,9/24/2020,124.75,-0.018741127,0.000871678,0.001083587,125.24919027164484,123.3674186775337,118.75432643850185
185,9/25/2020,124.230003,-0.004177024,0.000867115,0.001055152,122.91546654931363,121.07533256776638,116.57556195345393
186,9/28/2020,124.32,0.000724176,0.000862453,0.001053372,122.40392922837712,120.5734620563505,116.08603629642164
187,9/29/2020,126.349998,0.016196931,0.000859061,0.001134354,122.48822885568653,120.6557071069115,116.17123838504156
188,9/30/2020,125.540001,-0.006431377,0.000854794,0.001094111,124.51287767785617,122.64820887297847,118.10573488343333
189,10/1/2020,126.639999,0.008723967,0.000850578,0.00113448,123.71764770837083,121.87759813739494,117.36178985869263
