,Date,KR,PDR,VAR,AVG,VAR70,VAR85,VAR99
215,11/6/2020,33.169998,0.01365925,0.000428906,0.000679737,32.37914394226471,32.038449479976165,31.19013886224157
216,11/9/2020,31.01,-0.06733606,0.000448238,0.000364849,32.826674701431386,32.480146207055896,31.623235103797988
217,11/10/2020,31.92,0.028923039,0.000449914,0.000496453,30.671440605279347,30.340913126933078,29.524156956771332
218,11/11/2020,32.09,0.005311683,0.000447956,0.000518541,31.576246818947833,31.235844331071203,30.393060120880325
219,11/12/2020,32.029999,-0.001871523,0.000445936,0.000507628,31.745394094046983,31.40374354827643,30.56320058275764
220,11/13/2020,32.139999,0.003428397,0.000443948,0.000520904,31.68602187766288,31.347805512837667,30.49977843225175
221,11/16/2020,32.299999,0.00496587,0.000442028,0.000541017,31.79528766240147,31.453179059632923,30.605712571802098
222,11/17/2020,31.9,-0.012461189,0.000440795,0.000482449,31.955772976378146,31.614218487612646,30.767564687754373
223,11/18/2020,32.040001,0.004379144,0.000438886,0.000499923,31.559616264051133,31.222359274025223,30.3900090731069
224,11/19/2020,32.759998,0.022223045,0.000439024,0.000596901,31.69827592387319,31.35957157856359,30.522989617164107
225,11/20/2020,32.439999,-0.009816,0.000437553,0.000550621,32.413957635633615,32.06770820971271,31.211527140687316
226,11/23/2020,33.029999,0.018024011,0.000436961,0.000627937,32.09497397579911,31.75346554713396,30.907422277945745
227,11/24/2020,32.689999,-0.010347019,0.000435565,0.000579589,32.68301475440753,32.33491186846302,31.478079884722398
228,11/25/2020,32.32,-0.011382956,0.000434279,0.000527122,32.346668012931296,32.002209087798114,31.1492795639331
229,11/27/2020,32.43,0.003397687,0.000432419,0.000539657,31.978941180189448,31.63798463245143,30.794691170340595
230,11/30/2020,33.0,0.017423641,0.000431773,0.000613066,32.08855724689933,31.747304507962497,30.907596039082044
231,12/1/2020,33.009998,0.000302924,0.000429904,0.000611723,32.65680501595237,32.310143825237645,31.45424472121697
232,12/2/2020,32.290001,-0.02205287,0.000430256,0.000514031,32.66714377972652,32.32102051794759,31.468473859775536
