,Date,PEP,PDR,VAR,AVG,VAR70,VAR85,VAR99
184,9/24/2020,131.580002,0.004417724,0.000693628,-0.000172367,129.12461514805412,127.3806191732992,123.11611325413186
185,9/25/2020,133.550003,0.014860915,0.000691094,-9.11e-05,129.7011187373273,127.96514835488539,123.6996808366006
186,9/28/2020,137.970001,0.032560315,0.00069308,8.44e-05,131.66483436454598,129.90805066267848,125.57139763415933
187,9/29/2020,137.160004,-0.005888121,0.000689563,5.25e-05,136.04167620365772,134.21279253161174,129.72636686644987
188,9/30/2020,138.600006,0.010443973,0.000686466,0.000107774,135.2342308586003,133.43041712070467,128.99781739530903
189,10/1/2020,140.800003,0.015748335,0.000684122,0.000190529,136.6803121753972,134.85437008312766,130.35504060032295
190,10/2/2020,138.059998,-0.019652106,0.000682583,8.61e-05,138.85917425473946,137.01088440779674,132.4628764341117
191,10/5/2020,137.929993,-0.000942099,0.000679014,8.07e-05,136.15011166172738,134.33777353176194,129.88339132768147
192,10/6/2020,135.699997,-0.016299715,0.000676868,-4.6e-06,136.02156769133842,134.2187376708141,129.78014223605402
193,10/7/2020,137.009995,0.009607335,0.000673837,4.52e-05,133.81712461027598,132.0528121452341,127.68982982438574
194,10/8/2020,137.850006,0.006112302,0.000670552,7.65e-05,135.1227661877568,133.3304427712025,128.92444248830253
195,10/9/2020,138.440002,0.004270852,0.000667204,9.8e-05,135.9549844706731,134.159217983122,129.74400071882474
196,10/12/2020,142.130005,0.026305134,0.000667286,0.000231692,136.55800782851315,134.76493286759634,130.33335913310836
197,10/13/2020,143.539993,0.009871526,0.000664368,0.000280625,140.20321602865653,138.3674249214022,133.82747220992266
198,10/14/2020,142.520004,-0.007131324,0.000661288,0.000243191,141.6027100771609,139.745767833067,135.17718099178222
199,10/15/2020,141.429993,-0.007677523,0.000658279,0.000203389,140.59936649860222,138.75988834031193,134.24716345562996
200,10/16/2020,141.729996,0.002118965,0.000655006,0.000212966,139.52002238346495,137.68836821536834,133.22918386475274
201,10/19/2020,139.679993,-0.014569769,0.000652829,0.00013942,139.82820997277798,138.00811012585143,133.51879174750098
202,10/20/2020,139.710007,0.000214854,0.000649597,0.000139794,137.793013490876,136.00446058822226,131.56090654668853
203,10/21/2020,139.600006,-0.000787662,0.000646401,0.000135225,137.83798835189333,136.05374602635786,131.63320139237814
204,10/22/2020,139.610001,7.16e-05,0.000643233,0.000134913,137.7264408785976,135.94218492393227,131.58026260918956
205,10/23/2020,139.559998,-0.000358226,0.000640096,0.000132508,137.74557288241058,135.96391628824892,131.5727694622721
206,10/26/2020,138.059998,-0.010806243,0.000637567,7.94e-05,137.6915856176423,135.92146561033587,131.573249215356
