,Date,CHS,PDR,VAR,AVG,VAR70,VAR85,VAR99
127,7/6/2020,1.37,0.029631798,0.007139508,-0.007801699,1.2574265987427335,1.2040701448856193,1.0791152039210552
128,7/7/2020,1.33,-0.029631798,0.007087425,-0.007972246,1.2957422658240112,1.241008576009814,1.1132893840011955
129,7/8/2020,1.35,0.01492565,0.007036517,-0.007794743,1.2579210418808906,1.2050578641665899,1.0807871206367257
130,7/9/2020,1.38,0.021978907,0.006989156,-0.007565715,1.2772393189088111,1.2235404747646548,1.0982514936459624
131,7/10/2020,1.29,-0.067441281,0.006962962,-0.00802278,1.306523357587281,1.251745999946869,1.1240303747711933
132,7/13/2020,1.42,0.096014653,0.006991589,-0.007234618,1.2206134344191943,1.1694631077621533,1.0496770286821437
133,7/14/2020,1.39,-0.021353124,0.006940508,-0.007340772,1.3444670866368142,1.2881696581079383,1.15643883287398
134,7/15/2020,1.52,0.089406588,0.006958044,-0.006618777,1.3162836143245031,1.2615017382467402,1.1325702937447006
135,7/16/2020,1.57,0.032365285,0.006917677,-0.006330006,1.4404979235449022,1.380111875870776,1.2390298956769767
136,7/17/2020,1.45,-0.079512063,0.006905901,-0.00686811,1.4883259380651102,1.4262538099000743,1.2807066882874671
137,7/20/2020,1.36,-0.064078857,0.00687921,-0.007285706,1.3739819787862315,1.3169892207802156,1.1828851865110068
138,7/21/2020,1.43,0.050189745,0.006853125,-0.006869218,1.2883949581753606,1.234731549312136,1.1096673828378798
139,7/22/2020,1.41,-0.01408474,0.006804194,-0.006921128,1.3552914616875036,1.2989827225098227,1.1677434734256242
140,7/23/2020,1.42,0.007067167,0.00675698,-0.006821211,1.3365663026157288,1.2813346733929563,1.1518094028826427
141,7/24/2020,1.32,-0.073025135,0.006739922,-0.007290743,1.3463011824304882,1.2908044926939626,1.160787328760451
142,7/27/2020,1.39,0.051672011,0.006716769,-0.006875512,1.2511093058383367,1.1995092013872102,1.0785908249639715
143,7/28/2020,1.34,-0.036634133,0.006675948,-0.007083614,1.3180488265234334,1.2638712342143938,1.137255248560056
144,7/29/2020,1.43,0.06500483,0.006665425,-0.006583,1.2705223281258944,1.2182216043516543,1.096027316131364
145,7/30/2020,1.36,-0.050189745,0.00663248,-0.006883736,1.3567188524722975,1.3008446667645561,1.1710958106186444
146,7/31/2020,1.27,-0.068467799,0.006612851,-0.007305545,1.2901403829347198,1.2374308554179216,1.1133531509296146
147,8/3/2020,1.23,-0.032002731,0.006571987,-0.007473553,1.204153863976097,1.1550154412999727,1.039872376246547
148,8/4/2020,1.31,0.063012968,0.006560925,-0.006997293,1.1660812338259234,1.1187011454871094,1.0073827550641854
149,8/5/2020,1.35,0.030077455,0.006526055,-0.006748469,1.2426370108208562,1.1922437509871764,1.074082349111725
150,8/6/2020,1.33,-0.01492565,0.006482991,-0.006802983,1.2809334575321665,1.2289813563817304,1.1077130007419624
151,8/7/2020,1.39,0.044124805,0.00645712,-0.006465713,1.2623755304983841,1.211364833139507,1.091609111740062
152,8/10/2020,1.48,0.062738341,0.006445939,-0.006010423,1.3198135743962927,1.2667857010625847,1.1414968223213189
153,8/11/2020,1.53,0.033225648,0.006413805,-0.005753979,1.405836571762657,1.3491422598333107,1.2164022045805614
154,8/12/2020,1.52,-0.006557401,0.006372161,-0.005759196,1.4540683796101193,1.395583222278492,1.2585057043785006
155,8/13/2020,1.54,0.013072082,0.006333323,-0.005637703,1.4449967190620558,1.3869965892750682,1.2513869321391944
156,8/14/2020,1.53,-0.006514681,0.00629273,-0.005643325,1.4641471052226904,1.405756779276885,1.26828089527524
157,8/17/2020,1.54,0.006514681,0.006253585,-0.005565886,1.454923631249968,1.3969880935537453,1.2613050902088154
158,8/18/2020,1.42,-0.081125545,0.006249911,-0.006044111,1.4648972452500237,1.4066992461376273,1.2704916530578623
159,8/19/2020,1.44,0.013986242,0.006213111,-0.005918134,1.3499639072868364,1.2962841852302842,1.1707843137542349
160,8/20/2020,1.41,-0.021053409,0.006175701,-0.00601273,1.369237423689524,1.3151575691569537,1.1875742817292532
161,8/21/2020,1.33,-0.058410762,0.00615429,-0.006338183,1.3406209544883412,1.2876581731385714,1.1633567998526837
162,8/24/2020,1.33,0.0,0.006116547,-0.006299059,1.2643420045431726,1.2146581199345048,1.0974383153735063
163,8/25/2020,1.28,-0.038318864,0.006085274,-0.006495499,1.2645340607333844,1.2149071529558166,1.0981681541279482
164,8/26/2020,1.57,0.204215541,0.006317244,-0.005210676,1.2172092850536307,1.1695737632916696,1.0571222721553613
165,8/27/2020,1.38,-0.12899212,0.006371255,-0.005960866,1.4932686216852118,1.4337159703907811,1.2941403973248093
166,8/28/2020,1.39,0.007220248,0.006333914,-0.005881462,1.3112987014729574,1.258756471123532,1.1363032009306018
167,8/31/2020,1.28,-0.082443669,0.006330877,-0.006339918,1.3210864804629774,1.2682168195802102,1.1445807682594373
168,9/1/2020,1.3,0.015504187,0.006296016,-0.006209894,1.2163215293728415,1.1674998228486118,1.0532584043332673
169,9/2/2020,1.27,-0.023347364,0.006260489,-0.006311299,1.2352970658601612,1.1861485791063195,1.0709457631958383
170,9/3/2020,1.26,-0.00790518,0.006223678,-0.006320675,1.2069204321499207,1.158889047315937,1.046253589584638
171,9/4/2020,1.22,-0.032260862,0.006191194,-0.006472372,1.1975646818787977,1.150340210650439,1.0390651360520724
172,9/8/2020,1.11,-0.094490843,0.006199979,-0.006984107,1.1593782676350388,1.11362918536436,1.006475794961308
173,9/9/2020,1.12,0.00896867,0.006165603,-0.006891895,1.0544068722076496,1.012786158913204,0.9147575717201676
174,9/10/2020,1.15,0.026433257,0.006136515,-0.006700371,1.0641838339537648,1.0223215773074001,0.9238564489050486
175,9/11/2020,1.14,-0.00873368,0.006101473,-0.00671199,1.092831952639301,1.0498680703724566,0.9491675576004226
176,9/14/2020,1.16,0.017391743,0.006070087,-0.006575037,1.0835889861876697,1.0410538644897842,0.9412166331886946
177,9/15/2020,1.16,0.0,0.006036036,-0.00653789,1.1028180623980954,1.0595464135257495,0.958588473128235
178,9/16/2020,1.17,0.008583744,0.006003403,-0.006452937,1.1028978923085195,1.0598425933402595,0.9592685942428198
179,9/17/2020,1.14,-0.025975486,0.005971982,-0.006562001,1.1127780712040491,1.0693863703059459,0.9677734632605827
180,9/18/2020,1.16,0.017391743,0.005941974,-0.006428925,1.0843212021176314,1.0423659257080586,0.9431687151103841
181,9/21/2020,1.1,-0.053109825,0.005921118,-0.00668683,1.1035195798624322,1.060765312565439,0.9602190079737389
182,9/22/2020,1.06,-0.037041272,0.005893619,-0.006853613,1.046648323403203,1.006147010010274,0.9107322939623876
183,9/23/2020,1.01,-0.048318577,0.005870758,-0.007080197,1.0083748399481733,0.969490286145992,0.878094626692271
