,Date,FNMA,PDR,VAR,AVG,VAR70,VAR85,VAR99
125,7/1/2020,2.16,-0.004618946,0.00282342,-0.003462913,2.0998264827618107,2.0434621246667835,1.9071603158412451
126,7/2/2020,2.19,0.013793322,0.002803356,-0.003325958,2.09043725285134,2.0342897607318573,1.8995241305042394
127,7/6/2020,2.13,-0.027779564,0.002785954,-0.003518506,2.1198032761583003,2.0632119082130576,1.9273202935534697
128,7/7/2020,2.1,-0.014184635,0.00276507,-0.003601836,2.0617122877123184,2.006786995543415,1.8749346110965173
129,7/8/2020,2.1,0.0,0.002743735,-0.003573914,2.032608132737925,1.9786942502823428,1.8492044656142874
130,7/9/2020,2.22,0.055569851,0.00274933,-0.003118962,2.032926197415081,1.9791400958853926,1.849611325608674
131,7/10/2020,2.19,-0.013605652,0.002729176,-0.003199013,2.1500735897288457,2.093381824962495,1.9564815570892946
132,7/13/2020,2.13,-0.027779564,0.002713043,-0.00338523,2.1208787063899734,2.0652268656931168,1.9304160533574939
133,7/14/2020,2.12,-0.004705891,0.002692657,-0.00339516,2.062742275059544,2.008545371813526,1.8779709898295889
134,7/15/2020,2.11,-0.004728141,0.002672576,-0.003405107,2.0531383125143883,1.9994825870366923,1.870456361308938
135,7/16/2020,2.11,0.0,0.002652865,-0.003379884,2.044110851835278,1.9905887761758636,1.8623047168492675
136,7/17/2020,2.1,-0.004750603,0.002633372,-0.003389963,2.0442409712560488,1.9908432718789344,1.8628735627409752
137,7/20/2020,2.09,-0.004773279,0.002614164,-0.00340006,2.0347935691215264,1.9822573872194955,1.8554561622940697
138,7/21/2020,2.09,0.0,0.002595304,-0.003375422,2.0253776155296106,1.9729987338017794,1.847214476699436
139,7/22/2020,2.04,-0.024214258,0.002579734,-0.003525342,2.0252429575918303,1.9731024575872311,1.8474960790173736
140,7/23/2020,2.01,-0.014815086,0.002562212,-0.003605983,1.9769410289011045,1.9261931027087955,1.8041761512354924
141,7/24/2020,2.0,-0.004987542,0.002544053,-0.003615781,1.9477416952373339,1.8980331001885815,1.7781272650409774
142,7/27/2020,1.97,-0.015113638,0.002527062,-0.003696752,1.938294166386609,1.8889491217500496,1.77014317809561
143,7/28/2020,1.96,-0.00508907,0.002509404,-0.003706488,1.9090069684804625,1.8604492853357835,1.7436305740962592
144,7/29/2020,2.02,0.030153038,0.002499884,-0.003471353,1.8995675671130263,1.8515845748482969,1.7355782906655626
145,7/30/2020,1.95,-0.035268139,0.002489568,-0.003690641,1.9586056642574734,1.9091064561139683,1.7894530033166607
146,7/31/2020,1.97,0.01020417,0.002473829,-0.003595471,1.8903740190884992,1.8426736614274735,1.7276984515690395
147,8/3/2020,1.93,-0.02051354,0.002458934,-0.00371056,1.90999078826413,1.862017526497744,1.7456679367002172
148,8/4/2020,1.95,0.01030937,0.002443639,-0.003615831,1.8712055785559498,1.824303099117085,1.7110643721975987
149,8/5/2020,2.05,0.050010421,0.002446409,-0.003255923,1.8911102883256379,1.843736185257775,1.7296466518497342
150,8/6/2020,2.1,0.024097552,0.002435055,-0.003073566,1.9884136280414355,1.9387481533583897,1.8191624030025293
151,8/7/2020,2.12,0.009478744,0.002419965,-0.002990439,2.0375094705751913,1.986742919038652,1.864594629596066
152,8/10/2020,2.12,0.0,0.002404103,-0.002970765,2.0573379554490914,2.0061641082301964,1.8828135677750393
153,8/11/2020,2.09,-0.014252023,0.002389216,-0.003044498,2.0576094705321664,2.006597758203098,1.884003811317287
154,8/12/2020,2.11,0.009523882,0.002374721,-0.002962885,2.0288526897653885,1.9784684507150914,1.8574108312308126
155,8/13/2020,2.15,0.018779895,0.00236243,-0.002822609,2.0480837142349126,1.997725760833475,1.8759081111292717
156,8/14/2020,2.17,0.009259325,0.002348216,-0.002745161,2.0873921372320074,2.035969108427821,1.9120941792379418
157,8/17/2020,2.28,0.049448275,0.0023505,-0.002412719,2.107029059197611,2.05529532941737,1.9311888491720046
158,8/18/2020,2.28,0.0,0.00233566,-0.002397448,2.2149779565727776,2.1607857058227697,2.0299847716018076
159,8/19/2020,2.27,-0.004395611,0.002320996,-0.002410016,2.2150473135792708,2.160888049201044,2.0301369350425684
160,8/20/2020,2.22,-0.022272636,0.00230894,-0.002534157,2.2054682104050225,2.1517372739118605,2.021933554568333
161,8/21/2020,2.18,-0.018182319,0.00229611,-0.00263135,2.156781446078366,2.1044205696165696,1.9779681665298796
162,8/24/2020,2.22,0.018182319,0.002284594,-0.002502871,2.1180744021104148,2.0666053234408457,1.9428302468440162
163,8/25/2020,2.22,0.0,0.002270616,-0.002487516,2.1569450724429817,2.104765649891522,1.9791794067502342
164,8/26/2020,2.21,-0.00451468,0.002256796,-0.002499877,2.1573620585053868,2.1053970925902465,1.9797306000938706
165,8/27/2020,2.21,0.0,0.002243156,-0.002484726,2.1475397758827155,2.095899511124862,1.9712320186533074
166,8/28/2020,2.22,0.00451468,0.002229937,-0.002442561,2.147769087050141,2.096514103174603,1.9717332264521807
167,8/31/2020,2.25,0.01342302,0.002218082,-0.002347557,2.1579599336106616,2.106223283003027,1.9817054116429085
168,9/1/2020,2.22,-0.01342302,0.002205605,-0.002413483,2.1877802589598243,2.135515773975415,2.0094292709763018
169,9/2/2020,2.19,-0.013605652,0.002193291,-0.002479709,2.1585804593859015,2.1072418652139238,1.983113318348597
170,9/3/2020,2.19,0.0,0.002180425,-0.002465122,2.129267042765506,2.0788066434996186,1.956788277271072
171,9/4/2020,2.22,0.013605652,0.002169175,-0.002371141,2.1293302374265033,2.078933222144636,1.95765748196835
172,9/8/2020,2.14,-0.036701367,0.002163376,-0.002570735,2.158726824410515,2.107860255798554,1.9850912526809295
173,9/9/2020,2.13,-0.004683849,0.002150897,-0.00258295,2.080812404973722,2.031609597739464,1.9129596628486452
174,9/10/2020,2.11,-0.009434032,0.002138804,-0.002622324,2.071351510489882,2.022559674728881,1.9055168176229325
175,9/11/2020,2.08,-0.014320054,0.002127359,-0.002689168,2.0518002969972766,2.0039203045705873,1.8877693809681864
176,9/14/2020,2.09,0.004796172,0.002115589,-0.002646638,2.022612446170479,1.9753798617835876,1.8615271783799399
177,9/15/2020,2.06,-0.014458083,0.00210442,-0.002713369,2.0328271686280224,1.9856176133474883,1.8712299256808769
